Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-23 13:51:02.927320-07:00,1235.5,766.2,1056.5,955.1,884.8,835.2,1820.7,1421.3,3457.6,3471.0,1049.6,830.2,1522.7,3468.6,1200.9,1162.1,3469.8,3466.1,1616.2,2081.6,2858.2,3494.1,1577.7,3486.8,3471.0,3469.8,615.7,795.2,1757.0,991.9,939.8,936.4,0.0,1.0,17.0,6853.0,-8700.0,9929.0,-6870.0,-90.0,-23.0,41.0,-6.0,-2.0,-8.0,8090.0,-13928.0,2460.0,-1720.0,-84.0,-10.0,15.0,1.0
2022-05-23 13:51:02.928401-07:00,1235.5,766.2,1056.5,955.1,883.1,839.4,1806.1,1430.5,3457.6,3471.0,1049.6,830.2,1522.7,3456.4,1197.4,1162.1,3474.6,3472.2,1617.1,2071.5,2858.2,3494.1,1577.7,3486.8,3478.3,3471.0,616.5,798.5,1757.0,991.9,939.8,936.4,4.0,2.0,33.0,6855.0,-8703.0,9942.0,-6845.0,-23.0,-23.0,27.0,-5.0,-2.0,4.0,8076.0,-13937.0,2463.0,-1708.0,-8.0,-13.0,10.0,1.0
2022-05-23 13:51:02.929801-07:00,1223.0,772.0,1047.0,952.6,883.1,839.4,1806.1,1430.5,3462.5,3462.5,1044.4,834.4,1522.7,3456.4,1197.4,1162.1,3474.6,3472.2,1617.1,2071.5,2861.6,3488.0,1572.1,3481.9,3478.3,3471.0,616.5,798.5,1733.9,991.0,934.7,933.9,2.0,0.0,28.0,6856.0,-8708.0,9955.0,-6819.0,-128.0,-47.0,49.0,-3.0,0.0,0.0,8051.0,-13953.0,2462.0,-1695.0,-101.0,-20.0,-2.0,1.0
2022-05-23 13:51:02.987517-07:00,1225.7,772.0,1047.0,952.6,889.8,824.4,1806.1,1439.6,3458.9,3462.5,1044.4,834.4,1530.1,3468.6,1196.5,1168.2,3478.3,3469.8,1596.4,2070.5,2861.6,3488.0,1572.1,3485.6,3472.2,3467.4,614.9,791.0,1733.9,991.0,934.7,941.5,20.0,0.0,37.0,6852.0,-8722.0,9969.0,-6783.0,-91.0,-14.0,30.0,4.0,-2.0,-7.0,8024.0,-13970.0,2461.0,-1682.0,-49.0,-20.0,-5.0,1.0
2022-05-23 13:51:03.047822-07:00,1225.7,769.5,1042.6,950.9,889.8,824.4,1806.1,1426.8,3458.9,3475.9,1041.8,832.7,1530.1,3468.6,1196.5,1163.0,3474.6,3469.8,1596.4,2070.5,2855.9,3486.8,1575.8,3485.6,3473.4,3467.4,614.9,791.0,1741.6,988.5,931.3,941.5,3.0,1.0,28.0,6849.0,-8713.0,9963.0,-6808.0,57.0,59.0,-21.0,7.0,-8.0,7.0,8033.0,-13966.0,2458.0,-1682.0,48.0,6.0,-7.0,1.0
2022-05-23 13:51:03.167025-07:00,1239.1,769.5,1042.6,950.9,889.8,829.4,1803.2,1426.8,3462.5,3475.9,1041.8,832.7,1529.2,3463.7,1196.5,1163.0,3474.6,3469.8,1620.9,2053.4,2855.9,3486.8,1575.8,3485.6,3473.4,3477.1,610.0,794.4,1741.6,988.5,931.3,933.9,12.0,-4.0,28.0,6850.0,-8708.0,9948.0,-6835.0,24.0,14.0,-29.0,3.0,-4.0,-8.0,8040.0,-13960.0,2460.0,-1689.0,16.0,12.0,6.0,1.0
2022-05-23 13:51:03.198287-07:00,1239.1,767.0,1055.6,946.6,889.8,829.4,1803.2,1408.5,3462.5,3471.0,1040.1,828.5,1529.2,3463.7,1196.5,1160.3,3478.3,3469.8,1620.9,2053.4,2848.1,3492.9,1570.2,3485.6,3472.2,3477.1,610.0,794.4,1735.8,985.9,934.7,933.9,-2.0,-1.0,10.0,6847.0,-8705.0,9941.0,-6852.0,-7.0,2.0,-9.0,0.0,-1.0,1.0,8039.0,-13961.0,2459.0,-1688.0,-24.0,-10.0,4.0,1.0
2022-05-23 13:51:03.347599-07:00,1238.2,767.0,1055.6,946.6,889.0,826.0,1790.7,1408.5,3468.6,3471.0,1040.1,828.5,1513.4,3463.7,1196.5,1160.3,3478.3,3474.6,1606.8,2030.4,2848.1,3492.9,1570.2,3480.7,3472.2,3474.6,614.1,793.5,1735.8,985.9,934.7,940.7,7.0,-1.0,19.0,6848.0,-8714.0,9946.0,-6833.0,-63.0,-35.0,20.0,-3.0,-5.0,-3.0,8027.0,-13968.0,2459.0,-1683.0,-36.0,-14.0,-8.0,1.0
2022-05-23 13:51:03.349536-07:00,1238.2,795.2,1044.4,958.5,889.0,826.0,1790.7,1419.5,3468.6,3468.6,1046.1,828.5,1513.4,3463.7,1196.5,1163.0,3478.3,3474.6,1606.8,2030.4,2849.2,3499.0,1566.5,3480.7,3474.6,3474.6,614.1,793.5,1727.2,992.7,928.8,940.7,9.0,-5.0,29.0,6849.0,-8718.0,9948.0,-6824.0,0.0,1.0,19.0,6.0,-8.0,-5.0,8026.0,-13970.0,2456.0,-1677.0,29.0,-13.0,2.0,1.0
2022-05-23 13:51:03.350655-07:00,1240.8,769.5,1044.4,958.5,880.6,830.2,1776.2,1419.5,3463.7,3472.2,1046.1,828.5,1518.0,3471.0,1200.0,1163.0,3478.3,3472.2,1640.7,2071.5,2849.2,3499.0,1573.9,3490.5,3474.6,3475.9,609.2,796.0,1727.2,992.7,932.2,939.0,0.0,0.0,22.0,6854.0,-8713.0,9954.0,-6816.0,-88.0,-17.0,36.0,0.0,-1.0,1.0,8027.0,-13971.0,2454.0,-1673.0,-74.0,-9.0,-7.0,1.0
