Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-23 13:55:02.691091-07:00,2285.9,681.5,1228.4,1438.7,1063.4,1305.2,1167.4,1332.3,3434.6,3431.0,1612.4,1444.2,1449.7,3423.7,1083.4,1557.1,3420.1,3421.3,737.3,1436.9,909.3,649.7,1382.1,1810.0,3428.6,3428.6,715.9,1024.5,1333.2,1524.5,1202.7,1098.2,-6.0,3.0,6.0,6723.0,11019.0,8600.0,5278.0,21.0,0.0,-16.0,-4.0,0.0,4.0,-5468.0,-6750.0,10005.0,9638.0,18.0,10.0,-10.0,1.0
2022-05-23 13:55:02.751435-07:00,2274.5,677.4,1228.4,1438.7,1070.3,1295.4,1167.4,1332.3,3434.6,3421.3,1612.4,1444.2,1453.4,3428.6,1083.4,1557.1,3420.1,3421.3,734.8,1441.5,909.3,649.7,1387.5,1820.7,3428.6,3428.6,719.2,1024.5,1333.2,1524.5,1211.5,1076.4,-3.0,-2.0,8.0,6720.0,11014.0,8609.0,5278.0,-4.0,35.0,-11.0,1.0,0.0,3.0,-5469.0,-6755.0,10003.0,9635.0,-2.0,13.0,-2.0,1.0
2022-05-23 13:55:02.811825-07:00,2274.5,677.4,1226.6,1437.8,1070.3,1295.4,1158.6,1335.9,3434.6,3421.3,1612.4,1442.4,1453.4,3428.6,1079.9,1562.7,3423.7,3418.9,734.8,1441.5,912.7,645.7,1387.5,1820.7,3428.6,3426.2,719.2,1024.5,1333.2,1516.2,1211.5,1076.4,-3.0,1.0,6.0,6716.0,11014.0,8612.0,5279.0,19.0,0.0,2.0,-2.0,2.0,0.0,-5474.0,-6759.0,10001.0,9632.0,10.0,23.0,3.0,1.0
2022-05-23 13:55:02.841989-07:00,2263.1,672.5,1226.6,1437.8,1071.2,1283.7,1158.6,1335.9,3426.2,3431.0,1612.4,1442.4,1447.9,3424.9,1079.9,1562.7,3423.7,3418.9,729.9,1438.7,912.7,645.7,1383.0,1815.8,3428.6,3426.2,704.4,1031.4,1333.2,1516.2,1218.6,1088.6,-8.0,-1.0,-1.0,6708.0,11014.0,8617.0,5281.0,10.0,32.0,0.0,-3.0,0.0,-3.0,-5478.0,-6766.0,10000.0,9626.0,8.0,11.0,5.0,1.0
2022-05-23 13:55:02.931226-07:00,2263.1,672.5,1212.4,1429.5,1071.2,1301.6,1158.6,1329.6,3426.2,3431.0,1610.5,1438.7,1447.9,3429.8,1080.8,1557.1,3424.9,3423.7,735.6,1438.7,911.8,646.5,1383.0,1815.8,3427.4,3428.6,712.6,1031.4,1334.1,1517.1,1218.6,1088.6,-5.0,-3.0,-5.0,6706.0,11013.0,8619.0,5282.0,10.0,3.0,5.0,-6.0,-2.0,-6.0,-5479.0,-6767.0,10000.0,9624.0,2.0,6.0,4.0,1.0
2022-05-23 13:55:02.961865-07:00,2282.8,686.4,1217.7,1429.5,1073.8,1301.6,1158.6,1329.6,3433.4,3429.8,1610.5,1438.7,1448.8,3429.8,1080.8,1557.1,3424.9,3423.7,735.6,1455.2,911.8,649.7,1388.5,1813.9,3427.4,3428.6,712.6,1021.1,1334.1,1523.6,1210.6,1095.6,-5.0,2.0,0.0,6710.0,11011.0,8617.0,5283.0,-30.0,-14.0,3.0,-5.0,0.0,-2.0,-5480.0,-6767.0,9999.0,9625.0,-25.0,-7.0,1.0,1.0
2022-05-23 13:55:03.021270-07:00,2282.8,686.4,1217.7,1422.2,1073.8,1295.4,1164.7,1327.8,3433.4,3429.8,1610.5,1442.4,1448.8,3424.9,1076.4,1563.7,3422.5,3423.7,737.3,1455.2,912.7,649.7,1388.5,1813.9,3434.6,3427.4,701.1,1021.1,1335.0,1523.6,1210.6,1095.6,-6.0,2.0,1.0,6712.0,11011.0,8614.0,5286.0,-5.0,-3.0,14.0,-2.0,0.0,5.0,-5482.0,-6764.0,9996.0,9628.0,-12.0,-5.0,10.0,1.0
2022-05-23 13:55:03.051341-07:00,2272.4,684.0,1220.4,1422.2,1075.6,1295.4,1164.7,1327.8,3429.8,3418.9,1606.8,1442.4,1443.3,3424.9,1076.4,1563.7,3422.5,3423.7,737.3,1433.2,912.7,641.6,1381.2,1814.9,3434.6,3427.4,701.1,1022.8,1335.0,1522.7,1210.6,1093.8,-2.0,2.0,7.0,6714.0,11013.0,8610.0,5286.0,15.0,-5.0,0.0,0.0,-2.0,0.0,-5485.0,-6760.0,9996.0,9629.0,8.0,-6.0,8.0,1.0
2022-05-23 13:55:03.111217-07:00,2272.4,684.0,1220.4,1436.9,1075.6,1295.4,1160.3,1334.1,3429.8,3418.9,1606.8,1438.7,1443.3,3418.9,1072.9,1559.0,3429.8,3422.5,733.2,1433.2,909.3,641.6,1381.2,1814.9,3431.0,3418.9,711.8,1022.8,1326.8,1522.7,1210.6,1093.8,-7.0,0.0,8.0,6714.0,11012.0,8610.0,5289.0,-24.0,4.0,10.0,0.0,0.0,0.0,-5486.0,-6759.0,9997.0,9629.0,-18.0,-4.0,16.0,1.0
2022-05-23 13:55:03.141991-07:00,2284.8,675.8,1219.5,1434.1,1075.6,1295.4,1160.3,1334.1,3427.4,3434.6,1596.4,1437.8,1447.0,3418.9,1072.9,1559.0,3429.8,3422.5,733.2,1441.5,913.5,647.3,1381.2,1811.9,3431.0,3418.9,711.8,1021.9,1322.3,1522.7,1212.4,1092.1,-5.0,4.0,-1.0,6711.0,11016.0,8603.0,5294.0,-7.0,6.0,32.0,-4.0,6.0,-1.0,-5492.0,-6754.0,9999.0,9628.0,-11.0,-4.0,18.0,1.0
2022-05-23 13:55:03.200853-07:00,2284.8,675.8,1219.5,1434.1,1072.9,1288.2,1163.8,1339.5,3427.4,3434.6,1596.4,1437.8,1454.3,3428.6,1078.2,1561.8,3416.5,3416.5,741.4,1450.6,913.5,647.3,1381.2,1811.9,3428.6,3429.8,708.5,1029.7,1322.3,1522.7,1212.4,1092.1,-4.0,-5.0,0.0,6710.0,11018.0,8599.0,5297.0,-7.0,-5.0,4.0,0.0,-7.0,0.0,-5495.0,-6748.0,10002.0,9627.0,-7.0,-8.0,20.0,1.0
2022-05-23 13:55:03.261207-07:00,2270.3,670.1,1229.3,1432.3,1072.9,1288.2,1163.8,1339.5,3421.3,3418.9,1600.2,1440.5,1454.3,3428.6,1078.2,1561.8,3416.5,3416.5,741.4,1450.6,909.3,641.6,1386.6,1818.7,3428.6,3429.8,708.5,1029.7,1326.8,1520.8,1206.2,1096.4,4.0,-1.0,12.0,6711.0,11023.0,8590.0,5301.0,-16.0,11.0,37.0,0.0,0.0,-3.0,-5499.0,-6737.0,10007.0,9626.0,-12.0,-10.0,34.0,1.0
2022-05-23 13:55:03.291308-07:00,2270.3,670.1,1229.3,1432.3,1067.7,1296.3,1159.4,1339.5,3421.3,3418.9,1600.2,1440.5,1450.6,3422.5,1079.9,1566.5,3420.1,3417.7,730.7,1441.5,909.3,641.6,1386.6,1818.7,3427.4,3429.8,714.2,1027.1,1326.8,1520.8,1206.2,1096.4,-5.0,10.0,1.0,6710.0,11028.0,8580.0,5309.0,-9.0,1.0,13.0,-4.0,4.0,3.0,-5507.0,-6729.0,10012.0,9622.0,-8.0,-1.0,20.0,1.0
2022-05-23 13:55:03.351862-07:00,2264.1,679.9,1208.9,1419.5,1067.7,1296.3,1159.4,1339.5,3434.6,3429.8,1605.8,1435.0,1450.6,3422.5,1079.9,1566.5,3420.1,3417.7,730.7,1441.5,909.3,650.5,1388.5,1819.7,3427.4,3429.8,714.2,1027.1,1322.3,1519.0,1212.4,1083.4,-7.0,0.0,6.0,6714.0,11025.0,8577.0,5315.0,-14.0,10.0,15.0,-6.0,1.0,0.0,-5513.0,-6723.0,10012.0,9624.0,-13.0,6.0,12.0,1.0
2022-05-23 13:55:03.411267-07:00,2264.1,679.9,1208.9,1419.5,1064.3,1297.2,1167.4,1327.8,3434.6,3429.8,1605.8,1435.0,1440.5,3429.8,1083.4,1561.8,3424.9,3427.4,731.5,1441.5,909.3,650.5,1388.5,1819.7,3429.8,3422.5,710.1,1021.1,1322.3,1519.0,1212.4,1083.4,-5.0,-1.0,1.0,6715.0,11022.0,8575.0,5323.0,-14.0,5.0,8.0,1.0,0.0,-4.0,-5519.0,-6717.0,10010.0,9626.0,-14.0,3.0,15.0,1.0
2022-05-23 13:55:03.441315-07:00,2284.8,666.8,1222.2,1423.1,1064.3,1297.2,1167.4,1335.9,3433.4,3429.8,1627.5,1443.3,1440.5,3429.8,1083.4,1559.0,3431.0,3427.4,731.5,1441.5,911.0,640.8,1385.7,1821.6,3431.0,3422.5,710.1,1021.1,1332.3,1516.2,1205.3,1097.3,-2.0,0.0,2.0,6713.0,11028.0,8565.0,5328.0,0.0,-14.0,38.0,0.0,-2.0,-6.0,-5525.0,-6711.0,10012.0,9624.0,2.0,-12.0,22.0,1.0
2022-05-23 13:55:03.531332-07:00,2279.6,666.8,1222.2,1423.1,1070.3,1296.3,1160.3,1335.9,3428.6,3429.8,1627.5,1443.3,1451.6,3416.5,1082.5,1559.0,3431.0,3418.9,731.5,1436.9,911.0,640.8,1385.7,1823.6,3431.0,3431.0,708.5,1021.9,1332.3,1516.2,1205.3,1093.8,-4.0,8.0,7.0,6716.0,11031.0,8555.0,5334.0,-15.0,-17.0,13.0,2.0,0.0,3.0,-5527.0,-6702.0,10015.0,9627.0,-13.0,-12.0,9.0,1.0
2022-05-23 13:55:03.561232-07:00,2279.6,671.7,1224.8,1438.7,1070.3,1296.3,1160.3,1335.9,3428.6,3437.0,1612.4,1433.2,1451.6,3416.5,1082.5,1559.0,3418.9,3418.9,731.5,1436.9,914.4,646.5,1380.3,1823.6,3418.9,3431.0,708.5,1021.9,1332.3,1516.2,1212.4,1093.8,0.0,11.0,24.0,6717.0,11031.0,8554.0,5335.0,3.0,22.0,-1.0,-1.0,1.0,2.0,-5527.0,-6700.0,10015.0,9628.0,-7.0,5.0,-1.0,1.0
2022-05-23 13:55:03.591298-07:00,2266.2,671.7,1224.8,1438.7,1073.8,1286.4,1155.9,1335.9,3423.7,3437.0,1612.4,1433.2,1451.6,3435.8,1077.3,1559.0,3418.9,3418.9,731.5,1433.2,914.4,646.5,1380.3,1814.9,3418.9,3428.6,714.2,1022.8,1332.3,1516.2,1212.4,1092.9,-4.0,2.0,10.0,6717.0,11025.0,8556.0,5343.0,18.0,21.0,-3.0,-2.0,-3.0,-2.0,-5530.0,-6702.0,10012.0,9628.0,11.0,15.0,-6.0,1.0
2022-05-23 13:55:03.651250-07:00,2266.2,679.9,1224.8,1429.5,1073.8,1286.4,1155.9,1332.3,3423.7,3429.8,1604.9,1437.8,1451.6,3435.8,1077.3,1557.1,3427.4,3418.9,731.5,1433.2,908.4,652.2,1383.0,1814.9,3432.2,3428.6,714.2,1022.8,1326.8,1515.3,1214.2,1092.9,-1.0,4.0,6.0,6711.0,11021.0,8566.0,5343.0,12.0,24.0,-22.0,0.0,0.0,1.0,-5533.0,-6707.0,10010.0,9624.0,3.0,14.0,-9.0,1.0
