Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-23 13:56:48.011502-07:00,2230.1,685.6,1275.6,1412.2,1077.3,1233.7,1264.9,1616.2,3420.1,3426.2,1608.7,1433.2,1573.0,3426.2,1128.7,1502.3,3423.7,3422.5,771.1,1442.4,950.9,609.2,1415.8,1824.6,3417.7,3429.8,767.8,1074.7,1216.0,1426.8,1212.4,1089.5,1.0,0.0,-44.0,7431.0,10016.0,9122.0,5449.0,127.0,7.0,160.0,-7.0,10.0,-15.0,-6403.0,-7224.0,8843.0,9851.0,43.0,51.0,7.0,1.0
2022-05-23 13:56:48.012447-07:00,2230.1,685.6,1275.6,1407.6,1077.3,1227.5,1245.3,1610.5,3420.1,3426.2,1608.7,1434.1,1573.0,3427.4,1133.1,1508.8,3422.5,3428.6,778.6,1442.4,950.9,609.2,1415.8,1824.6,3429.8,3431.0,777.8,1074.7,1222.2,1426.8,1212.4,1089.5,0.0,-2.0,-28.0,7415.0,10049.0,9080.0,5480.0,-73.0,-13.0,120.0,-17.0,-18.0,-27.0,-6413.0,-7234.0,8833.0,9846.0,-38.0,34.0,2.0,1.0
2022-05-23 13:56:48.041387-07:00,2225.0,679.9,1269.4,1407.6,1081.6,1227.5,1245.3,1610.5,3434.6,3431.0,1612.4,1434.1,1572.1,3427.4,1133.1,1508.8,3422.5,3428.6,778.6,1443.3,950.9,610.8,1408.5,1821.6,3429.8,3431.0,777.8,1074.7,1222.2,1421.3,1195.6,1086.8,-13.0,-2.0,-20.0,7401.0,10042.0,9091.0,5492.0,-10.0,97.0,-79.0,-21.0,3.0,-8.0,-6414.0,-7254.0,8823.0,9840.0,-5.0,52.0,-13.0,1.0
2022-05-23 13:56:48.101569-07:00,2225.0,679.9,1269.4,1402.1,1081.6,1238.2,1240.8,1532.0,3434.6,3431.0,1612.4,1431.4,1572.1,3422.5,1141.0,1519.9,3424.9,3421.3,768.7,1443.3,953.4,610.8,1408.5,1821.6,3426.2,3423.7,776.1,1074.7,1219.5,1421.3,1195.6,1086.8,-31.0,-49.0,-38.0,7413.0,9986.0,9111.0,5546.0,-173.0,94.0,37.0,-6.0,-12.0,14.0,-6445.0,-7256.0,8795.0,9843.0,-87.0,64.0,38.0,1.0
2022-05-23 13:56:48.161272-07:00,2224.0,679.1,1267.6,1408.5,1083.4,1238.2,1240.8,1532.0,3426.2,3418.9,1607.7,1425.0,1565.5,3422.5,1141.0,1519.9,3424.9,3421.3,768.7,1447.9,945.8,606.0,1412.2,1824.6,3426.2,3423.7,776.1,1074.7,1222.2,1422.2,1209.7,1092.9,19.0,-3.0,-39.0,7403.0,10028.0,9050.0,5583.0,11.0,-79.0,231.0,-1.0,-2.0,-22.0,-6470.0,-7263.0,8794.0,9822.0,43.0,58.0,52.0,1.0
2022-05-23 13:56:48.191409-07:00,2224.0,679.1,1267.6,1408.5,1078.2,1233.7,1223.9,1505.1,3426.2,3418.9,1607.7,1425.0,1564.6,3424.9,1127.0,1499.5,3422.5,3424.9,767.8,1440.5,945.8,606.0,1412.2,1824.6,3428.6,3426.2,772.0,1077.3,1222.2,1422.2,1209.7,1092.9,26.0,7.0,-25.0,7395.0,10076.0,8992.0,5602.0,-37.0,-50.0,127.0,10.0,2.0,-21.0,-6488.0,-7262.0,8808.0,9800.0,7.0,17.0,60.0,1.0
2022-05-23 13:56:48.281530-07:00,2226.0,679.9,1266.7,1396.7,1078.2,1233.7,1223.9,1505.1,3422.5,3427.4,1598.3,1427.7,1564.6,3424.9,1127.0,1499.5,3422.5,3424.9,767.8,1440.5,949.2,600.4,1412.2,1821.6,3428.6,3426.2,772.0,1077.3,1217.7,1436.0,1200.0,1087.7,32.0,10.0,-11.0,7394.0,10084.0,8970.0,5621.0,-44.0,15.0,-26.0,29.0,5.0,0.0,-6510.0,-7247.0,8816.0,9788.0,-35.0,14.0,55.0,1.0
2022-05-23 13:56:48.282734-07:00,2226.0,679.9,1266.7,1396.7,1069.5,1247.1,1232.8,1506.0,3422.5,3427.4,1598.3,1427.7,1567.4,3429.8,1127.0,1504.1,3426.2,3428.6,771.1,1444.2,949.2,600.4,1412.2,1821.6,3431.0,3432.2,772.0,1067.7,1217.7,1436.0,1200.0,1087.7,7.0,11.0,-32.0,7426.0,10055.0,8955.0,5655.0,-184.0,-13.0,2.0,10.0,2.0,-3.0,-6560.0,-7213.0,8798.0,9796.0,-160.0,28.0,70.0,1.0
2022-05-23 13:56:48.341423-07:00,2219.8,691.3,1273.9,1407.6,1069.5,1247.1,1232.8,1506.0,3424.9,3439.5,1587.1,1432.3,1567.4,3429.8,1127.0,1504.1,3426.2,3428.6,771.1,1444.2,951.7,604.4,1413.1,1826.5,3431.0,3432.2,772.0,1067.7,1220.4,1423.1,1204.4,1089.5,-6.0,15.0,-46.0,7440.0,10054.0,8951.0,5645.0,42.0,-65.0,-49.0,0.0,4.0,-1.0,-6588.0,-7200.0,8776.0,9806.0,-12.0,30.0,-16.0,1.0
2022-05-23 13:56:48.431788-07:00,2213.7,691.3,1273.9,1407.6,1074.7,1234.6,1217.7,1493.0,3424.9,3439.5,1587.1,1432.3,1565.5,3428.6,1125.2,1507.8,3426.2,3426.2,766.2,1443.3,951.7,604.4,1413.1,1820.7,3426.2,3426.2,768.7,1069.5,1220.4,1423.1,1204.4,1085.1,19.0,-29.0,-47.0,7454.0,10085.0,8944.0,5583.0,58.0,-180.0,19.0,2.0,-5.0,-17.0,-6578.0,-7216.0,8776.0,9802.0,51.0,0.0,-26.0,1.0
