Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-23 13:58:34.710767-07:00,2210.6,649.7,1317.8,1499.5,1112.1,1307.0,1326.8,1587.1,3424.9,3422.5,1477.3,1400.3,1563.7,3424.9,1092.1,1559.0,3422.5,3422.5,826.9,1425.9,960.2,585.9,1385.7,1785.8,3434.6,3428.6,778.6,1080.8,1360.3,1462.6,1227.5,1080.8,32.0,12.0,9.0,7270.0,9446.0,8974.0,6768.0,83.0,101.0,-45.0,34.0,1.0,-2.0,-5309.0,-6146.0,9417.0,10667.0,70.0,100.0,-27.0,1.0
2022-05-23 13:58:34.739567-07:00,2197.3,649.7,1317.8,1499.5,1104.3,1309.7,1307.9,1587.1,3424.9,3422.5,1477.3,1400.3,1559.9,3423.7,1099.9,1559.0,3422.5,3427.4,830.2,1425.9,960.2,585.9,1385.7,1780.1,3434.6,3432.2,772.8,1075.6,1360.3,1462.6,1227.5,1078.2,-5.0,-40.0,-23.0,7225.0,9432.0,9022.0,6774.0,166.0,127.0,1.0,-3.0,-22.0,-11.0,-5323.0,-6192.0,9421.0,10630.0,125.0,130.0,-17.0,1.0
2022-05-23 13:58:34.799333-07:00,2197.3,658.7,1319.6,1497.7,1104.3,1309.7,1307.9,1594.6,3424.9,3434.6,1473.6,1397.6,1559.9,3423.7,1099.9,1561.8,3420.1,3427.4,830.2,1425.9,956.0,588.3,1382.1,1780.1,3427.4,3432.2,772.8,1075.6,1347.6,1461.7,1222.2,1078.2,-52.0,0.0,-58.0,7135.0,9473.0,9076.0,6739.0,296.0,-6.0,28.0,-54.0,0.0,-8.0,-5309.0,-6260.0,9464.0,10559.0,244.0,83.0,-26.0,1.0
2022-05-23 13:58:34.859326-07:00,2209.6,658.7,1319.6,1497.7,1106.0,1297.2,1320.5,1594.6,3429.8,3434.6,1473.6,1397.6,1559.0,3433.4,1098.2,1561.8,3420.1,3428.6,823.5,1430.5,956.0,588.3,1382.1,1785.8,3427.4,3426.2,766.2,1079.9,1347.6,1461.7,1222.2,1077.3,-38.0,6.0,-39.0,7104.0,9512.0,9105.0,6677.0,54.0,-68.0,-75.0,-45.0,-5.0,-25.0,-5285.0,-6301.0,9481.0,10532.0,-13.0,11.0,-39.0,1.0
2022-05-23 13:58:34.918768-07:00,2209.6,655.4,1313.3,1501.4,1106.0,1297.2,1305.2,1585.2,3429.8,3423.7,1467.2,1397.6,1559.0,3433.4,1100.8,1557.1,3427.4,3427.4,823.5,1430.5,960.2,591.5,1381.2,1785.8,3427.4,3429.8,766.2,1079.9,1362.1,1460.8,1228.4,1077.3,-10.0,-21.0,-34.0,7138.0,9483.0,9134.0,6644.0,9.0,-13.0,-126.0,-13.0,-6.0,-14.0,-5269.0,-6314.0,9459.0,10552.0,-47.0,-10.0,-23.0,1.0
2022-05-23 13:58:34.949748-07:00,2211.6,663.6,1313.3,1501.4,1096.4,1305.2,1305.2,1585.2,3420.1,3422.5,1467.2,1397.6,1566.5,3433.4,1100.8,1557.1,3427.4,3427.4,825.2,1433.2,960.2,591.5,1375.7,1782.9,3427.4,3429.8,771.1,1074.7,1362.1,1460.8,1227.5,1074.7,5.0,-32.0,-18.0,7155.0,9472.0,9147.0,6621.0,-55.0,-31.0,6.0,3.0,-9.0,-13.0,-5267.0,-6304.0,9452.0,10565.0,-48.0,-37.0,19.0,1.0
2022-05-23 13:58:35.009577-07:00,2211.6,663.6,1319.6,1502.3,1096.4,1305.2,1304.3,1583.3,3420.1,3422.5,1464.4,1398.5,1566.5,3433.4,1097.3,1555.3,3417.7,3422.5,825.2,1433.2,956.0,592.3,1375.7,1782.9,3424.9,3421.3,771.1,1074.7,1360.3,1462.6,1227.5,1074.7,23.0,17.0,-8.0,7181.0,9472.0,9118.0,6634.0,-76.0,-70.0,-7.0,17.0,-17.0,-29.0,-5276.0,-6277.0,9448.0,10580.0,-43.0,-39.0,17.0,1.0
2022-05-23 13:58:35.039427-07:00,2213.7,668.4,1319.6,1502.3,1097.3,1316.0,1304.3,1583.3,3424.9,3426.2,1464.4,1398.5,1565.5,3422.5,1097.3,1555.3,3417.7,3422.5,831.1,1431.4,956.0,592.3,1372.1,1779.1,3424.9,3421.3,767.0,1072.1,1360.3,1462.6,1220.4,1071.2,25.0,44.0,0.0,7216.0,9414.0,9189.0,6581.0,47.0,38.0,-417.0,19.0,8.0,-9.0,-5263.0,-6268.0,9444.0,10595.0,-73.0,-41.0,-65.0,1.0
2022-05-23 13:58:35.099920-07:00,2213.7,668.4,1309.7,1495.8,1097.3,1316.0,1302.5,1595.5,3424.9,3426.2,1474.6,1401.2,1565.5,3422.5,1100.8,1555.3,3424.9,3429.8,831.1,1431.4,956.8,581.0,1372.1,1779.1,3422.5,3427.4,767.0,1072.1,1354.9,1455.2,1220.4,1071.2,23.0,-74.0,14.0,7294.0,9292.0,9281.0,6540.0,-158.0,16.0,-274.0,30.0,-20.0,-6.0,-5276.0,-6249.0,9391.0,10647.0,-192.0,1.0,-20.0,1.0
2022-05-23 13:58:35.159265-07:00,2239.4,653.0,1307.0,1495.8,1101.7,1296.3,1302.5,1595.5,3429.8,3437.0,1457.1,1401.2,1559.9,3421.3,1100.8,1555.3,3424.9,3429.8,824.4,1431.4,956.8,584.3,1359.4,1782.9,3422.5,3427.4,778.6,1071.2,1354.9,1457.1,1235.5,1071.2,20.0,23.0,72.0,7329.0,9220.0,9307.0,6565.0,-96.0,204.0,-144.0,4.0,6.0,-16.0,-5310.0,-6231.0,9365.0,10663.0,-73.0,24.0,48.0,1.0
