Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-23 13:58:34.717825-07:00,1259.6,847.8,1053.0,948.3,909.3,1032.3,1916.4,1492.1,3471.0,3472.2,1047.8,847.8,1525.5,3468.6,1208.0,1160.3,3479.5,3468.6,1646.4,2076.5,2716.1,3492.9,1784.9,3495.3,3467.4,3471.0,666.0,880.6,1761.8,971.3,916.0,912.7,11.0,-8.0,-9.0,4558.0,-3542.0,12504.0,-8876.0,-173.0,7.0,86.0,2.0,6.0,-8.0,6198.0,-14810.0,3114.0,-994.0,-140.0,11.0,32.0,1.0
2022-05-23 13:58:34.747704-07:00,1259.6,836.9,1056.5,949.2,909.3,1032.3,1916.4,1520.8,3471.0,3473.4,1050.4,862.1,1525.5,3468.6,1208.0,1166.5,3478.3,3468.6,1646.4,2076.5,2712.8,3481.9,1784.9,3495.3,3477.1,3471.0,666.0,880.6,1755.0,970.5,906.7,912.7,8.0,25.0,4.0,4548.0,-3538.0,12552.0,-8813.0,-124.0,14.0,-8.0,0.0,0.0,6.0,6136.0,-14835.0,3121.0,-980.0,-143.0,-5.0,-8.0,1.0
2022-05-23 13:58:34.806421-07:00,1281.0,836.9,1056.5,949.2,900.8,1018.5,1929.2,1520.8,3469.8,3473.4,1050.4,862.1,1516.2,3463.7,1219.5,1166.5,3478.3,3473.4,1650.2,2059.4,2712.8,3481.9,1784.9,3491.7,3477.1,3473.4,675.0,871.3,1755.0,970.5,906.7,916.0,-2.0,-2.0,4.0,4531.0,-3560.0,12562.0,-8800.0,1.0,5.0,-69.0,-8.0,-5.0,1.0,6113.0,-14846.0,3116.0,-978.0,-29.0,2.0,-15.0,1.0
2022-05-23 13:58:34.896981-07:00,1281.0,847.0,1057.3,946.6,900.8,1018.5,1929.2,1497.7,3469.8,3467.4,1053.0,861.2,1516.2,3463.7,1219.5,1159.4,3474.6,3473.4,1650.2,2059.4,2705.1,3489.2,1790.7,3491.7,3475.9,3473.4,675.0,871.3,1751.2,972.2,912.7,916.0,-19.0,-10.0,-4.0,4523.0,-3572.0,12558.0,-8804.0,-5.0,-37.0,19.0,-15.0,-8.0,6.0,6113.0,-14848.0,3110.0,-973.0,12.0,-19.0,-11.0,1.0
2022-05-23 13:58:34.926058-07:00,1270.3,847.0,1057.3,946.6,918.6,1022.8,1907.5,1497.7,3467.4,3467.4,1053.0,861.2,1514.3,3473.4,1216.8,1159.4,3474.6,3478.3,1644.5,2063.5,2705.1,3489.2,1790.7,3494.1,3475.9,3467.4,668.4,885.6,1751.2,972.2,912.7,915.2,-7.0,21.0,15.0,4539.0,-3574.0,12559.0,-8795.0,18.0,15.0,18.0,-15.0,1.0,18.0,6115.0,-14850.0,3099.0,-961.0,13.0,-20.0,-25.0,1.0
2022-05-23 13:58:34.929538-07:00,1270.3,844.4,1044.4,954.3,918.6,1022.8,1893.8,1487.5,3467.4,3462.5,1051.3,855.3,1514.3,3473.4,1217.7,1168.2,3474.6,3469.8,1644.5,2063.5,2717.2,3494.1,1789.7,3494.1,3477.1,3474.6,668.4,885.6,1755.0,971.3,905.9,915.2,17.0,14.0,9.0,4542.0,-3567.0,12550.0,-8809.0,7.0,-8.0,-24.0,5.0,5.0,6.0,6130.0,-14844.0,3097.0,-962.0,16.0,1.0,-5.0,1.0
2022-05-23 13:58:35.047948-07:00,1273.9,852.0,1044.4,954.3,907.6,1021.9,1893.8,1487.5,3464.9,3467.4,1051.3,855.3,1522.7,3467.4,1217.7,1168.2,3474.6,3469.8,1653.0,2072.5,2717.2,3494.1,1782.9,3488.0,3477.1,3474.6,670.9,873.8,1755.0,971.3,901.7,922.8,26.0,2.0,34.0,4530.0,-3582.0,12551.0,-8806.0,-5.0,36.0,-17.0,19.0,-6.0,4.0,6119.0,-14848.0,3098.0,-964.0,-15.0,12.0,4.0,1.0
2022-05-23 13:58:35.050056-07:00,1273.9,852.0,1047.8,935.6,907.6,1021.9,1889.9,1480.1,3464.9,3467.4,1045.2,855.3,1522.7,3467.4,1214.2,1160.3,3478.3,3467.4,1653.0,2072.5,2715.0,3495.3,1782.9,3488.0,3483.2,3474.6,670.9,873.8,1755.0,973.1,901.7,922.8,28.0,-4.0,7.0,4500.0,-3561.0,12549.0,-8833.0,43.0,129.0,53.0,14.0,17.0,-5.0,6126.0,-14844.0,3102.0,-976.0,-6.0,19.0,0.0,1.0
2022-05-23 13:58:35.136818-07:00,1269.4,852.0,1047.8,935.6,907.6,1022.8,1889.9,1480.1,3472.2,3467.4,1045.2,855.3,1518.0,3469.8,1214.2,1160.3,3478.3,3467.4,1654.9,2067.5,2715.0,3495.3,1787.8,3484.4,3483.2,3474.6,670.1,873.0,1755.0,973.1,908.4,936.4,15.0,1.0,2.0,4478.0,-3510.0,12580.0,-8820.0,-103.0,49.0,116.0,18.0,4.0,6.0,6106.0,-14851.0,3103.0,-981.0,-52.0,12.0,6.0,1.0
2022-05-23 13:58:35.137933-07:00,1269.4,852.0,1042.6,933.9,907.6,1022.8,1898.7,1480.1,3472.2,3467.4,1045.2,857.9,1518.0,3469.8,1213.3,1156.8,3474.6,3474.6,1654.9,2067.5,2707.3,3481.9,1787.8,3484.4,3480.7,3480.7,670.1,873.0,1745.4,969.6,908.4,936.4,2.0,4.0,16.0,4462.0,-3464.0,12608.0,-8808.0,8.0,168.0,94.0,-8.0,-2.0,-4.0,6112.0,-14848.0,3105.0,-990.0,48.0,21.0,-7.0,1.0
2022-05-23 13:58:35.167171-07:00,1270.3,839.4,1042.6,933.9,901.7,1017.6,1898.7,1480.1,3457.6,3463.7,1045.2,857.9,1519.9,3479.5,1213.3,1156.8,3474.6,3474.6,1650.2,2065.5,2707.3,3481.9,1798.4,3486.8,3480.7,3480.7,675.0,865.4,1745.4,969.6,910.1,908.4,-19.0,8.0,-50.0,4411.0,-3388.0,12639.0,-8818.0,-113.0,45.0,53.0,2.0,-11.0,6.0,6100.0,-14855.0,3093.0,-992.0,-84.0,-11.0,-39.0,1.0
