Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-23 14:00:57.468098-07:00,1290.9,851.1,1041.8,968.8,890.7,769.5,1784.9,1418.6,3467.4,3473.4,1028.0,833.6,1527.3,3462.5,1179.7,1125.2,3475.9,3479.5,1601.1,2123.0,2686.4,3481.9,1641.6,3484.4,3484.4,3475.9,631.9,769.5,1674.8,981.6,927.1,890.7,-3.0,133.0,-36.0,4349.0,-2758.0,12619.0,-9093.0,1326.0,-449.0,-412.0,-25.0,47.0,-1.0,6992.0,-14204.0,3953.0,-1470.0,953.0,52.0,-23.0,1.0
2022-05-23 14:00:57.527287-07:00,1290.9,851.1,1041.8,968.8,897.4,770.3,1771.4,1409.4,3467.4,3473.4,1028.0,833.6,1533.8,3460.1,1168.2,1129.6,3479.5,3475.9,1604.0,2118.9,2686.4,3481.9,1641.6,3484.4,3471.0,3469.8,636.7,765.3,1674.8,981.6,927.1,890.7,-8.0,68.0,0.0,4463.0,-3011.0,12301.0,-9388.0,564.0,-696.0,-683.0,-7.0,14.0,-1.0,7183.0,-14118.0,3882.0,-1565.0,309.0,28.0,-210.0,1.0
2022-05-23 14:00:57.558031-07:00,1300.7,849.5,1053.9,954.3,897.4,770.3,1771.4,1403.0,3456.4,3475.9,1029.7,836.9,1533.8,3460.1,1168.2,1128.7,3478.3,3475.9,1604.0,2118.9,2672.2,3486.8,1643.5,3496.6,3474.6,3469.8,636.7,765.3,1671.0,985.0,923.7,899.1,41.0,-45.0,38.0,4540.0,-3314.0,12078.0,-9537.0,202.0,-478.0,-501.0,20.0,0.0,-68.0,7221.0,-14115.0,3795.0,-1628.0,8.0,23.0,-215.0,1.0
2022-05-23 14:00:57.617861-07:00,1317.8,849.5,1053.9,954.3,894.1,774.5,1752.1,1403.0,3466.1,3475.9,1029.7,836.9,1529.2,3462.5,1169.1,1128.7,3478.3,3467.4,1598.3,2123.0,2672.2,3486.8,1643.5,3484.4,3474.6,3473.4,629.5,764.5,1671.0,985.0,923.7,896.6,14.0,-88.0,15.0,4518.0,-3441.0,12047.0,-9543.0,-108.0,22.0,-40.0,15.0,-12.0,-32.0,7145.0,-14163.0,3754.0,-1639.0,-208.0,7.0,-66.0,1.0
2022-05-23 14:00:57.737340-07:00,1317.8,847.0,1048.7,963.7,894.1,774.5,1752.1,1391.2,3466.1,3473.4,1024.5,836.1,1529.2,3462.5,1169.1,1127.9,3478.3,3467.4,1598.3,2123.0,2683.2,3491.7,1653.9,3484.4,3479.5,3473.4,629.5,764.5,1679.5,987.6,921.1,896.6,25.0,15.0,-13.0,4526.0,-3398.0,12034.0,-9570.0,195.0,72.0,54.0,15.0,28.0,-37.0,7159.0,-14154.0,3764.0,-1641.0,138.0,14.0,67.0,1.0
2022-05-23 14:00:57.739151-07:00,1302.5,847.0,1048.7,963.7,903.4,778.6,1751.2,1391.2,3473.4,3473.4,1024.5,836.1,1528.3,3467.4,1170.9,1127.9,3478.3,3475.9,1602.1,2131.1,2683.2,3491.7,1653.9,3488.0,3479.5,3468.6,627.8,762.0,1679.5,987.6,921.1,902.5,2.0,-18.0,-34.0,4522.0,-3359.0,11998.0,-9631.0,177.0,32.0,-4.0,6.0,5.0,-31.0,7207.0,-14122.0,3787.0,-1648.0,153.0,10.0,69.0,1.0
2022-05-23 14:00:57.797564-07:00,1302.5,848.6,1045.2,963.7,903.4,778.6,1751.2,1389.4,3473.4,3468.6,1026.3,830.2,1528.3,3467.4,1170.9,1122.6,3472.2,3475.9,1602.1,2131.1,2674.4,3497.8,1646.4,3488.0,3485.6,3468.6,627.8,762.0,1671.0,981.6,916.9,902.5,20.0,21.0,-30.0,4552.0,-3325.0,11949.0,-9690.0,150.0,-19.0,48.0,16.0,29.0,-20.0,7281.0,-14080.0,3801.0,-1658.0,208.0,-20.0,49.0,1.0
2022-05-23 14:00:57.857918-07:00,1305.2,848.6,1045.2,963.7,891.5,771.1,1749.3,1389.4,3473.4,3468.6,1026.3,830.2,1528.3,3471.0,1174.4,1122.6,3472.2,3478.3,1586.1,2120.9,2674.4,3497.8,1646.4,3489.2,3485.6,3477.1,620.5,757.9,1671.0,981.6,916.9,889.8,9.0,11.0,21.0,4581.0,-3344.0,11940.0,-9681.0,-12.0,-146.0,-26.0,10.0,-20.0,26.0,7309.0,-14067.0,3796.0,-1654.0,63.0,-30.0,-9.0,1.0
2022-05-23 14:00:57.860245-07:00,1305.2,847.8,1054.8,967.1,891.5,771.1,1757.0,1393.0,3473.4,3471.0,1024.5,833.6,1528.3,3471.0,1173.5,1123.5,3479.5,3471.0,1586.1,2120.9,2676.6,3490.5,1647.3,3489.2,3478.3,3473.4,620.5,757.9,1671.0,981.6,919.4,889.8,30.0,-7.0,55.0,4620.0,-3376.0,11891.0,-9710.0,153.0,-64.0,-37.0,9.0,0.0,13.0,7376.0,-14034.0,3782.0,-1661.0,208.0,-28.0,5.0,1.0
2022-05-23 14:00:57.978139-07:00,1298.1,843.6,1054.8,967.1,894.1,764.5,1757.0,1393.0,3461.3,3473.4,1024.5,833.6,1525.5,3468.6,1173.5,1123.5,3479.5,3471.0,1608.7,2124.0,2676.6,3490.5,1641.6,3486.8,3478.3,3473.4,625.4,757.9,1671.0,981.6,922.8,884.8,34.0,15.0,46.0,4599.0,-3374.0,11865.0,-9753.0,-31.0,91.0,-48.0,18.0,-1.0,11.0,7421.0,-14015.0,3765.0,-1660.0,51.0,-46.0,-21.0,1.0
