Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-23 14:20:28.855862-07:00,1983.6,597.1,1154.2,1466.3,1023.7,1211.5,1264.0,1505.1,3437.0,3429.8,1495.8,1434.1,1560.9,3428.6,1099.0,1549.7,3433.4,3418.9,862.1,1537.6,1040.1,644.0,1207.1,1907.5,3439.5,3429.8,743.0,1023.7,1425.9,1427.7,1201.8,1111.2,-5.0,-20.0,14.0,10077.0,12893.0,795.0,169.0,-26.0,0.0,24.0,17.0,-44.0,-6.0,12498.0,9655.0,3342.0,2801.0,-4.0,-7.0,4.0,1.0
2022-05-23 14:20:28.913277-07:00,1983.6,597.1,1154.2,1466.3,1040.1,1208.9,1264.9,1500.4,3437.0,3429.8,1495.8,1434.1,1555.3,3432.2,1097.3,1552.5,3439.5,3423.7,859.5,1529.2,1040.1,644.0,1207.1,1907.5,3440.7,3439.5,739.7,1014.2,1425.9,1427.7,1201.8,1111.2,5.0,-18.0,15.0,10074.0,12895.0,796.0,168.0,13.0,-5.0,-11.0,23.0,-33.0,-5.0,12495.0,9660.0,3339.0,2802.0,11.0,-3.0,-8.0,1.0
2022-05-23 14:20:28.943691-07:00,1994.5,590.7,1155.0,1460.8,1040.1,1208.9,1264.9,1500.4,3428.6,3429.8,1495.8,1432.3,1555.3,3432.2,1097.3,1552.5,3439.5,3423.7,859.5,1529.2,1043.5,640.8,1207.1,1901.6,3440.7,3439.5,739.7,1014.2,1425.0,1425.0,1195.6,1112.1,3.0,-16.0,9.0,10077.0,12893.0,792.0,172.0,-24.0,4.0,24.0,19.0,-32.0,-11.0,12495.0,9662.0,3332.0,2804.0,-11.0,-12.0,1.0,1.0
2022-05-23 14:20:29.003499-07:00,1994.5,590.7,1155.0,1460.8,1034.0,1209.7,1250.6,1481.0,3428.6,3429.8,1495.8,1432.3,1559.0,3418.9,1093.8,1542.2,3429.8,3433.4,857.9,1535.7,1043.5,640.8,1207.1,1901.6,3433.4,3434.6,733.2,1021.1,1425.0,1425.0,1195.6,1112.1,-4.0,-12.0,14.0,10083.0,12888.0,786.0,176.0,-8.0,5.0,1.0,13.0,-36.0,-4.0,12497.0,9662.0,3325.0,2802.0,-3.0,-12.0,-6.0,1.0
2022-05-23 14:20:29.093472-07:00,1995.5,594.7,1161.2,1459.8,1034.0,1209.7,1250.6,1481.0,3432.2,3437.0,1495.8,1437.8,1559.0,3418.9,1093.8,1542.2,3429.8,3433.4,857.9,1535.7,1056.5,640.8,1208.0,1910.5,3433.4,3434.6,733.2,1021.1,1428.6,1431.4,1187.6,1107.8,-9.0,-18.0,7.0,10082.0,12890.0,784.0,173.0,16.0,-17.0,-2.0,6.0,-36.0,-8.0,12498.0,9662.0,3326.0,2799.0,5.0,4.0,-11.0,1.0
2022-05-23 14:20:29.094344-07:00,1995.5,594.7,1161.2,1459.8,1034.9,1210.6,1256.9,1485.6,3432.2,3437.0,1495.8,1437.8,1556.2,3429.8,1097.3,1553.4,3428.6,3429.8,859.5,1529.2,1056.5,640.8,1208.0,1910.5,3428.6,3431.0,735.6,1021.9,1428.6,1431.4,1187.6,1107.8,-8.0,-21.0,8.0,10083.0,12889.0,779.0,172.0,-34.0,-6.0,22.0,12.0,-34.0,-10.0,12499.0,9660.0,3326.0,2799.0,-18.0,-8.0,0.0,1.0
2022-05-23 14:20:29.153316-07:00,1983.6,595.5,1142.7,1454.3,1034.9,1210.6,1256.9,1481.9,3429.8,3435.8,1499.5,1432.3,1556.2,3429.8,1097.3,1536.6,3421.3,3429.8,859.5,1529.2,1044.4,640.8,1208.0,1906.6,3426.2,3431.0,735.6,1021.9,1421.3,1425.9,1200.0,1118.2,0.0,-5.0,11.0,10089.0,12885.0,773.0,178.0,8.0,0.0,2.0,22.0,-32.0,-9.0,12500.0,9660.0,3322.0,2800.0,-1.0,-8.0,-6.0,1.0
2022-05-23 14:20:29.213157-07:00,1989.5,595.5,1142.7,1454.3,1024.5,1214.2,1239.9,1481.9,3431.0,3435.8,1499.5,1432.3,1558.1,3432.2,1099.0,1536.6,3421.3,3424.9,859.5,1525.5,1044.4,640.8,1208.0,1908.5,3426.2,3437.0,742.2,1025.4,1421.3,1425.9,1200.0,1113.0,6.0,-24.0,14.0,10090.0,12884.0,769.0,175.0,1.0,-16.0,17.0,21.0,-34.0,-12.0,12500.0,9660.0,3318.0,2803.0,1.0,-7.0,-2.0,1.0
2022-05-23 14:20:29.243350-07:00,1989.5,596.3,1146.3,1463.5,1024.5,1214.2,1239.9,1461.7,3431.0,3433.4,1492.1,1436.0,1558.1,3432.2,1099.0,1552.5,3427.4,3424.9,859.5,1525.5,1046.1,640.0,1202.7,1908.5,3431.0,3437.0,742.2,1025.4,1418.6,1425.9,1190.3,1113.0,1.0,-12.0,10.0,10093.0,12882.0,765.0,177.0,-19.0,-5.0,2.0,19.0,-38.0,-9.0,12501.0,9659.0,3315.0,2806.0,-13.0,-3.0,-4.0,1.0
2022-05-23 14:20:29.303313-07:00,1999.5,596.3,1146.3,1463.5,1019.4,1212.4,1249.7,1461.7,3435.8,3433.4,1492.1,1436.0,1553.4,3433.4,1106.0,1552.5,3427.4,3429.8,859.5,1529.2,1046.1,640.0,1202.7,1911.5,3431.0,3428.6,745.5,1014.2,1418.6,1425.9,1190.3,1114.7,0.0,-17.0,11.0,10096.0,12880.0,759.0,182.0,-15.0,-5.0,28.0,19.0,-33.0,-9.0,12501.0,9660.0,3312.0,2809.0,-9.0,-4.0,1.0,1.0
