Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-23 14:20:28.920819-07:00,1282.8,776.1,1050.4,968.8,852.8,847.8,1652.0,1440.5,3467.4,3466.1,1056.5,835.2,1671.9,3472.2,1177.9,1199.1,3474.6,3477.1,1683.3,2173.8,3040.9,3499.0,1698.6,3492.9,3477.1,3468.6,650.5,789.4,1582.4,1003.9,909.3,873.0,4.0,33.0,8.0,10091.0,-11605.0,5017.0,-2602.0,3.0,9.0,18.0,1.0,-1.0,6.0,8648.0,-13483.0,3091.0,-1519.0,20.0,-3.0,-2.0,1.0
2022-05-23 14:20:28.923138-07:00,1282.8,776.1,1050.4,963.7,857.9,839.4,1655.8,1455.2,3467.4,3466.1,1056.5,848.6,1671.0,3463.7,1175.3,1197.4,3474.6,3467.4,1676.7,2174.8,3040.9,3499.0,1698.6,3492.9,3488.0,3473.4,646.5,784.4,1578.6,1003.9,909.3,873.0,-1.0,19.0,4.0,10093.0,-11603.0,5015.0,-2604.0,22.0,-5.0,-11.0,-7.0,-5.0,5.0,8644.0,-13485.0,3091.0,-1518.0,-7.0,3.0,1.0,1.0
2022-05-23 14:20:28.923710-07:00,1289.1,777.8,1047.8,964.5,857.9,839.4,1655.8,1455.2,3468.6,3474.6,1063.4,849.5,1671.0,3463.7,1175.3,1197.4,3474.6,3467.4,1676.7,2174.8,3048.9,3495.3,1698.6,3494.1,3488.0,3473.4,646.5,784.4,1578.6,1009.9,905.9,878.9,8.0,18.0,6.0,10099.0,-11600.0,5011.0,-2607.0,-10.0,5.0,4.0,-5.0,2.0,-1.0,8641.0,-13487.0,3091.0,-1518.0,-23.0,-1.0,-3.0,1.0
2022-05-23 14:20:29.010743-07:00,1289.1,777.8,1047.8,964.5,857.0,843.6,1665.3,1440.5,3468.6,3474.6,1063.4,849.5,1678.6,3471.0,1176.2,1200.0,3468.6,3475.9,1678.6,2171.8,3048.9,3495.3,1698.6,3494.1,3475.9,3477.1,654.6,787.7,1578.6,1009.9,905.9,878.9,13.0,29.0,2.0,10099.0,-11599.0,5012.0,-2608.0,3.0,6.0,-1.0,4.0,0.0,0.0,8640.0,-13488.0,3092.0,-1518.0,-8.0,5.0,-5.0,1.0
2022-05-23 14:20:29.012320-07:00,1283.7,778.6,1055.6,962.8,857.0,843.6,1665.3,1440.5,3462.5,3468.6,1059.1,847.0,1678.6,3471.0,1176.2,1200.0,3468.6,3475.9,1678.6,2171.8,3034.0,3488.0,1698.6,3486.8,3475.9,3477.1,654.6,787.7,1579.6,1009.0,900.8,872.1,13.0,12.0,1.0,10100.0,-11597.0,5012.0,-2611.0,21.0,8.0,0.0,4.0,-5.0,4.0,8643.0,-13486.0,3092.0,-1519.0,20.0,-5.0,-2.0,1.0
2022-05-23 14:20:29.013818-07:00,1283.7,778.6,1055.6,962.8,851.1,841.9,1641.6,1435.0,3462.5,3468.6,1059.1,847.0,1668.2,3469.8,1176.2,1200.0,3478.3,3477.1,1680.5,2165.6,3034.0,3488.0,1698.6,3486.8,3492.9,3480.7,647.3,787.7,1579.6,1009.0,900.8,872.1,6.0,26.0,4.0,10108.0,-11590.0,5012.0,-2613.0,20.0,-3.0,2.0,-1.0,0.0,2.0,8646.0,-13484.0,3091.0,-1519.0,7.0,-3.0,-8.0,1.0
2022-05-23 14:20:29.014703-07:00,1283.7,776.9,1047.8,957.7,851.1,841.9,1641.6,1430.5,3472.2,3475.9,1055.6,852.8,1668.2,3469.8,1176.2,1195.6,3469.8,3477.1,1680.5,2165.6,3039.7,3488.0,1701.4,3491.7,3469.8,3480.7,647.3,787.7,1575.8,1001.3,907.6,875.5,10.0,18.0,10.0,10109.0,-11589.0,5011.0,-2613.0,0.0,2.0,-5.0,-3.0,-4.0,8.0,8646.0,-13485.0,3087.0,-1522.0,7.0,-3.0,-12.0,1.0
2022-05-23 14:20:29.071166-07:00,1292.7,776.9,1047.8,957.7,853.7,851.1,1652.0,1430.5,3471.0,3475.9,1055.6,852.8,1673.8,3469.8,1182.3,1195.6,3469.8,3473.4,1672.9,2170.7,3039.7,3488.0,1701.4,3492.9,3469.8,3481.9,650.5,786.9,1575.8,1001.3,907.6,903.4,6.0,23.0,4.0,10113.0,-11586.0,5009.0,-2616.0,9.0,5.0,-9.0,-2.0,-3.0,7.0,8649.0,-13484.0,3083.0,-1525.0,-3.0,3.0,-10.0,1.0
2022-05-23 14:20:29.100373-07:00,1292.7,779.4,1044.4,970.5,853.7,851.1,1652.0,1418.6,3471.0,3467.4,1056.5,851.1,1673.8,3469.8,1182.3,1200.9,3477.1,3473.4,1672.9,2170.7,3035.2,3491.7,1701.4,3492.9,3467.4,3481.9,650.5,786.9,1582.4,1009.9,900.0,903.4,4.0,19.0,2.0,10115.0,-11583.0,5008.0,-2622.0,26.0,6.0,-4.0,0.0,-2.0,3.0,8652.0,-13482.0,3081.0,-1527.0,16.0,6.0,-7.0,1.0
2022-05-23 14:20:29.160341-07:00,1287.3,779.4,1044.4,970.5,878.9,856.2,1637.9,1418.6,3467.4,3467.4,1056.5,851.1,1663.4,3467.4,1182.3,1200.9,3477.1,3475.9,1680.5,2173.8,3035.2,3491.7,1701.4,3495.3,3467.4,3481.9,646.5,777.8,1582.4,1009.9,900.0,876.4,12.0,16.0,5.0,10115.0,-11583.0,5008.0,-2622.0,-1.0,-4.0,-6.0,2.0,-2.0,6.0,8650.0,-13484.0,3078.0,-1528.0,6.0,-8.0,-12.0,1.0
2022-05-23 14:20:29.221439-07:00,1287.3,780.3,1065.1,960.2,878.9,856.2,1637.9,1401.2,3467.4,3464.9,1059.1,858.7,1663.4,3467.4,1182.3,1192.0,3480.7,3475.9,1680.5,2173.8,3039.7,3491.7,1695.7,3495.3,3478.3,3481.9,646.5,777.8,1576.8,997.0,898.3,876.4,14.0,19.0,8.0,10118.0,-11581.0,5007.0,-2622.0,28.0,1.0,-3.0,3.0,-6.0,8.0,8654.0,-13481.0,3075.0,-1531.0,30.0,-2.0,-11.0,1.0
2022-05-23 14:20:29.280092-07:00,1287.3,780.3,1065.1,960.2,846.1,848.6,1649.2,1401.2,3469.8,3464.9,1059.1,858.7,1665.3,3471.0,1174.4,1192.0,3480.7,3473.4,1680.5,2165.6,3039.7,3491.7,1695.7,3484.4,3478.3,3467.4,643.2,785.2,1576.8,997.0,898.3,878.9,8.0,16.0,7.0,10122.0,-11577.0,5005.0,-2625.0,1.0,-4.0,-7.0,1.0,-4.0,5.0,8656.0,-13480.0,3075.0,-1531.0,-5.0,-4.0,-6.0,1.0
2022-05-23 14:20:29.310247-07:00,1287.3,784.4,1041.8,955.1,846.1,848.6,1645.4,1422.2,3469.8,3467.4,1055.6,853.7,1665.3,3471.0,1174.4,1194.7,3472.2,3467.4,1680.5,2165.6,3023.7,3491.7,1693.8,3484.4,3469.8,3474.6,643.2,785.2,1584.2,1007.3,894.9,878.9,14.0,16.0,8.0,10123.0,-11575.0,5006.0,-2628.0,19.0,23.0,4.0,1.0,-3.0,5.0,8658.0,-13478.0,3074.0,-1532.0,17.0,2.0,-3.0,1.0
2022-05-23 14:20:29.370669-07:00,1281.0,781.9,1041.8,955.1,854.5,838.6,1645.4,1422.2,3468.6,3463.7,1055.6,853.7,1669.1,3474.6,1174.4,1194.7,3472.2,3467.4,1677.6,2168.7,3023.7,3491.7,1693.8,3497.8,3469.8,3474.6,648.1,781.9,1584.2,1007.3,901.7,873.8,11.0,19.0,3.0,10125.0,-11573.0,5007.0,-2630.0,-4.0,-2.0,-5.0,0.0,-5.0,2.0,8659.0,-13478.0,3074.0,-1532.0,-1.0,2.0,-3.0,1.0
2022-05-23 14:20:29.400696-07:00,1281.0,781.9,1039.2,964.5,854.5,838.6,1635.0,1416.7,3468.6,3463.7,1050.4,841.1,1669.1,3474.6,1174.4,1201.8,3467.4,3469.8,1677.6,2168.7,3036.3,3492.9,1693.8,3497.8,3472.2,3473.4,648.1,781.9,1570.2,1007.3,901.7,873.8,13.0,22.0,3.0,10127.0,-11571.0,5006.0,-2631.0,10.0,-3.0,1.0,2.0,0.0,4.0,8661.0,-13477.0,3074.0,-1533.0,-2.0,-1.0,-4.0,1.0
2022-05-23 14:20:29.460242-07:00,1277.4,766.2,1039.2,964.5,859.5,840.3,1635.0,1416.7,3464.9,3471.0,1050.4,841.1,1667.2,3471.0,1174.4,1201.8,3467.4,3469.8,1682.4,2172.8,3036.3,3492.9,1687.2,3485.6,3472.2,3473.4,644.9,791.9,1570.2,1007.3,902.5,870.5,10.0,16.0,8.0,10126.0,-11572.0,5006.0,-2631.0,7.0,0.0,5.0,1.0,-2.0,1.0,8661.0,-13477.0,3074.0,-1533.0,6.0,-3.0,6.0,1.0
