Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-23 14:28:37.741456-07:00,1990.5,612.5,1134.0,1390.3,1078.2,1163.8,1385.7,1668.2,3429.8,3429.8,1408.5,1306.1,1644.5,3431.0,1002.2,1406.7,3417.7,3426.2,801.0,1433.2,968.8,583.5,1186.7,1804.2,3423.7,3429.8,701.1,987.6,1304.3,1359.4,1132.2,1124.4,2.0,-7.0,-15.0,8983.0,13562.0,-1433.0,-1324.0,-103.0,107.0,92.0,-7.0,3.0,-1.0,4354.0,4418.0,11027.0,10411.0,-2.0,-63.0,-89.0,1.0
2022-05-23 14:28:37.801838-07:00,1990.5,612.5,1139.2,1381.2,1078.2,1163.8,1392.1,1666.3,3429.8,3429.8,1410.3,1301.6,1644.5,3431.0,993.6,1404.9,3421.3,3429.8,801.0,1433.2,967.9,582.6,1186.7,1804.2,3426.2,3420.1,701.1,987.6,1298.1,1362.1,1132.2,1124.4,6.0,20.0,-12.0,8985.0,13561.0,-1446.0,-1313.0,101.0,-65.0,-31.0,-5.0,5.0,-11.0,4400.0,4405.0,11045.0,10377.0,65.0,-71.0,-142.0,1.0
2022-05-23 14:28:37.861832-07:00,1975.6,612.5,1139.2,1381.2,1068.6,1163.0,1392.1,1666.3,3423.7,3423.7,1404.9,1301.6,1650.2,3434.6,993.6,1404.9,3421.3,3429.8,797.7,1435.0,967.9,579.4,1185.0,1804.2,3426.2,3420.1,705.2,983.3,1298.1,1357.6,1133.1,1126.1,20.0,-33.0,28.0,8993.0,13551.0,-1447.0,-1354.0,-150.0,-53.0,5.0,1.0,6.0,-4.0,4464.0,4384.0,11044.0,10359.0,-79.0,-82.0,-118.0,1.0
2022-05-23 14:28:37.891850-07:00,1975.6,612.5,1139.2,1395.7,1068.6,1155.9,1393.0,1658.7,3423.7,3423.7,1404.9,1305.2,1650.2,3426.2,997.0,1407.6,3424.9,3422.5,799.4,1435.0,964.5,579.4,1185.0,1804.2,3431.0,3426.2,706.9,983.3,1294.5,1357.6,1133.1,1126.1,-5.0,-19.0,14.0,9071.0,13499.0,-1480.0,-1326.0,-127.0,30.0,163.0,-11.0,-14.0,22.0,4516.0,4367.0,11025.0,10364.0,-1.0,-51.0,-80.0,1.0
2022-05-23 14:28:37.951704-07:00,1983.6,613.3,1141.0,1395.7,1075.6,1155.9,1393.0,1658.7,3423.7,3431.0,1408.5,1305.2,1645.4,3426.2,997.0,1407.6,3424.9,3422.5,799.4,1437.8,964.5,578.6,1185.0,1806.1,3431.0,3426.2,706.9,980.7,1294.5,1361.2,1127.0,1124.4,-2.0,18.0,14.0,9047.0,13513.0,-1514.0,-1299.0,149.0,-10.0,25.0,-10.0,-1.0,21.0,4534.0,4358.0,11060.0,10322.0,121.0,-9.0,-85.0,1.0
2022-05-23 14:28:37.982887-07:00,1983.6,613.3,1141.0,1390.3,1075.6,1170.0,1383.9,1653.0,3423.7,3431.0,1408.5,1302.5,1645.4,3433.4,992.7,1403.0,3421.3,3420.1,802.7,1437.8,968.8,578.6,1185.0,1806.1,3432.2,3424.9,705.2,980.7,1299.0,1361.2,1127.0,1124.4,7.0,-20.0,8.0,9035.0,13521.0,-1511.0,-1302.0,-30.0,19.0,-15.0,-4.0,-7.0,1.0,4549.0,4345.0,11076.0,10304.0,-2.0,-16.0,-33.0,1.0
2022-05-23 14:28:38.041728-07:00,1983.6,610.0,1140.1,1390.3,1077.3,1170.0,1383.9,1653.0,3426.2,3418.9,1399.4,1302.5,1638.8,3433.4,992.7,1403.0,3421.3,3420.1,802.7,1426.8,968.8,581.0,1187.6,1806.1,3432.2,3424.9,705.2,984.2,1299.0,1363.0,1133.1,1121.7,-3.0,-17.0,-14.0,9048.0,13514.0,-1513.0,-1291.0,5.0,-6.0,45.0,-12.0,-7.0,-2.0,4562.0,4350.0,11073.0,10300.0,33.0,-43.0,-6.0,1.0
2022-05-23 14:28:38.102367-07:00,1983.6,610.0,1140.1,1389.4,1077.3,1160.3,1393.0,1648.3,3426.2,3418.9,1399.4,1299.8,1638.8,3426.2,994.5,1400.3,3427.4,3415.3,799.4,1432.3,964.5,581.0,1187.6,1806.1,3432.2,3429.8,700.3,983.3,1293.6,1363.0,1133.1,1121.7,8.0,-1.0,4.0,9042.0,13514.0,-1537.0,-1300.0,-41.0,-59.0,18.0,-6.0,12.0,1.0,4580.0,4364.0,11068.0,10292.0,-43.0,-65.0,-11.0,1.0
2022-05-23 14:28:38.132070-07:00,1970.7,608.4,1143.6,1385.7,1077.3,1160.3,1393.0,1648.3,3426.2,3439.5,1405.8,1302.5,1638.8,3426.2,994.5,1400.3,3427.4,3415.3,799.4,1432.3,969.6,575.4,1189.4,1810.0,3432.2,3429.8,700.3,983.3,1289.1,1361.2,1130.5,1132.2,-1.0,-11.0,6.0,9090.0,13479.0,-1552.0,-1308.0,-142.0,-29.0,41.0,0.0,-5.0,10.0,4613.0,4369.0,11036.0,10309.0,-72.0,-61.0,-11.0,1.0
2022-05-23 14:28:38.191725-07:00,1970.7,608.4,1143.6,1385.7,1074.7,1170.9,1393.9,1652.0,3426.2,3439.5,1405.8,1302.5,1646.4,3418.9,999.6,1403.0,3426.2,3417.7,798.5,1429.5,969.6,575.4,1189.4,1810.0,3418.9,3438.2,697.9,976.5,1289.1,1361.2,1130.5,1132.2,5.0,6.0,23.0,9100.0,13469.0,-1573.0,-1322.0,21.0,-40.0,4.0,0.0,5.0,11.0,4629.0,4373.0,11031.0,10306.0,10.0,-23.0,-17.0,1.0
