Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-23 14:30:22.176432-07:00,2060.5,656.2,1135.7,1360.3,986.7,1199.1,1471.8,1708.1,3429.8,3426.2,1367.6,1295.4,1633.1,3427.4,997.0,1396.7,3431.0,3423.7,804.4,1415.8,978.2,593.1,1233.7,1805.2,3422.5,3431.0,679.9,1019.4,1295.4,1324.1,1097.3,1034.0,48.0,8.0,13.0,8265.0,13896.0,-2414.0,-1098.0,-140.0,-215.0,120.0,25.0,0.0,-44.0,2229.0,1723.0,12481.0,10233.0,-55.0,-218.0,34.0,1.0
2022-05-23 14:30:22.236083-07:00,2060.5,656.2,1135.7,1360.3,995.3,1181.5,1470.9,1687.2,3429.8,3426.2,1367.6,1295.4,1634.1,3421.3,1001.3,1397.6,3421.3,3423.7,805.2,1413.1,978.2,593.1,1233.7,1805.2,3427.4,3424.9,692.9,1017.6,1295.4,1324.1,1097.3,1034.0,47.0,17.0,12.0,8298.0,13858.0,-2487.0,-1155.0,-69.0,-197.0,108.0,52.0,28.0,-11.0,2305.0,1788.0,12451.0,10241.0,-42.0,-236.0,-9.0,1.0
2022-05-23 14:30:22.296454-07:00,2068.5,657.9,1126.1,1373.0,995.3,1181.5,1470.9,1673.8,3423.7,3421.3,1364.8,1304.3,1634.1,3421.3,1001.3,1392.1,3418.9,3423.7,805.2,1413.1,979.9,594.7,1234.6,1814.9,3433.4,3424.9,692.9,1017.6,1295.4,1330.5,1105.1,1028.0,43.0,80.0,30.0,8314.0,13826.0,-2581.0,-1220.0,-69.0,-321.0,47.0,51.0,29.0,-7.0,2399.0,1816.0,12427.0,10245.0,-64.0,-188.0,-149.0,1.0
2022-05-23 14:30:22.326269-07:00,2055.4,657.9,1126.1,1373.0,997.0,1190.3,1459.8,1673.8,3429.8,3421.3,1364.8,1304.3,1632.2,3424.9,997.0,1392.1,3418.9,3421.3,811.9,1419.5,979.9,594.7,1234.6,1803.2,3433.4,3420.1,679.9,1024.5,1295.4,1330.5,1105.1,1028.8,37.0,39.0,70.0,8304.0,13812.0,-2628.0,-1348.0,-25.0,-249.0,-217.0,35.0,5.0,-3.0,2481.0,1787.0,12408.0,10253.0,-119.0,-74.0,-256.0,1.0
2022-05-23 14:30:22.446531-07:00,2055.4,649.7,1135.7,1368.5,997.0,1190.3,1459.8,1666.3,3429.8,3428.6,1369.4,1307.0,1632.2,3424.9,997.0,1388.5,3416.5,3421.3,811.9,1419.5,982.5,595.5,1239.9,1803.2,3424.9,3420.1,679.9,1024.5,1296.3,1323.2,1106.0,1028.8,18.0,-26.0,96.0,8301.0,13812.0,-2565.0,-1478.0,-105.0,-73.0,-298.0,12.0,-27.0,3.0,2548.0,1699.0,12370.0,10298.0,-215.0,63.0,-196.0,1.0
2022-05-23 14:30:22.447544-07:00,2050.4,649.7,1135.7,1368.5,1003.9,1192.9,1468.1,1666.3,3433.4,3428.6,1369.4,1307.0,1633.1,3427.4,1000.5,1388.5,3416.5,3423.7,804.4,1410.3,982.5,595.5,1239.9,1805.2,3424.9,3428.6,675.8,1019.4,1296.3,1323.2,1106.0,1028.8,-3.0,-56.0,69.0,8345.0,13798.0,-2462.0,-1534.0,-140.0,148.0,-157.0,-3.0,-29.0,2.0,2543.0,1616.0,12327.0,10363.0,-167.0,165.0,-43.0,1.0
2022-05-23 14:30:22.476204-07:00,2050.4,646.5,1132.2,1359.4,1003.9,1192.9,1468.1,1668.2,3433.4,3423.7,1366.6,1307.0,1633.1,3427.4,1000.5,1396.7,3424.9,3423.7,804.4,1410.3,977.3,594.7,1232.8,1805.2,3435.8,3428.6,675.8,1019.4,1296.3,1331.4,1107.8,1028.8,-31.0,-37.0,12.0,8368.0,13802.0,-2397.0,-1476.0,207.0,244.0,92.0,-36.0,-30.0,-2.0,2485.0,1566.0,12355.0,10351.0,214.0,178.0,22.0,1.0
2022-05-23 14:30:22.536311-07:00,2059.4,653.0,1132.2,1359.4,985.9,1196.5,1465.4,1668.2,3418.9,3423.7,1366.6,1307.0,1623.7,3428.6,998.7,1396.7,3424.9,3429.8,805.2,1404.0,977.3,594.7,1233.7,1809.0,3435.8,3428.6,670.9,1016.8,1296.3,1331.4,1097.3,1028.0,-59.0,52.0,-3.0,8304.0,13851.0,-2403.0,-1364.0,78.0,88.0,92.0,-50.0,24.0,16.0,2422.0,1542.0,12418.0,10295.0,83.0,143.0,0.0,1.0
2022-05-23 14:30:22.596351-07:00,2059.4,653.0,1135.7,1368.5,985.9,1196.5,1448.8,1655.8,3418.9,3423.7,1362.1,1300.7,1623.7,3428.6,997.0,1388.5,3412.9,3424.9,805.2,1404.0,973.9,592.3,1233.7,1809.0,3429.8,3428.6,670.9,1016.8,1291.8,1326.8,1097.3,1028.0,-27.0,-18.0,4.0,8323.0,13838.0,-2421.0,-1349.0,-128.0,-80.0,52.0,-25.0,-8.0,-2.0,2389.0,1494.0,12400.0,10331.0,-155.0,124.0,3.0,1.0
2022-05-23 14:30:22.626518-07:00,2053.4,653.0,1135.7,1368.5,993.6,1200.9,1448.8,1655.8,3424.9,3426.2,1362.1,1300.7,1625.6,3422.5,997.0,1388.5,3412.9,3424.9,803.5,1414.0,973.9,592.3,1223.9,1806.1,3429.8,3428.6,679.9,1025.4,1291.8,1326.8,1096.4,1021.1,4.0,-37.0,7.0,8385.0,13793.0,-2455.0,-1368.0,-260.0,-5.0,119.0,-6.0,-10.0,-30.0,2356.0,1473.0,12339.0,10415.0,-273.0,52.0,73.0,1.0
