Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-23 14:32:15.189769-07:00,1181.5,732.3,1034.0,944.9,867.9,782.7,1733.9,1389.4,3471.0,3478.3,1011.6,819.4,1712.9,3472.2,1126.1,1099.0,3481.9,3478.3,1600.2,1949.9,2889.6,3492.9,1733.9,3486.8,3488.0,3472.2,613.3,775.3,1551.5,918.6,845.3,857.0,2.0,-26.0,12.0,6212.0,-10151.0,9430.0,-6154.0,45.0,-101.0,-73.0,-2.0,0.0,-4.0,7141.0,-14639.0,1658.0,-631.0,42.0,-19.0,-13.0,1.0
2022-05-23 14:32:15.190423-07:00,1171.8,746.3,1034.0,944.9,861.2,788.6,1733.9,1389.4,3469.8,3462.5,1011.6,819.4,1708.1,3471.0,1126.1,1099.0,3481.9,3478.3,1583.3,1954.8,2889.6,3492.9,1723.4,3489.2,3488.0,3472.2,622.2,781.9,1551.5,918.6,839.4,862.9,21.0,-9.0,31.0,6237.0,-10166.0,9404.0,-6144.0,-14.0,-70.0,11.0,3.0,5.0,-6.0,7152.0,-14634.0,1657.0,-623.0,8.0,-20.0,18.0,1.0
2022-05-23 14:32:15.278460-07:00,1171.8,746.3,1044.4,954.3,861.2,788.6,1741.6,1408.5,3469.8,3462.5,1005.6,817.7,1708.1,3471.0,1125.2,1101.7,3474.6,3475.9,1583.3,1954.8,2924.6,3486.8,1723.4,3489.2,3471.0,3479.5,622.2,781.9,1555.3,922.0,839.4,862.9,6.0,0.0,26.0,6252.0,-10163.0,9398.0,-6143.0,-16.0,-1.0,34.0,0.0,0.0,8.0,7154.0,-14632.0,1663.0,-612.0,-2.0,-10.0,24.0,1.0
2022-05-23 14:32:15.280791-07:00,1189.4,739.7,1044.4,954.3,866.3,781.9,1741.6,1408.5,3469.8,3474.6,1005.6,817.7,1711.0,3469.8,1125.2,1101.7,3474.6,3475.9,1595.5,1956.8,2924.6,3486.8,1729.1,3486.8,3471.0,3479.5,615.7,781.9,1555.3,922.0,840.3,858.7,-2.0,10.0,17.0,6248.0,-10162.0,9407.0,-6135.0,-35.0,-7.0,-10.0,-12.0,6.0,0.0,7143.0,-14638.0,1669.0,-608.0,-38.0,-6.0,9.0,1.0
2022-05-23 14:32:15.338421-07:00,1189.4,739.7,1043.5,961.1,866.3,781.9,1711.0,1391.2,3469.8,3474.6,1009.9,811.0,1711.0,3469.8,1124.4,1098.2,3469.8,3478.3,1595.5,1956.8,2886.3,3499.0,1729.1,3486.8,3474.6,3474.6,615.7,781.9,1559.0,925.4,840.3,858.7,0.0,13.0,-1.0,6239.0,-10174.0,9400.0,-6135.0,-10.0,-20.0,-32.0,-14.0,15.0,-12.0,7129.0,-14645.0,1670.0,-605.0,-41.0,-9.0,-11.0,1.0
2022-05-23 14:32:15.458721-07:00,1178.8,738.1,1046.1,961.1,866.3,781.1,1711.0,1391.2,3463.7,3464.9,1011.6,811.0,1700.5,3467.4,1124.4,1098.2,3469.8,3478.3,1596.4,1956.8,2886.3,3491.7,1737.8,3488.0,3474.6,3474.6,620.5,781.9,1559.0,908.4,840.3,856.2,10.0,0.0,9.0,6229.0,-10187.0,9397.0,-6128.0,-28.0,-8.0,-33.0,-4.0,8.0,-8.0,7107.0,-14656.0,1660.0,-598.0,-41.0,-23.0,-23.0,1.0
2022-05-23 14:32:15.459717-07:00,1178.8,738.1,1046.1,945.8,866.3,786.1,1734.9,1412.2,3463.7,3464.9,1011.6,814.4,1700.5,3469.8,1124.4,1093.8,3472.2,3483.2,1593.6,1956.8,2886.3,3491.7,1737.8,3488.0,3467.4,3468.6,619.7,781.9,1557.1,908.4,840.3,856.2,10.0,-5.0,13.0,6222.0,-10196.0,9393.0,-6127.0,-12.0,-21.0,-2.0,6.0,2.0,-3.0,7100.0,-14662.0,1649.0,-591.0,-12.0,-20.0,-10.0,1.0
2022-05-23 14:32:15.460566-07:00,1165.6,743.0,1047.8,945.8,862.9,786.1,1734.9,1412.2,3463.7,3467.4,1007.3,814.4,1702.4,3469.8,1124.4,1093.8,3472.2,3483.2,1593.6,1952.9,2886.3,3483.2,1720.5,3491.7,3467.4,3468.6,619.7,773.6,1557.1,919.4,847.0,858.7,12.0,6.0,22.0,6229.0,-10205.0,9384.0,-6118.0,-8.0,-43.0,-15.0,5.0,4.0,-4.0,7098.0,-14663.0,1646.0,-585.0,-2.0,-11.0,-7.0,1.0
2022-05-23 14:32:15.518501-07:00,1165.6,743.0,1047.8,952.6,862.9,780.3,1721.5,1393.9,3463.7,3467.4,1007.3,810.2,1702.4,3467.4,1127.0,1102.5,3467.4,3475.9,1588.9,1952.9,2894.1,3483.2,1720.5,3491.7,3467.4,3469.8,622.2,773.6,1554.3,919.4,847.0,858.7,8.0,-6.0,19.0,6235.0,-10213.0,9366.0,-6127.0,29.0,-11.0,-37.0,-1.0,-2.0,0.0,7100.0,-14662.0,1645.0,-586.0,20.0,-2.0,4.0,1.0
2022-05-23 14:32:15.579182-07:00,1170.0,729.9,1046.1,952.6,861.2,780.3,1721.5,1393.9,3472.2,3463.7,1010.8,810.2,1707.2,3467.4,1127.0,1102.5,3467.4,3475.9,1588.9,1958.8,2894.1,3488.0,1715.8,3490.5,3467.4,3469.8,622.2,771.1,1554.3,920.3,836.9,862.1,3.0,-4.0,12.0,6240.0,-10210.0,9357.0,-6140.0,-4.0,21.0,4.0,-4.0,5.0,-7.0,7108.0,-14658.0,1647.0,-585.0,5.0,-2.0,12.0,1.0
2022-05-23 14:32:15.668455-07:00,1170.0,729.9,1046.1,945.8,872.1,784.4,1728.2,1378.5,3472.2,3463.7,1010.8,815.2,1703.3,3461.3,1128.7,1099.0,3464.9,3474.6,1603.0,1945.9,2881.8,3488.0,1715.8,3490.5,3473.4,3474.6,614.1,772.0,1549.7,920.3,836.9,862.1,0.0,0.0,14.0,6244.0,-10204.0,9364.0,-6136.0,4.0,-17.0,36.0,0.0,6.0,-2.0,7109.0,-14656.0,1657.0,-581.0,18.0,-4.0,29.0,1.0
2022-05-23 14:32:15.669692-07:00,1168.2,729.9,1042.6,950.9,872.1,784.4,1728.2,1378.5,3467.4,3473.4,1010.8,816.9,1703.3,3461.3,1128.7,1099.0,3464.9,3474.6,1603.0,1945.9,2882.9,3494.1,1715.8,3490.5,3473.4,3474.6,614.1,772.0,1544.1,923.7,844.4,851.1,12.0,27.0,7.0,6253.0,-10201.0,9359.0,-6138.0,14.0,-10.0,-23.0,0.0,17.0,-5.0,7118.0,-14652.0,1662.0,-580.0,4.0,8.0,-5.0,1.0
2022-05-23 14:32:15.729118-07:00,1168.2,729.9,1042.6,950.9,868.8,782.7,1731.1,1393.0,3467.4,3473.4,1010.8,816.9,1692.9,3467.4,1133.1,1098.2,3478.3,3478.3,1588.9,1947.9,2882.9,3494.1,1715.8,3490.5,3489.2,3477.1,615.7,776.1,1544.1,923.7,844.4,851.1,-6.0,-14.0,8.0,6247.0,-10218.0,9350.0,-6129.0,-26.0,-41.0,-15.0,-8.0,-4.0,-2.0,7107.0,-14658.0,1657.0,-580.0,-20.0,-12.0,-12.0,1.0
2022-05-23 14:32:15.758589-07:00,1167.4,743.9,1032.3,941.5,868.8,782.7,1731.1,1393.0,3475.9,3468.6,1011.6,816.0,1692.9,3467.4,1133.1,1098.2,3478.3,3478.3,1588.9,1947.9,2870.5,3486.8,1711.9,3490.5,3489.2,3477.1,615.7,776.1,1556.2,934.7,841.1,857.9,6.0,1.0,26.0,6261.0,-10220.0,9347.0,-6117.0,0.0,-23.0,20.0,-4.0,3.0,-2.0,7110.0,-14656.0,1656.0,-580.0,13.0,5.0,-5.0,1.0
2022-05-23 14:32:15.818944-07:00,1167.4,743.9,1032.3,941.5,863.7,773.6,1727.2,1404.9,3475.9,3468.6,1011.6,816.0,1702.4,3463.7,1131.4,1101.7,3477.1,3474.6,1589.9,1948.9,2870.5,3486.8,1711.9,3490.5,3475.9,3473.4,614.9,777.8,1556.2,934.7,841.1,857.9,6.0,-2.0,11.0,6262.0,-10213.0,9346.0,-6129.0,24.0,26.0,-5.0,0.0,3.0,-3.0,7115.0,-14654.0,1656.0,-581.0,10.0,4.0,0.0,1.0
2022-05-23 14:32:15.908524-07:00,1155.0,736.5,1044.4,949.2,863.7,773.6,1727.2,1404.9,3469.8,3472.2,1007.3,811.9,1702.4,3463.7,1131.4,1101.7,3477.1,3474.6,1589.9,1948.9,2876.1,3490.5,1709.1,3491.7,3475.9,3473.4,614.9,777.8,1559.9,914.4,841.1,861.2,12.0,4.0,15.0,6270.0,-10203.0,9340.0,-6147.0,79.0,27.0,-4.0,0.0,8.0,-8.0,7127.0,-14648.0,1657.0,-585.0,61.0,12.0,-4.0,1.0
2022-05-23 14:32:15.909473-07:00,1170.0,736.5,1044.4,949.2,870.5,785.2,1706.2,1394.8,3468.6,3472.2,1007.3,811.9,1702.4,3478.3,1124.4,1099.9,3475.9,3473.4,1602.1,1956.8,2876.1,3490.5,1709.1,3494.1,3478.3,3467.4,623.8,778.6,1559.9,914.4,841.1,854.5,-4.0,1.0,3.0,6278.0,-10180.0,9333.0,-6188.0,65.0,57.0,0.0,-2.0,1.0,0.0,7150.0,-14637.0,1653.0,-589.0,52.0,-1.0,-8.0,1.0
