Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-23 14:36:57.264816-07:00,1325.0,811.9,1039.2,976.5,849.5,818.5,1648.3,1341.3,3471.0,3483.2,1042.6,826.9,1592.7,3469.8,1186.7,1180.6,3478.3,3478.3,1657.7,2123.0,2791.2,3484.4,1641.6,3490.5,3471.0,3467.4,632.7,768.7,1613.4,1017.6,933.0,939.0,-11.0,-9.0,-7.0,5795.0,-6157.0,11310.0,-8308.0,18.0,54.0,-17.0,-2.0,3.0,4.0,8582.0,-13780.0,2049.0,-833.0,-12.0,30.0,-1.0,1.0
2022-05-23 14:36:57.324871-07:00,1341.3,820.2,1059.9,964.5,849.5,818.5,1648.3,1341.3,3471.0,3467.4,1048.7,829.4,1592.7,3469.8,1186.7,1180.6,3478.3,3478.3,1657.7,2123.0,2792.3,3480.7,1644.5,3497.8,3471.0,3467.4,632.7,768.7,1619.0,1021.9,927.9,945.8,-7.0,1.0,-16.0,5783.0,-6148.0,11316.0,-8315.0,-12.0,18.0,-5.0,-3.0,2.0,-1.0,8581.0,-13780.0,2053.0,-840.0,-16.0,10.0,1.0,1.0
2022-05-23 14:36:57.355069-07:00,1331.4,820.2,1059.9,964.5,866.3,823.5,1643.5,1334.1,3469.8,3467.4,1048.7,829.4,1588.9,3472.2,1187.6,1187.6,3457.6,3474.6,1653.0,2125.0,2792.3,3480.7,1644.5,3489.2,3467.4,3472.2,627.8,762.0,1619.0,1021.9,927.9,941.5,-2.0,-10.0,-11.0,5779.0,-6146.0,11321.0,-8314.0,13.0,18.0,6.0,0.0,0.0,1.0,8578.0,-13782.0,2053.0,-839.0,2.0,0.0,5.0,1.0
2022-05-23 14:36:57.415494-07:00,1331.4,808.5,1049.6,978.2,866.3,823.5,1643.5,1347.6,3469.8,3467.4,1049.6,822.7,1588.9,3472.2,1187.6,1181.5,3469.8,3474.6,1653.0,2125.0,2791.2,3492.9,1642.6,3489.2,3480.7,3472.2,627.8,762.0,1604.9,1015.9,939.8,941.5,5.0,-3.0,-7.0,5780.0,-6141.0,11318.0,-8320.0,22.0,-7.0,-5.0,4.0,2.0,0.0,8585.0,-13777.0,2052.0,-840.0,13.0,-11.0,6.0,1.0
2022-05-23 14:36:57.475183-07:00,1305.2,808.5,1049.6,978.2,851.1,821.9,1656.8,1347.6,3469.8,3467.4,1049.6,822.7,1595.5,3469.8,1190.3,1181.5,3469.8,3480.7,1655.8,2131.1,2791.2,3492.9,1642.6,3494.1,3480.7,3474.6,625.4,771.1,1604.9,1015.9,939.8,942.4,-2.0,-5.0,3.0,5785.0,-6138.0,11312.0,-8327.0,23.0,-12.0,17.0,3.0,3.0,7.0,8592.0,-13774.0,2050.0,-832.0,26.0,-22.0,15.0,1.0
2022-05-23 14:36:57.535143-07:00,1305.2,801.0,1053.0,985.9,851.1,821.9,1656.8,1354.9,3469.8,3474.6,1041.8,824.4,1595.5,3469.8,1190.3,1185.9,3478.3,3480.7,1655.8,2131.1,2789.0,3495.3,1645.4,3494.1,3475.9,3474.6,625.4,771.1,1618.1,1022.8,936.4,942.4,0.0,14.0,5.0,5790.0,-6130.0,11311.0,-8331.0,22.0,16.0,-12.0,2.0,8.0,11.0,8597.0,-13771.0,2051.0,-828.0,9.0,5.0,0.0,1.0
2022-05-23 14:36:57.565010-07:00,1320.5,801.0,1053.0,985.9,864.6,826.9,1643.5,1354.9,3468.6,3474.6,1041.8,824.4,1588.0,3473.4,1191.2,1185.9,3478.3,3473.4,1653.0,2126.0,2789.0,3495.3,1645.4,3491.7,3475.9,3472.2,627.0,767.8,1618.1,1022.8,936.4,937.3,0.0,-7.0,-10.0,5782.0,-6131.0,11306.0,-8342.0,11.0,22.0,-22.0,1.0,3.0,0.0,8597.0,-13770.0,2050.0,-836.0,-1.0,15.0,-15.0,1.0
2022-05-23 14:36:57.625064-07:00,1320.5,802.7,1066.0,973.9,864.6,826.9,1652.0,1359.4,3468.6,3469.8,1040.9,826.0,1588.0,3473.4,1196.5,1188.5,3478.3,3478.3,1653.0,2126.0,2786.8,3486.8,1644.5,3491.7,3472.2,3467.4,627.0,767.8,1618.1,1017.6,935.6,937.3,0.0,1.0,-14.0,5778.0,-6127.0,11303.0,-8351.0,24.0,0.0,1.0,3.0,1.0,3.0,8600.0,-13769.0,2049.0,-839.0,21.0,2.0,-6.0,1.0
2022-05-23 14:36:57.655084-07:00,1331.4,818.5,1066.0,973.9,862.9,816.0,1652.0,1359.4,3467.4,3472.2,1040.9,826.0,1589.9,3472.2,1196.5,1188.5,3478.3,3478.3,1648.3,2124.0,2786.8,3486.8,1640.7,3488.0,3472.2,3467.4,626.2,778.6,1618.1,1017.6,934.7,940.7,3.0,-7.0,-9.0,5782.0,-6130.0,11301.0,-8349.0,16.0,-24.0,9.0,7.0,3.0,0.0,8602.0,-13768.0,2046.0,-835.0,8.0,-17.0,-3.0,1.0
2022-05-23 14:36:57.715124-07:00,1331.4,818.5,1052.2,993.6,862.9,816.0,1632.2,1324.1,3467.4,3472.2,1046.1,826.0,1589.9,3472.2,1190.3,1186.7,3468.6,3477.1,1648.3,2124.0,2799.0,3490.5,1640.7,3488.0,3471.0,3475.9,626.2,778.6,1607.7,1022.8,934.7,940.7,5.0,9.0,2.0,5794.0,-6128.0,11289.0,-8359.0,42.0,-5.0,-12.0,10.0,11.0,8.0,8618.0,-13759.0,2039.0,-836.0,37.0,-5.0,-21.0,1.0
