Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-23 14:46:56.665922-07:00,1215.1,803.5,1052.2,971.3,1104.3,922.0,1800.3,1434.1,3466.1,3469.8,1085.1,882.3,1687.2,3477.1,1225.7,1250.6,3471.0,3468.6,1682.4,2140.2,2755.8,3490.5,1716.7,3497.8,3469.8,3473.4,657.9,827.7,1712.9,989.3,960.2,873.8,10.0,18.0,9.0,7516.0,-9439.0,9208.0,-6170.0,-333.0,30.0,66.0,-8.0,0.0,-4.0,8778.0,-13465.0,-2796.0,1501.0,-323.0,-9.0,65.0,1.0
2022-05-23 14:46:56.696032-07:00,1223.9,802.7,1059.9,971.3,1099.0,922.0,1800.3,1434.1,3473.4,3467.4,1079.0,882.3,1694.8,3477.1,1225.7,1250.6,3471.0,3468.6,1682.4,2127.0,2755.8,3489.2,1712.9,3491.7,3469.8,3473.4,657.9,833.6,1712.9,991.0,939.0,874.7,6.0,-12.0,21.0,7408.0,-9500.0,9281.0,-6097.0,-347.0,99.0,-34.0,-5.0,-16.0,4.0,8653.0,-13548.0,-2793.0,1490.0,-319.0,8.0,35.0,1.0
2022-05-23 14:46:56.697064-07:00,1223.9,802.7,1059.9,971.3,1099.0,910.1,1786.8,1460.8,3473.4,3467.4,1079.0,881.4,1694.8,3467.4,1227.5,1254.2,3478.3,3463.7,1684.3,2127.0,2755.8,3489.2,1712.9,3491.7,3480.7,3467.4,657.9,833.6,1707.2,991.0,939.0,874.7,-4.0,-33.0,17.0,7315.0,-9528.0,9338.0,-6079.0,-143.0,143.0,14.0,-3.0,-17.0,10.0,8563.0,-13607.0,-2788.0,1476.0,-118.0,28.0,42.0,1.0
2022-05-23 14:46:56.786120-07:00,1217.7,798.5,1053.0,971.3,1099.9,910.1,1786.8,1460.8,3469.8,3472.2,1087.7,881.4,1689.1,3467.4,1227.5,1254.2,3478.3,3463.7,1684.3,2130.1,2755.8,3496.6,1711.0,3490.5,3480.7,3467.4,657.9,826.0,1707.2,993.6,946.6,870.5,-1.0,-3.0,-16.0,7285.0,-9502.0,9380.0,-6090.0,-29.0,91.0,68.0,-7.0,-2.0,-14.0,8543.0,-13625.0,-2766.0,1470.0,-32.0,29.0,43.0,1.0
2022-05-23 14:46:56.845952-07:00,1217.7,798.5,1053.0,973.9,1089.5,910.1,1795.5,1423.1,3469.8,3472.2,1087.7,881.4,1692.9,3469.8,1228.4,1253.3,3473.4,3468.6,1684.3,2132.1,2772.4,3496.6,1711.0,3490.5,3477.1,3471.0,650.5,825.2,1707.2,993.6,946.6,870.5,3.0,5.0,1.0,7255.0,-9494.0,9415.0,-6085.0,-97.0,79.0,3.0,-10.0,-3.0,-3.0,8522.0,-13641.0,-2749.0,1472.0,-72.0,-4.0,35.0,1.0
2022-05-23 14:46:56.847093-07:00,1212.4,804.4,1060.8,972.2,1089.5,910.1,1795.5,1423.1,3468.6,3468.6,1084.2,873.0,1692.9,3469.8,1228.4,1253.3,3473.4,3468.6,1684.3,2132.1,2750.2,3485.6,1710.0,3484.4,3477.1,3471.0,650.5,825.2,1702.4,995.3,941.5,872.1,-11.0,-8.0,-6.0,7219.0,-9501.0,9429.0,-6095.0,-13.0,55.0,-30.0,-6.0,-10.0,12.0,8504.0,-13653.0,-2744.0,1474.0,-22.0,9.0,7.0,1.0
2022-05-23 14:46:56.905889-07:00,1212.4,804.4,1060.8,972.2,1092.1,914.4,1787.8,1416.7,3468.6,3468.6,1084.2,873.0,1691.0,3464.9,1239.9,1251.5,3467.4,3472.2,1681.4,2124.0,2750.2,3485.6,1710.0,3484.4,3477.1,3478.3,656.2,830.2,1702.4,995.3,941.5,872.1,3.0,-7.0,16.0,7223.0,-9495.0,9433.0,-6094.0,44.0,9.0,48.0,-12.0,-11.0,-2.0,8501.0,-13657.0,-2738.0,1474.0,25.0,8.0,12.0,1.0
2022-05-23 14:46:56.936660-07:00,1213.3,808.5,1058.2,967.1,1092.1,914.4,1787.8,1416.7,3468.6,3467.4,1076.4,883.1,1691.0,3464.9,1239.9,1251.5,3467.4,3472.2,1681.4,2124.0,2760.2,3485.6,1721.5,3486.8,3477.1,3478.3,656.2,830.2,1711.0,994.5,944.9,875.5,-13.0,-9.0,-3.0,7246.0,-9460.0,9422.0,-6138.0,199.0,39.0,-33.0,-9.0,-9.0,11.0,8530.0,-13639.0,-2729.0,1485.0,108.0,2.0,11.0,1.0
2022-05-23 14:46:56.996676-07:00,1213.3,808.5,1058.2,967.1,1086.8,911.8,1764.6,1421.3,3468.6,3467.4,1076.4,883.1,1686.2,3457.6,1233.7,1248.0,3473.4,3478.3,1663.4,2133.1,2760.2,3485.6,1721.5,3486.8,3483.2,3478.3,656.2,838.6,1711.0,994.5,944.9,875.5,1.0,-19.0,-10.0,7271.0,-9447.0,9401.0,-6161.0,-36.0,-14.0,18.0,-9.0,-12.0,-4.0,8550.0,-13627.0,-2725.0,1492.0,-28.0,-15.0,-1.0,1.0
2022-05-23 14:46:57.146291-07:00,1218.6,816.0,1054.8,984.2,1086.8,911.8,1764.6,1421.3,3473.4,3469.8,1076.4,878.0,1686.2,3457.6,1233.7,1248.0,3473.4,3478.3,1663.4,2133.1,2756.9,3483.2,1702.4,3494.1,3483.2,3478.3,656.2,838.6,1706.2,994.5,938.1,877.2,-13.0,-16.0,-17.0,7304.0,-9433.0,9392.0,-6156.0,182.0,-142.0,9.0,6.0,-14.0,15.0,8573.0,-13612.0,-2719.0,1499.0,179.0,28.0,16.0,1.0
2022-05-23 14:46:57.149080-07:00,1214.2,816.0,1054.8,984.2,1088.6,905.0,1767.5,1436.0,3471.0,3469.8,1076.4,878.0,1682.4,3472.2,1228.4,1253.3,3471.0,3469.8,1680.5,2127.0,2756.9,3483.2,1702.4,3488.0,3478.3,3477.1,657.9,821.0,1706.2,994.5,938.1,888.2,27.0,27.0,-14.0,7438.0,-9429.0,9267.0,-6191.0,299.0,-195.0,-117.0,-20.0,22.0,-43.0,8650.0,-13567.0,-2699.0,1507.0,194.0,0.0,-15.0,1.0
2022-05-23 14:46:57.265815-07:00,1214.2,807.7,1056.5,967.9,1088.6,905.0,1767.5,1447.9,3471.0,3480.7,1080.8,874.7,1682.4,3472.2,1228.4,1245.3,3475.9,3469.8,1680.5,2127.0,2741.4,3486.8,1709.1,3488.0,3467.4,3477.1,657.9,821.0,1706.2,990.2,943.2,888.2,-23.0,13.0,2.0,7478.0,-9435.0,9210.0,-6218.0,-2.0,-96.0,-46.0,-7.0,-11.0,23.0,8694.0,-13531.0,-2728.0,1520.0,44.0,-70.0,-70.0,1.0
