Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-23 14:49:36.474114-07:00,1230.2,791.0,1035.7,973.1,1007.3,858.7,1619.9,1253.3,3473.4,3468.6,1090.3,857.0,1490.3,3473.4,1272.1,1208.0,3471.0,3475.9,1552.5,2020.4,2555.1,3491.7,1756.0,3495.3,3484.4,3483.2,626.2,832.7,1811.9,990.2,918.6,893.2,-10.0,6.0,-12.0,7752.0,-7451.0,9708.0,-7654.0,15.0,35.0,10.0,-11.0,1.0,3.0,9099.0,-12815.0,-3741.0,2725.0,-6.0,21.0,19.0,1.0
2022-05-23 14:49:36.474966-07:00,1231.9,791.0,1035.7,973.1,1011.6,858.7,1653.0,1253.3,3457.6,3468.6,1090.3,857.0,1489.3,3461.3,1273.9,1208.0,3471.0,3471.0,1558.1,2023.4,2555.1,3491.7,1756.0,3491.7,3484.4,3478.3,627.0,831.9,1811.9,990.2,918.6,905.0,-3.0,1.0,-15.0,7743.0,-7445.0,9717.0,-7658.0,-4.0,24.0,3.0,-2.0,-1.0,2.0,9096.0,-12820.0,-3734.0,2722.0,-11.0,15.0,6.0,1.0
2022-05-23 14:49:36.503602-07:00,1231.9,788.6,1042.6,979.0,1011.6,858.7,1653.0,1264.0,3457.6,3475.9,1092.1,855.3,1489.3,3461.3,1273.9,1209.7,3480.7,3471.0,1558.1,2023.4,2563.7,3491.7,1755.0,3491.7,3474.6,3478.3,627.0,831.9,1797.4,987.6,924.5,905.0,3.0,-4.0,-11.0,7740.0,-7446.0,9720.0,-7656.0,-14.0,-14.0,-6.0,4.0,-2.0,1.0,9091.0,-12823.0,-3735.0,2720.0,-17.0,0.0,1.0,1.0
2022-05-23 14:49:36.563642-07:00,1219.5,788.6,1042.6,979.0,1012.5,853.7,1623.7,1264.0,3472.2,3475.9,1092.1,855.3,1491.2,3460.1,1270.3,1209.7,3480.7,3472.2,1554.3,2020.4,2563.7,3491.7,1755.0,3488.0,3474.6,3475.9,629.5,834.4,1797.4,987.6,924.5,890.7,0.0,0.0,-3.0,7742.0,-7444.0,9717.0,-7659.0,17.0,-5.0,0.0,4.0,-2.0,8.0,9094.0,-12822.0,-3735.0,2720.0,9.0,-4.0,-3.0,1.0
2022-05-23 14:49:36.654810-07:00,1219.5,789.4,1034.0,977.3,1012.5,853.7,1619.0,1250.6,3472.2,3474.6,1092.1,859.5,1491.2,3460.1,1272.1,1200.0,3473.4,3478.3,1554.3,2020.4,2566.9,3497.8,1739.7,3488.0,3478.3,3473.4,629.5,834.4,1802.3,985.0,926.2,890.7,-2.0,-1.0,-8.0,7744.0,-7444.0,9715.0,-7659.0,-2.0,-3.0,-12.0,-1.0,-3.0,8.0,9093.0,-12822.0,-3735.0,2720.0,-13.0,-2.0,-6.0,1.0
2022-05-23 14:49:36.655910-07:00,1223.0,786.9,1034.0,977.3,1013.3,843.6,1619.0,1250.6,3457.6,3469.8,1092.1,859.5,1499.5,3467.4,1272.1,1200.0,3473.4,3478.3,1553.4,2018.4,2566.9,3497.8,1753.1,3485.6,3478.3,3473.4,631.9,836.9,1802.3,985.0,930.5,889.8,-4.0,-3.0,-6.0,7745.0,-7443.0,9714.0,-7661.0,20.0,7.0,4.0,-4.0,-5.0,6.0,9093.0,-12822.0,-3734.0,2721.0,9.0,-1.0,-1.0,1.0
2022-05-23 14:49:36.743551-07:00,1223.0,786.9,1045.2,981.6,1013.3,843.6,1624.7,1242.6,3457.6,3469.8,1090.3,858.7,1499.5,3467.4,1290.0,1205.3,3475.9,3469.8,1553.4,2018.4,2559.4,3486.8,1753.1,3485.6,3478.3,3472.2,631.9,836.9,1813.9,990.2,930.5,889.8,-10.0,-6.0,-4.0,7750.0,-7438.0,9710.0,-7666.0,27.0,2.0,-4.0,-9.0,-8.0,5.0,9098.0,-12819.0,-3733.0,2722.0,14.0,-5.0,8.0,1.0
2022-05-23 14:49:36.773517-07:00,1229.3,790.2,1045.2,981.6,995.3,842.8,1624.7,1242.6,3462.5,3468.6,1090.3,858.7,1494.0,3467.4,1290.0,1205.3,3475.9,3469.8,1555.3,2014.4,2559.4,3486.8,1744.5,3485.6,3478.3,3472.2,632.7,835.2,1813.9,990.2,926.2,890.7,-6.0,13.0,-10.0,7753.0,-7426.0,9712.0,-7672.0,16.0,4.0,13.0,0.0,5.0,12.0,9104.0,-12814.0,-3730.0,2725.0,7.0,-2.0,7.0,1.0
2022-05-23 14:49:36.804017-07:00,1229.3,790.2,1036.6,980.7,995.3,842.8,1619.0,1235.5,3462.5,3468.6,1083.4,856.2,1494.0,3467.4,1270.3,1210.6,3467.4,3467.4,1555.3,2014.4,2550.8,3481.9,1744.5,3485.6,3475.9,3466.1,632.7,835.2,1804.2,984.2,926.2,890.7,0.0,-3.0,-5.0,7750.0,-7434.0,9711.0,-7669.0,-8.0,-4.0,-20.0,-4.0,-3.0,5.0,9096.0,-12820.0,-3732.0,2723.0,-18.0,-1.0,-8.0,1.0
2022-05-23 14:49:36.863555-07:00,1227.5,801.0,1036.6,980.7,1003.0,850.3,1619.0,1235.5,3475.9,3473.4,1083.4,856.2,1495.8,3478.3,1270.3,1210.6,3467.4,3467.4,1560.9,2026.4,2550.8,3481.9,1750.2,3479.5,3475.9,3466.1,633.5,835.2,1804.2,984.2,921.1,893.2,-2.0,1.0,-8.0,7753.0,-7430.0,9708.0,-7672.0,12.0,3.0,13.0,0.0,-3.0,8.0,9100.0,-12817.0,-3731.0,2724.0,10.0,-7.0,4.0,1.0
2022-05-23 14:49:36.923588-07:00,1227.5,801.0,1034.9,987.6,1003.0,858.7,1609.6,1241.7,3475.9,3473.4,1090.3,853.7,1495.8,3469.8,1272.1,1200.9,3474.6,3475.9,1557.1,2026.4,2569.1,3495.3,1750.2,3479.5,3477.1,3479.5,632.7,835.2,1818.7,987.6,921.1,893.2,8.0,-3.0,-1.0,7751.0,-7431.0,9711.0,-7670.0,-8.0,10.0,3.0,3.0,-1.0,-1.0,9098.0,-12819.0,-3731.0,2724.0,-8.0,7.0,6.0,1.0
2022-05-23 14:49:37.013771-07:00,1223.9,790.2,1032.3,987.6,1007.3,858.7,1609.6,1241.7,3467.4,3466.1,1098.2,853.7,1500.4,3469.8,1272.1,1200.9,3474.6,3475.9,1557.1,2028.4,2569.1,3486.8,1746.4,3496.6,3477.1,3479.5,632.7,837.7,1818.7,989.3,930.5,896.6,-2.0,0.0,-6.0,7750.0,-7426.0,9712.0,-7676.0,15.0,3.0,-2.0,-1.0,-1.0,9.0,9098.0,-12819.0,-3730.0,2725.0,-1.0,8.0,16.0,1.0
2022-05-23 14:49:37.015233-07:00,1223.9,790.2,1032.3,974.8,1007.3,852.0,1619.0,1253.3,3467.4,3466.1,1098.2,859.5,1500.4,3473.4,1273.9,1208.0,3477.1,3473.4,1560.9,2028.4,2557.3,3486.8,1746.4,3496.6,3467.4,3473.4,630.3,837.7,1805.2,989.3,930.5,896.6,-3.0,-5.0,-8.0,7748.0,-7424.0,9713.0,-7677.0,2.0,14.0,-1.0,-4.0,-4.0,5.0,9096.0,-12821.0,-3727.0,2725.0,-7.0,2.0,5.0,1.0
2022-05-23 14:49:37.103735-07:00,1231.0,801.9,1044.4,974.8,1005.6,852.0,1619.0,1253.3,3478.3,3473.4,1092.1,859.5,1492.1,3473.4,1273.9,1208.0,3477.1,3473.4,1560.9,2024.4,2557.3,3492.9,1738.7,3486.8,3467.4,3473.4,630.3,834.4,1805.2,983.3,917.7,890.7,-6.0,9.0,-16.0,7748.0,-7420.0,9713.0,-7682.0,-2.0,4.0,-3.0,-8.0,2.0,6.0,9096.0,-12821.0,-3727.0,2725.0,-9.0,7.0,1.0,1.0
2022-05-23 14:49:37.104720-07:00,1231.0,801.9,1044.4,979.9,1005.6,842.8,1636.9,1252.4,3478.3,3473.4,1092.1,855.3,1492.1,3472.2,1264.0,1206.2,3488.0,3466.1,1560.9,2024.4,2562.6,3492.9,1738.7,3486.8,3479.5,3469.8,635.1,834.4,1800.3,983.3,917.7,890.7,0.0,-5.0,-7.0,7743.0,-7422.0,9717.0,-7679.0,1.0,20.0,0.0,0.0,-2.0,5.0,9089.0,-12826.0,-3728.0,2723.0,-8.0,6.0,-2.0,1.0
2022-05-23 14:49:37.163465-07:00,1223.9,799.4,1046.1,976.5,1008.2,842.8,1636.9,1252.4,3477.1,3472.2,1083.4,858.7,1490.3,3472.2,1264.0,1206.2,3488.0,3466.1,1560.9,2025.4,2560.5,3488.0,1744.5,3486.8,3479.5,3469.8,635.1,835.2,1807.1,985.0,922.0,892.4,0.0,0.0,-7.0,7741.0,-7421.0,9719.0,-7680.0,-10.0,2.0,-3.0,4.0,-2.0,8.0,9089.0,-12826.0,-3728.0,2723.0,-15.0,4.0,3.0,1.0
2022-05-23 14:49:37.223778-07:00,1223.9,799.4,1046.1,976.5,1003.9,855.3,1623.7,1250.6,3477.1,3472.2,1083.4,858.7,1496.7,3469.8,1274.7,1208.0,3477.1,3475.9,1553.4,2025.4,2560.5,3488.0,1744.5,3486.8,3477.1,3478.3,627.0,838.6,1807.1,985.0,922.0,892.4,1.0,-5.0,-6.0,7739.0,-7422.0,9721.0,-7679.0,3.0,10.0,5.0,0.0,-2.0,4.0,9083.0,-12830.0,-3730.0,2722.0,-6.0,-2.0,6.0,1.0
2022-05-23 14:49:37.253857-07:00,1231.0,789.4,1038.3,978.2,1003.9,855.3,1623.7,1250.6,3467.4,3478.3,1089.5,857.9,1496.7,3469.8,1274.7,1208.0,3477.1,3475.9,1553.4,2025.4,2559.4,3485.6,1752.1,3494.1,3477.1,3478.3,627.0,838.6,1809.0,985.0,920.3,889.8,-2.0,8.0,-10.0,7738.0,-7422.0,9723.0,-7677.0,-20.0,3.0,3.0,-3.0,0.0,6.0,9083.0,-12830.0,-3730.0,2722.0,-22.0,4.0,0.0,1.0
