Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-23 14:51:12.319075-07:00,2262.1,697.0,1337.7,1505.1,1122.6,1432.3,1590.8,2004.5,3434.6,3429.8,1730.1,1688.1,1681.4,3418.9,1325.0,2018.4,3422.5,3429.8,727.4,1378.5,871.3,562.6,1373.0,2267.2,3433.4,3439.5,1019.4,1239.1,1427.7,1782.0,1455.2,1299.8,-34.0,66.0,18.0,2940.0,2353.0,-12006.0,-10493.0,132.0,-41.0,139.0,-43.0,18.0,44.0,-11998.0,-9815.0,-3601.0,-3896.0,102.0,-38.0,-38.0,1.0
2022-05-23 14:51:12.378712-07:00,2257.9,709.3,1335.9,1505.1,1126.1,1432.3,1590.8,2004.5,3424.9,3427.4,1739.7,1688.1,1677.6,3418.9,1325.0,2018.4,3422.5,3429.8,727.4,1378.5,871.3,561.0,1365.7,2261.0,3433.4,3439.5,1019.4,1235.5,1427.7,1777.2,1451.6,1290.9,-34.0,19.0,-11.0,2949.0,2316.0,-12001.0,-10505.0,-55.0,-63.0,-39.0,-50.0,-19.0,20.0,-12024.0,-9789.0,-3618.0,-3865.0,-15.0,0.0,-79.0,1.0
2022-05-23 14:51:12.408241-07:00,2257.9,709.3,1335.9,1502.3,1126.1,1427.7,1599.3,1972.7,3424.9,3427.4,1739.7,1691.0,1677.6,3422.5,1309.7,2014.4,3429.8,3416.5,724.9,1378.5,875.5,561.0,1365.7,2261.0,3426.2,3417.7,1021.9,1235.5,1427.7,1777.2,1451.6,1290.9,10.0,0.0,-8.0,2902.0,2323.0,-12023.0,-10492.0,168.0,-77.0,-75.0,-17.0,6.0,-8.0,-12016.0,-9796.0,-3659.0,-3836.0,167.0,41.0,-86.0,1.0
2022-05-23 14:51:12.468981-07:00,2242.5,693.8,1331.4,1502.3,1120.9,1427.7,1599.3,1972.7,3433.4,3429.8,1741.6,1691.0,1675.7,3422.5,1309.7,2014.4,3429.8,3416.5,724.9,1372.1,875.5,565.8,1356.7,2257.9,3426.2,3417.7,1021.9,1230.2,1427.7,1777.2,1467.2,1292.7,36.0,-8.0,-10.0,2877.0,2342.0,-12072.0,-10438.0,180.0,-4.0,-11.0,17.0,-5.0,-2.0,-11967.0,-9847.0,-3714.0,-3804.0,236.0,48.0,-70.0,1.0
2022-05-23 14:51:12.529268-07:00,2242.5,693.8,1331.4,1504.1,1120.9,1434.1,1584.2,1959.8,3433.4,3429.8,1741.6,1685.3,1675.7,3427.4,1319.6,2019.4,3426.2,3411.7,722.5,1372.1,871.3,565.8,1356.7,2257.9,3428.6,3429.8,1009.0,1230.2,1426.8,1777.2,1467.2,1292.7,50.0,-15.0,7.0,2881.0,2347.0,-12148.0,-10347.0,298.0,20.0,19.0,31.0,-6.0,1.0,-11894.0,-9926.0,-3766.0,-3775.0,304.0,31.0,-38.0,1.0
2022-05-23 14:51:12.558937-07:00,2238.4,701.1,1328.7,1495.8,1106.9,1434.1,1584.2,1959.8,3418.9,3427.4,1733.0,1684.3,1678.6,3427.4,1319.6,2019.4,3426.2,3411.7,722.5,1373.9,867.9,555.4,1363.0,2249.7,3428.6,3429.8,1009.0,1229.3,1414.9,1782.9,1444.2,1298.1,44.0,-5.0,17.0,2917.0,2349.0,-12228.0,-10242.0,332.0,75.0,70.0,31.0,-10.0,10.0,-11810.0,-10020.0,-3805.0,-3753.0,389.0,41.0,-30.0,1.0
2022-05-23 14:51:12.619213-07:00,2238.4,701.1,1328.7,1495.8,1114.7,1419.5,1537.6,1953.9,3418.9,3427.4,1733.0,1684.3,1674.8,3429.8,1316.9,2014.4,3427.4,3420.1,718.4,1368.5,867.9,555.4,1363.0,2249.7,3428.6,3423.7,1007.3,1221.3,1414.9,1782.9,1444.2,1298.1,25.0,-26.0,12.0,2962.0,2379.0,-12332.0,-10096.0,462.0,160.0,62.0,18.0,-12.0,5.0,-11691.0,-10147.0,-3864.0,-3723.0,510.0,76.0,-2.0,1.0
2022-05-23 14:51:12.738956-07:00,2227.0,690.5,1323.2,1498.6,1114.7,1419.5,1537.6,1953.9,3432.2,3429.8,1725.3,1685.3,1674.8,3429.8,1316.9,2014.4,3427.4,3420.1,718.4,1368.5,870.5,561.8,1356.7,2262.1,3428.6,3423.7,1007.3,1221.3,1427.7,1778.1,1452.5,1307.0,-7.0,6.0,-2.0,3041.0,2434.0,-12450.0,-9913.0,475.0,289.0,180.0,-30.0,4.0,0.0,-11540.0,-10304.0,-3931.0,-3693.0,513.0,55.0,34.0,1.0
2022-05-23 14:51:12.739799-07:00,2227.0,690.5,1323.2,1498.6,1125.2,1422.2,1532.9,1916.4,3432.2,3429.8,1725.3,1685.3,1675.7,3428.6,1316.9,2006.4,3432.2,3429.8,722.5,1370.3,870.5,561.8,1356.7,2262.1,3433.4,3428.6,1011.6,1218.6,1427.7,1778.1,1452.5,1307.0,-53.0,38.0,-47.0,3169.0,2479.0,-12534.0,-9754.0,325.0,257.0,173.0,-62.0,7.0,0.0,-11410.0,-10435.0,-3987.0,-3671.0,390.0,55.0,-1.0,1.0
2022-05-23 14:51:12.798903-07:00,2214.7,692.9,1325.0,1495.8,1125.2,1422.2,1532.9,1916.4,3426.2,3433.4,1727.2,1680.5,1675.7,3428.6,1316.9,2006.4,3432.2,3429.8,722.5,1370.3,866.3,558.6,1354.9,2252.8,3433.4,3428.6,1011.6,1218.6,1419.5,1770.4,1447.9,1290.0,-9.0,10.0,-40.0,3243.0,2514.0,-12604.0,-9630.0,278.0,157.0,101.0,-28.0,14.0,-11.0,-11304.0,-10541.0,-4042.0,-3634.0,325.0,12.0,-56.0,1.0
