Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-23 14:53:25.609723-07:00,1313.3,824.4,1181.5,1042.6,965.4,971.3,1687.2,1246.2,3477.1,3468.6,1148.0,873.8,1604.0,3469.8,1307.9,1245.3,3472.2,3472.2,1588.9,2119.9,2765.7,3497.8,1778.1,3488.0,3475.9,3472.2,668.4,811.9,1737.8,1042.6,1032.3,903.4,8.0,-9.0,3.0,6636.0,-7753.0,10446.0,-7427.0,45.0,-34.0,-27.0,10.0,-5.0,6.0,7583.0,-12475.0,-6301.0,3950.0,27.0,-10.0,-19.0,1.0
2022-05-23 14:53:25.610965-07:00,1321.4,827.7,1178.8,1035.7,965.4,971.3,1687.2,1246.2,3478.3,3474.6,1145.4,873.8,1604.0,3469.8,1307.9,1245.3,3472.2,3472.2,1588.9,2119.9,2767.9,3486.8,1767.5,3479.5,3475.9,3472.2,668.4,811.9,1730.1,1061.7,1028.8,897.4,0.0,11.0,-11.0,6654.0,-7762.0,10422.0,-7436.0,36.0,-63.0,-32.0,7.0,1.0,5.0,7597.0,-12461.0,-6307.0,3956.0,22.0,-15.0,-26.0,1.0
2022-05-23 14:53:25.728834-07:00,1321.4,827.7,1178.8,1035.7,958.5,961.1,1676.7,1227.5,3478.3,3474.6,1145.4,873.8,1599.3,3457.6,1307.9,1246.2,3472.2,3478.3,1589.9,2120.9,2767.9,3486.8,1767.5,3479.5,3474.6,3473.4,669.3,813.5,1730.1,1061.7,1028.8,897.4,-8.0,13.0,-12.0,6664.0,-7788.0,10403.0,-7427.0,-25.0,-83.0,-54.0,-4.0,-1.0,0.0,7595.0,-12456.0,-6320.0,3956.0,-44.0,-30.0,-29.0,1.0
2022-05-23 14:53:25.729850-07:00,1316.0,821.9,1181.5,1034.9,958.5,961.1,1676.7,1227.5,3467.4,3473.4,1148.0,867.1,1599.3,3457.6,1307.9,1246.2,3472.2,3478.3,1589.9,2120.9,2758.0,3486.8,1779.1,3489.2,3474.6,3473.4,669.3,813.5,1734.9,1042.6,1023.7,903.4,-14.0,36.0,-37.0,6651.0,-7871.0,10404.0,-7348.0,-360.0,-207.0,-75.0,-9.0,6.0,-14.0,7559.0,-12467.0,-6348.0,3945.0,-228.0,-51.0,-43.0,1.0
2022-05-23 14:53:25.759135-07:00,1316.0,821.9,1181.5,1034.9,962.0,956.8,1676.7,1239.1,3467.4,3473.4,1148.0,867.1,1608.7,3460.1,1315.1,1248.0,3471.0,3475.9,1585.2,2120.9,2758.0,3486.8,1779.1,3489.2,3478.3,3477.1,657.0,808.5,1734.9,1042.6,1023.7,903.4,-10.0,-35.0,24.0,6624.0,-7957.0,10410.0,-7271.0,-17.0,-84.0,-68.0,-3.0,-28.0,13.0,7482.0,-12497.0,-6396.0,3920.0,-31.0,-48.0,-43.0,1.0
2022-05-23 14:53:25.849659-07:00,1299.0,819.4,1182.3,1037.5,962.0,956.8,1676.7,1261.3,3469.8,3467.4,1143.6,877.2,1608.7,3460.1,1315.1,1246.2,3474.6,3475.9,1585.2,2120.9,2761.3,3486.8,1772.3,3495.3,3474.6,3477.1,657.0,808.5,1724.4,1045.2,1025.4,901.7,-15.0,6.0,7.0,6652.0,-7961.0,10367.0,-7302.0,99.0,-44.0,-61.0,-2.0,-9.0,11.0,7504.0,-12473.0,-6407.0,3938.0,80.0,-20.0,-25.0,1.0
2022-05-23 14:53:25.909099-07:00,1303.4,819.4,1182.3,1037.5,960.2,956.8,1659.6,1261.3,3475.9,3467.4,1143.6,877.2,1604.9,3473.4,1306.1,1246.2,3474.6,3475.9,1595.5,2119.9,2761.3,3486.8,1772.3,3494.1,3474.6,3469.8,659.5,803.5,1724.4,1045.2,1025.4,902.5,-5.0,-10.0,18.0,6651.0,-7978.0,10345.0,-7317.0,6.0,2.0,-58.0,5.0,-15.0,15.0,7517.0,-12460.0,-6412.0,3945.0,-2.0,-2.0,-12.0,1.0
2022-05-23 14:53:25.939663-07:00,1303.4,816.0,1162.1,1034.9,960.2,956.8,1659.6,1245.3,3475.9,3471.0,1143.6,868.8,1604.9,3473.4,1306.1,1241.7,3475.9,3475.9,1595.5,2119.9,2755.8,3486.8,1760.8,3494.1,3474.6,3469.8,659.5,803.5,1710.0,1045.2,1017.6,902.5,2.0,1.0,9.0,6652.0,-7977.0,10332.0,-7335.0,56.0,27.0,-14.0,4.0,-8.0,4.0,7526.0,-12454.0,-6411.0,3948.0,38.0,8.0,5.0,1.0
2022-05-23 14:53:25.969036-07:00,1301.6,816.0,1162.1,1034.9,967.1,956.0,1672.9,1245.3,3469.8,3471.0,1143.6,868.8,1595.5,3467.4,1307.0,1241.7,3475.9,3467.4,1598.3,2107.8,2755.8,3486.8,1760.8,3489.2,3474.6,3483.2,670.1,815.2,1710.0,1045.2,1017.6,900.0,-5.0,-2.0,-10.0,6645.0,-7963.0,10334.0,-7355.0,29.0,42.0,2.0,6.0,-10.0,6.0,7536.0,-12450.0,-6407.0,3949.0,15.0,8.0,-1.0,1.0
2022-05-23 14:53:26.028990-07:00,1301.6,812.7,1174.4,1026.3,967.1,956.0,1672.9,1239.9,3469.8,3469.8,1146.3,873.8,1595.5,3467.4,1307.0,1246.2,3464.9,3467.4,1598.3,2107.8,2760.2,3495.3,1763.7,3489.2,3483.2,3483.2,670.1,815.2,1722.4,1045.2,1013.3,900.0,-10.0,4.0,-5.0,6648.0,-7957.0,10329.0,-7365.0,22.0,-4.0,-16.0,-5.0,-6.0,-4.0,7544.0,-12445.0,-6405.0,3953.0,19.0,1.0,-5.0,1.0
