Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-23 14:55:02.704570-07:00,2324.3,606.0,1150.6,1308.8,964.5,1238.2,1358.5,1750.2,3423.7,3422.5,1478.3,1292.7,1621.8,3414.1,1084.2,1530.1,3416.5,3431.0,786.9,1373.9,928.8,571.4,1279.2,1811.9,3423.7,3428.6,731.5,986.7,1282.8,1383.0,1149.8,1059.9,14.0,20.0,10.0,-1697.0,-2083.0,-12373.0,-10399.0,-15.0,-2.0,-118.0,5.0,1.0,18.0,-11272.0,-9285.0,-5472.0,-5021.0,-93.0,-13.0,4.0,1.0
2022-05-23 14:55:02.705981-07:00,2316.0,599.6,1150.6,1308.8,966.2,1238.2,1358.5,1750.2,3424.9,3427.4,1466.3,1292.7,1615.2,3414.1,1084.2,1530.1,3416.5,3431.0,786.9,1368.5,928.8,572.2,1276.5,1811.0,3423.7,3428.6,731.5,995.3,1282.8,1384.8,1162.1,1034.9,31.0,-5.0,23.0,-1748.0,-2029.0,-12365.0,-10409.0,-66.0,9.0,-188.0,6.0,0.0,-2.0,-11301.0,-9250.0,-5457.0,-5037.0,-95.0,0.0,-6.0,1.0
2022-05-23 14:55:02.706609-07:00,2316.0,599.6,1150.6,1309.7,966.2,1239.1,1331.4,1680.5,3424.9,3427.4,1466.3,1291.8,1615.2,3421.3,1086.8,1526.4,3421.3,3421.3,788.6,1368.5,939.0,572.2,1276.5,1811.0,3429.8,3422.5,724.1,995.3,1281.0,1384.8,1162.1,1034.9,12.0,-15.0,12.0,-1762.0,-1972.0,-12357.0,-10428.0,-54.0,59.0,-51.0,3.0,-1.0,11.0,-11315.0,-9234.0,-5446.0,-5049.0,-41.0,-8.0,20.0,1.0
2022-05-23 14:55:02.734207-07:00,2308.7,607.6,1145.4,1322.3,970.5,1239.1,1331.4,1680.5,3432.2,3424.9,1462.6,1292.7,1619.0,3421.3,1086.8,1526.4,3421.3,3421.3,788.6,1375.7,932.2,573.8,1266.7,1802.3,3429.8,3422.5,724.1,986.7,1273.9,1382.1,1147.1,1039.2,33.0,36.0,8.0,-1739.0,-1945.0,-12346.0,-10449.0,16.0,142.0,-55.0,7.0,0.0,-5.0,-11314.0,-9234.0,-5440.0,-5057.0,23.0,-9.0,3.0,1.0
2022-05-23 14:55:02.794265-07:00,2308.7,607.6,1145.4,1322.3,970.5,1227.5,1324.1,1680.5,3432.2,3424.9,1462.6,1292.7,1619.0,3426.2,1090.3,1514.3,3414.1,3418.9,786.1,1370.3,932.2,573.8,1266.7,1802.3,3429.8,3429.8,725.8,985.9,1273.9,1382.1,1147.1,1039.2,0.0,-2.0,6.0,-1728.0,-1850.0,-12367.0,-10444.0,-43.0,142.0,-171.0,0.0,0.0,16.0,-11320.0,-9234.0,-5433.0,-5050.0,-60.0,-30.0,-6.0,1.0
2022-05-23 14:55:02.914029-07:00,2282.8,607.6,1155.9,1313.3,970.5,1227.5,1324.1,1680.5,3427.4,3418.9,1471.8,1287.3,1619.0,3426.2,1090.3,1514.3,3414.1,3418.9,786.1,1370.3,933.9,565.8,1259.6,1802.3,3429.8,3429.8,725.8,985.9,1279.2,1342.2,1144.5,1036.6,-2.0,10.0,-13.0,-1707.0,-1784.0,-12350.0,-10479.0,-81.0,144.0,-7.0,2.0,-24.0,17.0,-11342.0,-9215.0,-5413.0,-5059.0,-53.0,-5.0,27.0,1.0
2022-05-23 14:55:02.915009-07:00,2282.8,607.6,1155.9,1313.3,967.1,1223.9,1324.1,1660.6,3427.4,3418.9,1471.8,1287.3,1627.5,3422.5,1090.3,1518.0,3421.3,3422.5,777.8,1372.1,933.9,565.8,1259.6,1802.3,3431.0,3423.7,740.6,991.0,1279.2,1342.2,1144.5,1036.6,9.0,51.0,9.0,-1696.0,-1752.0,-12380.0,-10451.0,206.0,39.0,-130.0,-6.0,7.0,5.0,-11326.0,-9227.0,-5429.0,-5056.0,91.0,33.0,-20.0,1.0
2022-05-23 14:55:02.944223-07:00,2277.6,601.2,1155.9,1325.9,967.1,1223.9,1324.1,1660.6,3417.7,3429.8,1469.0,1285.5,1627.5,3422.5,1090.3,1518.0,3421.3,3422.5,777.8,1372.1,936.4,565.8,1246.2,1811.0,3431.0,3423.7,740.6,991.0,1279.2,1388.5,1147.1,1049.6,11.0,-18.0,10.0,-1728.0,-1655.0,-12430.0,-10403.0,46.0,133.0,-264.0,3.0,-8.0,11.0,-11321.0,-9220.0,-5453.0,-5052.0,-30.0,48.0,-34.0,1.0
2022-05-23 14:55:03.004361-07:00,2253.8,601.2,1155.9,1325.9,961.1,1221.3,1313.3,1650.2,3428.6,3429.8,1469.0,1285.5,1615.2,3423.7,1088.6,1520.8,3424.9,3424.9,782.7,1368.5,936.4,565.8,1246.2,1805.2,3427.4,3429.8,751.3,988.5,1279.2,1388.5,1147.1,1044.4,22.0,17.0,8.0,-1747.0,-1561.0,-12481.0,-10353.0,180.0,79.0,-204.0,4.0,0.0,1.0,-11312.0,-9218.0,-5475.0,-5053.0,61.0,57.0,-24.0,1.0
2022-05-23 14:55:03.034420-07:00,2253.8,598.7,1153.3,1312.4,961.1,1221.3,1313.3,1643.5,3428.6,3427.4,1481.9,1286.4,1615.2,3423.7,1088.6,1518.0,3417.7,3424.9,782.7,1368.5,939.8,561.0,1218.6,1805.2,3429.8,3429.8,751.3,988.5,1280.1,1390.3,1146.3,1044.4,34.0,19.0,20.0,-1785.0,-1465.0,-12524.0,-10308.0,67.0,80.0,-285.0,10.0,2.0,1.0,-11302.0,-9216.0,-5500.0,-5051.0,-21.0,35.0,-51.0,1.0
2022-05-23 14:55:03.154700-07:00,2255.9,598.7,1153.3,1312.4,964.5,1216.8,1309.7,1643.5,3428.6,3427.4,1481.9,1286.4,1619.9,3420.1,1085.1,1518.0,3417.7,3416.5,787.7,1369.4,939.8,561.0,1218.6,1807.1,3429.8,3427.4,753.8,981.6,1280.1,1390.3,1146.3,1046.1,6.0,-11.0,6.0,-1831.0,-1341.0,-12551.0,-10284.0,48.0,81.0,-308.0,7.0,-1.0,18.0,-11313.0,-9192.0,-5516.0,-5052.0,-63.0,45.0,-48.0,1.0
2022-05-23 14:55:03.184797-07:00,2255.9,588.3,1148.9,1325.0,964.5,1216.8,1309.7,1657.7,3428.6,3422.5,1466.3,1285.5,1619.9,3420.1,1085.1,1526.4,3417.7,3416.5,787.7,1369.4,923.7,569.8,1211.5,1807.1,3429.8,3427.4,753.8,981.6,1278.3,1383.9,1146.3,1046.1,29.0,-32.0,9.0,-1873.0,-1256.0,-12559.0,-10277.0,-40.0,65.0,-141.0,1.0,-7.0,-7.0,-11328.0,-9158.0,-5530.0,-5066.0,-59.0,51.0,-4.0,1.0
2022-05-23 14:55:03.185724-07:00,2234.2,588.3,1148.9,1325.0,968.8,1213.3,1315.1,1657.7,3426.2,3422.5,1466.3,1285.5,1624.7,3418.9,1084.2,1526.4,3417.7,3427.4,777.8,1373.0,923.7,569.8,1211.5,1797.4,3429.8,3427.4,755.4,988.5,1278.3,1383.9,1146.3,1044.4,9.0,-2.0,-6.0,-1863.0,-1215.0,-12564.0,-10277.0,25.0,52.0,-44.0,-4.0,-6.0,0.0,-11327.0,-9145.0,-5537.0,-5083.0,-1.0,33.0,13.0,1.0
2022-05-23 14:55:03.244515-07:00,2234.2,592.3,1148.0,1312.4,968.8,1213.3,1310.6,1649.2,3426.2,3424.9,1464.4,1285.5,1624.7,3418.9,1087.7,1521.8,3418.9,3426.2,777.8,1373.0,928.8,565.0,1198.2,1797.4,3420.1,3429.8,755.4,988.5,1277.4,1380.3,1148.0,1044.4,11.0,0.0,-1.0,-1861.0,-1209.0,-12569.0,-10273.0,-4.0,-5.0,16.0,0.0,-10.0,4.0,-11321.0,-9145.0,-5542.0,-5092.0,13.0,10.0,5.0,1.0
2022-05-23 14:55:03.334035-07:00,2234.2,589.1,1148.0,1312.4,973.9,1211.5,1310.6,1649.2,3426.2,3423.7,1464.4,1285.5,1640.7,3427.4,1087.7,1521.8,3418.9,3426.2,783.6,1378.5,928.8,565.0,1200.0,1798.4,3420.1,3429.8,741.4,987.6,1277.4,1380.3,1145.4,1035.7,39.0,12.0,8.0,-1861.0,-1229.0,-12572.0,-10266.0,39.0,-22.0,-1.0,9.0,3.0,-13.0,-11315.0,-9152.0,-5546.0,-5089.0,26.0,-7.0,-3.0,1.0
2022-05-23 14:55:03.335383-07:00,2234.2,589.1,1142.7,1316.9,973.9,1211.5,1309.7,1646.4,3426.2,3423.7,1458.9,1289.1,1640.7,3427.4,1086.0,1518.0,3429.8,3429.8,783.6,1378.5,932.2,569.0,1200.0,1798.4,3434.6,3432.2,741.4,987.6,1282.8,1385.7,1145.4,1035.7,20.0,18.0,5.0,-1860.0,-1232.0,-12565.0,-10275.0,-75.0,-33.0,-32.0,11.0,16.0,9.0,-11316.0,-9153.0,-5542.0,-5088.0,-42.0,-15.0,-9.0,1.0
2022-05-23 14:55:03.424123-07:00,2220.9,597.9,1142.7,1316.9,968.8,1243.5,1309.7,1646.4,3426.2,3422.5,1458.9,1289.1,1619.9,3422.5,1086.0,1518.0,3429.8,3429.8,783.6,1374.8,932.2,569.0,1289.1,1792.6,3434.6,3432.2,732.3,986.7,1282.8,1385.7,1140.1,1036.6,18.0,-25.0,14.0,-1871.0,-1233.0,-12532.0,-10314.0,-90.0,6.0,32.0,1.0,-9.0,6.0,-11332.0,-9140.0,-5529.0,-5092.0,-13.0,-18.0,15.0,1.0
2022-05-23 14:55:03.454319-07:00,2220.9,597.9,1150.6,1313.3,968.8,1243.5,1311.5,1651.1,3426.2,3422.5,1489.3,1291.8,1619.9,3422.5,1081.6,1519.9,3424.9,3418.9,783.6,1374.8,926.2,563.4,1289.1,1792.6,3429.8,3428.6,732.3,986.7,1278.3,1391.2,1140.1,1036.6,-21.0,-5.0,8.0,-1833.0,-1255.0,-12526.0,-10324.0,21.0,18.0,137.0,-16.0,-15.0,27.0,-11329.0,-9145.0,-5522.0,-5095.0,59.0,19.0,29.0,1.0
2022-05-23 14:55:03.484685-07:00,2221.9,589.1,1150.6,1313.3,966.2,1269.4,1311.5,1651.1,3415.3,3429.8,1489.3,1291.8,1619.0,3429.8,1081.6,1519.9,3424.9,3418.9,790.2,1365.7,926.2,563.4,1306.1,1798.4,3429.8,3428.6,728.2,989.3,1278.3,1391.2,1154.2,1042.6,6.0,12.0,4.0,-1795.0,-1319.0,-12540.0,-10306.0,109.0,-15.0,164.0,-28.0,-5.0,-10.0,-11306.0,-9163.0,-5542.0,-5093.0,136.0,41.0,4.0,1.0
2022-05-23 14:55:03.574040-07:00,2221.9,589.1,1139.2,1308.8,966.2,1262.2,1302.5,1652.0,3415.3,3429.8,1466.3,1279.2,1619.0,3423.7,1086.0,1526.4,3427.4,3423.7,786.9,1365.7,933.9,568.2,1306.1,1798.4,3427.4,3429.8,722.5,989.3,1279.2,1386.6,1154.2,1042.6,6.0,26.0,-10.0,-1746.0,-1343.0,-12567.0,-10279.0,66.0,63.0,35.0,-5.0,0.0,-3.0,-11269.0,-9198.0,-5572.0,-5081.0,77.0,21.0,-23.0,1.0
2022-05-23 14:55:03.634107-07:00,2229.1,585.1,1141.9,1308.8,967.1,1262.2,1302.5,1652.0,3424.9,3428.6,1458.9,1279.2,1623.7,3423.7,1086.0,1526.4,3427.4,3423.7,786.9,1375.7,933.9,568.2,1324.1,1796.5,3427.4,3429.8,722.5,994.5,1279.2,1384.8,1139.2,1044.4,29.0,-18.0,-13.0,-1739.0,-1328.0,-12577.0,-10270.0,2.0,23.0,-13.0,8.0,-6.0,-14.0,-11258.0,-9209.0,-5587.0,-5066.0,30.0,-22.0,-14.0,1.0
2022-05-23 14:55:03.635648-07:00,2229.1,585.1,1141.9,1311.5,967.1,1259.6,1301.6,1633.1,3424.9,3428.6,1458.9,1291.8,1623.7,3426.2,1082.5,1519.9,3426.2,3420.1,784.4,1375.7,933.9,568.2,1324.1,1796.5,3433.4,3428.6,732.3,994.5,1285.5,1384.8,1139.2,1044.4,48.0,-7.0,-4.0,-1718.0,-1342.0,-12566.0,-10285.0,-67.0,12.0,61.0,27.0,-4.0,-15.0,-11257.0,-9224.0,-5574.0,-5055.0,10.0,-81.0,12.0,1.0
2022-05-23 14:55:03.694069-07:00,2218.8,583.5,1148.9,1311.5,965.4,1259.6,1301.6,1633.1,3429.8,3429.8,1460.8,1291.8,1626.5,3426.2,1082.5,1519.9,3426.2,3420.1,784.4,1370.3,933.9,565.0,1315.1,1800.3,3433.4,3428.6,732.3,985.0,1285.5,1392.1,1143.6,1040.1,36.0,-6.0,-9.0,-1688.0,-1372.0,-12552.0,-10303.0,-16.0,-9.0,42.0,19.0,-12.0,-18.0,-11260.0,-9249.0,-5544.0,-5037.0,43.0,-89.0,4.0,1.0
2022-05-23 14:55:03.784717-07:00,2218.8,583.5,1148.9,1304.3,965.4,1249.7,1286.4,1634.1,3429.8,3429.8,1460.8,1279.2,1626.5,3426.2,1076.4,1518.0,3422.5,3416.5,791.0,1370.3,933.9,565.0,1315.1,1800.3,3429.8,3426.2,725.8,985.0,1281.9,1392.1,1143.6,1040.1,12.0,6.0,-2.0,-1675.0,-1394.0,-12563.0,-10288.0,55.0,-15.0,40.0,-5.0,2.0,-4.0,-11254.0,-9282.0,-5528.0,-5007.0,59.0,-67.0,-1.0,1.0
2022-05-23 14:55:03.785786-07:00,2202.4,590.7,1146.3,1310.6,969.6,1249.7,1286.4,1634.1,3432.2,3423.7,1456.2,1278.3,1623.7,3426.2,1076.4,1518.0,3422.5,3416.5,791.0,1367.6,932.2,567.4,1304.3,1797.4,3429.8,3426.2,725.8,982.5,1277.4,1388.5,1139.2,1039.2,11.0,22.0,29.0,-1664.0,-1405.0,-12564.0,-10287.0,-3.0,32.0,12.0,0.0,-7.0,18.0,-11254.0,-9298.0,-5519.0,-4987.0,15.0,-23.0,-32.0,1.0
2022-05-23 14:55:03.844522-07:00,2202.4,590.7,1146.3,1310.6,967.1,1246.2,1306.1,1628.4,3432.2,3423.7,1456.2,1278.3,1621.8,3429.8,1078.2,1517.1,3418.9,3423.7,784.4,1375.7,932.2,567.4,1304.3,1797.4,3423.7,3418.9,722.5,986.7,1277.4,1388.5,1139.2,1039.2,-25.0,-1.0,23.0,-1654.0,-1366.0,-12578.0,-10277.0,75.0,83.0,-98.0,-16.0,-15.0,43.0,-11264.0,-9289.0,-5529.0,-4969.0,19.0,13.0,-55.0,1.0
2022-05-23 14:55:03.904141-07:00,2207.5,595.5,1150.6,1316.0,967.1,1246.2,1306.1,1628.4,3424.9,3422.5,1447.9,1282.8,1621.8,3429.8,1078.2,1517.1,3418.9,3423.7,784.4,1375.7,927.1,565.8,1298.1,1802.3,3423.7,3418.9,722.5,986.7,1282.8,1397.6,1141.9,1040.9,-21.0,-13.0,21.0,-1664.0,-1346.0,-12586.0,-10269.0,1.0,-26.0,-3.0,-16.0,-19.0,32.0,-11289.0,-9257.0,-5543.0,-4958.0,-11.0,7.0,-24.0,1.0
2022-05-23 14:55:03.934563-07:00,2207.5,595.5,1150.6,1316.0,974.8,1231.9,1292.7,1623.7,3424.9,3422.5,1447.9,1282.8,1621.8,3429.8,1077.3,1526.4,3423.7,3417.7,784.4,1373.9,927.1,565.8,1298.1,1802.3,3428.6,3427.4,718.4,987.6,1282.8,1397.6,1141.9,1040.9,-4.0,27.0,32.0,-1681.0,-1361.0,-12584.0,-10267.0,42.0,-66.0,-2.0,-4.0,0.0,23.0,-11305.0,-9236.0,-5547.0,-4955.0,7.0,33.0,-24.0,1.0
2022-05-23 14:55:03.994607-07:00,2197.3,586.7,1149.8,1312.4,974.8,1231.9,1292.7,1623.7,3429.8,3429.8,1458.0,1281.9,1621.8,3429.8,1077.3,1526.4,3423.7,3417.7,784.4,1373.9,933.9,570.6,1308.8,1794.5,3428.6,3427.4,718.4,987.6,1273.9,1380.3,1142.7,1036.6,20.0,20.0,50.0,-1696.0,-1337.0,-12599.0,-10249.0,41.0,46.0,-122.0,17.0,4.0,22.0,-11301.0,-9222.0,-5571.0,-4965.0,10.0,121.0,-40.0,1.0
2022-05-23 14:55:04.084131-07:00,2197.3,586.7,1149.8,1312.4,962.0,1273.0,1296.3,1618.1,3429.8,3429.8,1458.0,1281.9,1625.6,3427.4,1069.5,1526.4,3429.8,3423.7,787.7,1370.3,933.9,570.6,1308.8,1794.5,3421.3,3426.2,727.4,988.5,1273.9,1380.3,1142.7,1036.6,17.0,-27.0,30.0,-1671.0,-1284.0,-12616.0,-10239.0,73.0,132.0,1.0,28.0,-18.0,20.0,-11282.0,-9203.0,-5619.0,-4989.0,92.0,171.0,-40.0,1.0
2022-05-23 14:55:04.085475-07:00,2217.8,590.7,1152.4,1315.1,962.0,1273.0,1296.3,1618.1,3423.7,3426.2,1448.8,1281.9,1625.6,3427.4,1069.5,1524.5,3432.2,3423.7,787.7,1370.3,927.9,561.0,1313.3,1793.6,3429.8,3426.2,727.4,988.5,1274.7,1384.8,1144.5,1037.5,31.0,-12.0,0.0,-1601.0,-1290.0,-12658.0,-10197.0,172.0,132.0,116.0,6.0,-4.0,-18.0,-11223.0,-9218.0,-5698.0,-5005.0,216.0,174.0,-26.0,1.0
2022-05-23 14:55:04.144183-07:00,2217.8,590.7,1152.4,1315.1,962.0,1268.5,1287.3,1618.1,3423.7,3426.2,1448.8,1281.9,1615.2,3431.0,1080.8,1524.5,3432.2,3427.4,781.1,1366.6,927.9,561.0,1313.3,1795.5,3429.8,3434.6,724.1,987.6,1274.7,1384.8,1144.5,1041.8,40.0,-6.0,-65.0,-1529.0,-1303.0,-12705.0,-10148.0,244.0,110.0,121.0,0.0,14.0,-66.0,-11138.0,-9271.0,-5779.0,-5002.0,276.0,97.0,-2.0,1.0
