Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-23 14:58:40.443534-07:00,1263.1,802.7,1144.5,1004.8,1009.9,916.0,1840.1,1416.7,3461.3,3471.0,1233.7,977.3,1838.2,3468.6,1339.5,1347.6,3467.4,3477.1,1665.3,2256.9,2699.6,3411.7,1787.8,3481.9,3464.9,3475.9,703.6,873.0,1870.3,1058.2,1010.8,896.6,26.0,3.0,-2.0,5979.0,-6114.0,10492.0,-9232.0,-131.0,-54.0,-154.0,11.0,6.0,-6.0,7165.0,-9932.0,-8597.0,6673.0,-152.0,34.0,4.0,1.0
2022-05-23 14:58:40.503345-07:00,1263.1,802.7,1148.9,993.6,1009.9,917.7,1822.6,1403.0,3461.3,3471.0,1230.2,980.7,1838.2,3464.9,1343.1,1353.1,3474.6,3479.5,1651.1,2256.9,2699.6,3420.1,1787.8,3481.9,3469.8,3475.9,698.7,873.0,1873.2,1065.1,1010.8,896.6,8.0,6.0,0.0,5919.0,-6191.0,10467.0,-9247.0,48.0,5.0,-257.0,0.0,-13.0,-7.0,7137.0,-9959.0,-8615.0,6641.0,-48.0,8.0,3.0,1.0
2022-05-23 14:58:40.533182-07:00,1253.3,806.0,1147.1,993.6,1002.2,917.7,1822.6,1403.0,3467.4,3467.4,1239.1,980.7,1834.3,3464.9,1343.1,1353.1,3474.6,3479.5,1651.1,2255.9,2699.6,3402.0,1784.9,3490.5,3469.8,3475.9,698.7,877.2,1873.2,1052.2,1002.2,911.8,-14.0,13.0,-34.0,5883.0,-6266.0,10353.0,-9348.0,312.0,-120.0,-401.0,-12.0,2.0,-6.0,7152.0,-9951.0,-8607.0,6648.0,137.0,16.0,-32.0,1.0
2022-05-23 14:58:40.593287-07:00,1253.3,806.0,1147.1,987.6,1002.2,918.6,1842.0,1393.0,3467.4,3467.4,1239.1,979.9,1834.3,3464.9,1353.1,1361.2,3478.3,3478.3,1651.1,2255.9,2697.4,3402.0,1784.9,3490.5,3475.9,3468.6,692.1,877.2,1864.5,1052.2,1002.2,911.8,8.0,-9.0,-12.0,5870.0,-6391.0,10198.0,-9441.0,197.0,-187.0,-435.0,-4.0,6.0,-14.0,7192.0,-9920.0,-8599.0,6660.0,54.0,-2.0,-57.0,1.0
2022-05-23 14:58:40.683171-07:00,1240.8,805.2,1164.7,987.6,1003.0,918.6,1842.0,1393.0,3473.4,3462.5,1259.6,979.9,1834.3,3464.9,1353.1,1361.2,3478.3,3478.3,1651.1,2259.0,2697.4,3403.2,1783.9,3490.5,3475.9,3468.6,692.1,883.9,1864.5,1062.5,1003.9,909.3,57.0,-14.0,-4.0,5890.0,-6487.0,10036.0,-9536.0,355.0,-200.0,-233.0,11.0,10.0,-16.0,7234.0,-9884.0,-8593.0,6676.0,235.0,-12.0,-73.0,1.0
2022-05-23 14:58:40.684114-07:00,1240.8,805.2,1164.7,1009.9,1003.0,924.5,1845.9,1399.4,3473.4,3462.5,1259.6,985.9,1834.3,3473.4,1383.0,1374.8,3468.6,3462.5,1645.4,2259.0,2683.2,3403.2,1783.9,3490.5,3473.4,3466.1,701.9,883.9,1861.5,1062.5,1003.9,909.3,-42.0,-28.0,19.0,5910.0,-6499.0,9946.0,-9610.0,168.0,-13.0,-89.0,-14.0,-28.0,45.0,7282.0,-9832.0,-8582.0,6714.0,131.0,-26.0,-2.0,1.0
2022-05-23 14:58:40.743225-07:00,1248.8,799.4,1161.2,1000.5,1000.5,924.5,1845.9,1399.4,3469.8,3467.4,1254.2,986.7,1830.4,3473.4,1383.0,1374.8,3468.6,3462.5,1645.4,2230.1,2693.0,3406.8,1767.5,3489.2,3473.4,3466.1,701.9,885.6,1862.5,1065.1,1012.5,912.7,-22.0,8.0,-7.0,5950.0,-6532.0,9876.0,-9635.0,127.0,-197.0,-98.0,-42.0,-1.0,7.0,7298.0,-9819.0,-8558.0,6747.0,22.0,3.0,59.0,1.0
2022-05-23 14:58:40.803206-07:00,1248.8,799.4,1161.2,1000.5,1004.8,924.5,1830.4,1407.6,3469.8,3467.4,1254.2,986.7,1826.5,3461.3,1379.4,1374.8,3467.4,3467.4,1627.5,2252.8,2693.0,3406.8,1767.5,3489.2,3475.9,3469.8,695.4,876.4,1862.5,1065.1,1012.5,912.7,-27.0,-28.0,0.0,5945.0,-6534.0,9858.0,-9655.0,-25.0,108.0,52.0,-18.0,-4.0,19.0,7282.0,-9826.0,-8554.0,6760.0,-42.0,-47.0,30.0,1.0
2022-05-23 14:58:40.833073-07:00,1243.5,792.7,1152.4,993.6,1004.8,924.5,1830.4,1407.6,3463.7,3464.9,1245.3,991.9,1826.5,3461.3,1379.4,1374.8,3467.4,3467.4,1627.5,2252.8,2688.6,3400.8,1764.6,3477.1,3475.9,3469.8,695.4,876.4,1862.5,1054.8,1000.5,910.1,30.0,35.0,0.0,5963.0,-6482.0,9897.0,-9640.0,24.0,14.0,156.0,15.0,4.0,5.0,7269.0,-9830.0,-8549.0,6773.0,36.0,3.0,32.0,1.0
2022-05-23 14:58:40.893895-07:00,1243.5,792.7,1152.4,993.6,1008.2,926.2,1820.7,1389.4,3463.7,3464.9,1245.3,991.9,1812.9,3461.3,1376.6,1369.4,3469.8,3468.6,1633.1,2251.7,2688.6,3400.8,1764.6,3477.1,3462.5,3480.7,688.0,876.4,1862.5,1054.8,1000.5,910.1,56.0,6.0,0.0,5969.0,-6465.0,9916.0,-9627.0,-71.0,38.0,-7.0,26.0,3.0,-11.0,7256.0,-9841.0,-8554.0,6765.0,-85.0,5.0,-18.0,1.0
2022-05-23 14:58:40.983223-07:00,1232.8,791.9,1130.5,996.2,1008.2,926.2,1820.7,1389.4,3461.3,3480.7,1236.4,979.9,1812.9,3461.3,1376.6,1369.4,3469.8,3468.6,1633.1,2251.7,2678.8,3409.3,1761.8,3475.9,3462.5,3480.7,688.0,876.4,1862.5,1059.1,1005.6,903.4,7.0,12.0,-24.0,5944.0,-6464.0,9924.0,-9636.0,-13.0,23.0,-37.0,8.0,10.0,8.0,7250.0,-9849.0,-8569.0,6740.0,-103.0,23.0,-19.0,1.0
2022-05-23 14:58:40.984174-07:00,1232.8,791.9,1130.5,996.2,1011.6,921.1,1834.3,1384.8,3461.3,3480.7,1236.4,979.9,1817.8,3473.4,1366.6,1360.3,3475.9,3467.4,1628.4,2241.4,2678.8,3409.3,1761.8,3475.9,3472.2,3472.2,697.9,871.3,1862.5,1059.1,1005.6,903.4,13.0,-13.0,-12.0,5933.0,-6496.0,9936.0,-9608.0,-101.0,-59.0,-9.0,-11.0,1.0,-18.0,7224.0,-9874.0,-8596.0,6698.0,-124.0,5.0,-37.0,1.0
