Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-23 15:00:43.938253-07:00,2344.1,667.6,1211.5,1402.1,1056.5,1239.1,1321.4,1526.4,3431.0,3429.8,1608.7,1465.4,1611.5,3420.1,1154.2,1594.6,3429.8,3423.7,770.3,1458.0,970.5,592.3,1317.8,1907.5,3427.4,3426.2,812.7,1028.8,1404.0,1538.5,1235.5,991.9,-6.0,12.0,-23.0,-6850.0,-9723.0,-8744.0,-7107.0,-11.0,-46.0,19.0,-6.0,1.0,6.0,-10007.0,-8348.0,-7475.0,-6538.0,-8.0,-27.0,-30.0,1.0
2022-05-23 15:00:43.939604-07:00,2344.1,667.6,1211.5,1402.1,1055.6,1232.8,1309.7,1518.0,3431.0,3429.8,1608.7,1465.4,1611.5,3428.6,1152.4,1595.5,3421.3,3418.9,767.0,1461.7,970.5,592.3,1317.8,1907.5,3423.7,3429.8,804.4,1041.8,1404.0,1538.5,1235.5,991.9,-5.0,2.0,-10.0,-6875.0,-9731.0,-8734.0,-7084.0,-9.0,-88.0,-38.0,-4.0,-1.0,12.0,-10026.0,-8341.0,-7473.0,-6519.0,-5.0,-53.0,-66.0,1.0
2022-05-23 15:00:43.940189-07:00,2349.4,671.7,1218.6,1414.9,1055.6,1232.8,1309.7,1520.8,3426.2,3418.9,1615.2,1454.3,1611.5,3428.6,1152.4,1600.2,3422.5,3418.9,767.0,1461.7,968.8,595.5,1314.2,1887.9,3427.4,3429.8,804.4,1041.8,1404.9,1531.0,1235.5,988.5,-1.0,-18.0,-4.0,-6889.0,-9738.0,-8734.0,-7062.0,-4.0,-24.0,-7.0,-7.0,-2.0,0.0,-10044.0,-8345.0,-7471.0,-6488.0,14.0,-68.0,-23.0,1.0
2022-05-23 15:00:43.998582-07:00,2350.4,671.7,1218.6,1414.9,1048.7,1239.1,1304.3,1520.8,3418.9,3418.9,1615.2,1454.3,1616.2,3423.7,1149.8,1600.2,3422.5,3424.9,772.8,1455.2,968.8,595.5,1314.2,1880.1,3427.4,3424.9,811.0,1031.4,1404.9,1531.0,1235.5,989.3,0.0,-19.0,-57.0,-6904.0,-9743.0,-8713.0,-7065.0,-51.0,-72.0,35.0,-9.0,2.0,-16.0,-10063.0,-8357.0,-7451.0,-6466.0,-27.0,-127.0,-1.0,1.0
2022-05-23 15:00:44.088087-07:00,2350.4,670.9,1208.0,1412.2,1048.7,1239.1,1304.3,1521.8,3418.9,3418.9,1614.3,1460.8,1616.2,3423.7,1149.8,1600.2,3427.4,3424.9,772.8,1455.2,963.7,586.7,1313.3,1880.1,3429.8,3424.9,811.0,1031.4,1404.0,1541.3,1234.6,989.3,-2.0,3.0,-7.0,-6942.0,-9772.0,-8676.0,-7035.0,-19.0,-151.0,2.0,-7.0,5.0,1.0,-10095.0,-8374.0,-7413.0,-6438.0,-22.0,-139.0,-15.0,1.0
2022-05-23 15:00:44.118870-07:00,2340.0,670.9,1208.0,1412.2,1063.4,1231.0,1315.1,1521.8,3427.4,3418.9,1614.3,1460.8,1606.8,3423.7,1151.5,1600.2,3427.4,3414.1,769.5,1454.3,963.7,586.7,1313.3,1902.6,3429.8,3431.0,806.9,1029.7,1404.0,1541.3,1234.6,986.7,-15.0,6.0,40.0,-6975.0,-9776.0,-8657.0,-7019.0,-35.0,-44.0,-22.0,-5.0,-3.0,41.0,-10125.0,-8383.0,-7381.0,-6416.0,-19.0,-59.0,-5.0,1.0
2022-05-23 15:00:44.208307-07:00,2340.0,666.8,1211.5,1417.6,1063.4,1231.0,1315.1,1508.8,3427.4,3418.9,1608.7,1451.6,1606.8,3423.7,1151.5,1593.6,3418.9,3414.1,769.5,1454.3,964.5,588.3,1314.2,1902.6,3417.7,3431.0,806.9,1029.7,1402.1,1532.9,1239.1,986.7,0.0,-13.0,29.0,-6979.0,-9774.0,-8651.0,-7025.0,13.0,12.0,40.0,12.0,-6.0,34.0,-10135.0,-8383.0,-7368.0,-6416.0,21.0,15.0,19.0,1.0
2022-05-23 15:00:44.209250-07:00,2337.9,666.8,1211.5,1417.6,1041.8,1225.7,1306.1,1508.8,3437.0,3418.9,1608.7,1451.6,1605.8,3418.9,1146.3,1593.6,3418.9,3420.1,767.0,1453.4,964.5,588.3,1314.2,1887.9,3417.7,3423.7,802.7,1032.3,1402.1,1532.9,1239.1,994.5,23.0,-5.0,18.0,-6967.0,-9775.0,-8631.0,-7060.0,-76.0,61.0,69.0,26.0,1.0,20.0,-10129.0,-8382.0,-7357.0,-6439.0,-54.0,29.0,48.0,1.0
2022-05-23 15:00:44.238217-07:00,2337.9,666.8,1217.7,1419.5,1041.8,1225.7,1307.9,1510.6,3437.0,3418.9,1609.6,1460.8,1605.8,3418.9,1146.3,1593.6,3422.5,3429.8,767.0,1453.4,966.2,592.3,1308.8,1887.9,3428.6,3432.2,802.7,1032.3,1402.1,1540.3,1235.5,994.5,4.0,1.0,-2.0,-6958.0,-9770.0,-8607.0,-7105.0,-53.0,31.0,81.0,11.0,0.0,18.0,-10127.0,-8372.0,-7337.0,-6476.0,-23.0,33.0,32.0,1.0
2022-05-23 15:00:44.328153-07:00,2333.7,659.5,1217.7,1419.5,1058.2,1231.0,1307.9,1510.6,3424.9,3416.5,1609.6,1460.8,1606.8,3422.5,1146.3,1593.6,3422.5,3429.8,765.3,1455.2,966.2,592.3,1304.3,1883.0,3428.6,3432.2,809.4,1028.8,1402.1,1540.3,1239.1,995.3,-4.0,10.0,-7.0,-6939.0,-9785.0,-8591.0,-7123.0,24.0,23.0,62.0,-5.0,7.0,0.0,-10117.0,-8368.0,-7344.0,-6491.0,18.0,55.0,-6.0,1.0
