Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-23 15:03:22.462052-07:00,2135.1,615.7,1199.1,1390.3,1009.0,1223.0,1324.1,1511.5,3428.6,3418.9,1811.0,1443.3,1566.5,3422.5,1221.3,1615.2,3427.4,3427.4,833.6,1407.6,947.5,581.0,1271.2,1952.9,3432.2,3423.7,738.1,1092.9,1325.0,1520.8,1238.2,1090.3,2.0,-2.0,-16.0,-5675.0,-9645.0,-9226.0,-7621.0,-13.0,-44.0,59.0,3.0,5.0,5.0,-9726.0,-9885.0,-7210.0,-4913.0,12.0,-28.0,14.0,1.0
2022-05-23 15:03:22.522495-07:00,2135.1,623.0,1201.8,1384.8,1009.0,1223.0,1324.1,1515.3,3428.6,3429.8,1805.2,1441.5,1566.5,3422.5,1221.3,1615.2,3426.2,3427.4,833.6,1407.6,938.1,576.2,1270.3,1952.9,3429.8,3423.7,738.1,1092.9,1319.6,1522.7,1236.4,1090.3,0.0,0.0,-12.0,-5684.0,-9652.0,-9191.0,-7649.0,-129.0,13.0,55.0,13.0,-6.0,10.0,-9735.0,-9888.0,-7194.0,-4913.0,-34.0,-25.0,19.0,1.0
2022-05-23 15:03:22.552167-07:00,2129.0,623.0,1201.8,1384.8,1020.2,1227.5,1323.2,1515.3,3428.6,3429.8,1805.2,1441.5,1573.0,3417.7,1208.9,1615.2,3426.2,3415.3,831.9,1416.7,938.1,576.2,1270.3,1950.9,3429.8,3429.8,731.5,1079.9,1319.6,1522.7,1236.4,1089.5,7.0,5.0,-6.0,-5692.0,-9657.0,-9172.0,-7658.0,6.0,-40.0,21.0,19.0,4.0,8.0,-9742.0,-9890.0,-7181.0,-4914.0,19.0,-17.0,5.0,1.0
2022-05-23 15:03:22.612513-07:00,2129.0,616.5,1206.2,1380.3,1020.2,1227.5,1323.2,1511.5,3428.6,3423.7,1806.1,1439.6,1573.0,3417.7,1208.9,1619.9,3417.7,3415.3,831.9,1416.7,936.4,574.6,1269.4,1950.9,3431.0,3429.8,731.5,1079.9,1323.2,1524.5,1242.6,1089.5,9.0,6.0,3.0,-5694.0,-9662.0,-9162.0,-7662.0,-39.0,16.0,22.0,16.0,4.0,10.0,-9744.0,-9895.0,-7173.0,-4914.0,3.0,-13.0,5.0,1.0
2022-05-23 15:03:22.673152-07:00,2135.1,617.3,1206.2,1380.3,1006.5,1227.5,1316.0,1511.5,3426.2,3426.2,1806.1,1439.6,1562.7,3418.9,1217.7,1619.9,3417.7,3424.9,840.3,1409.4,936.4,574.6,1269.4,1951.9,3431.0,3424.9,742.2,1087.7,1323.2,1524.5,1235.5,1099.0,0.0,-10.0,-7.0,-5701.0,-9648.0,-9148.0,-7692.0,-116.0,29.0,5.0,7.0,-12.0,14.0,-9752.0,-9890.0,-7165.0,-4919.0,-18.0,6.0,4.0,1.0
2022-05-23 15:03:22.702190-07:00,2135.1,617.3,1195.6,1376.6,1006.5,1227.5,1331.4,1517.1,3426.2,3426.2,1802.3,1438.7,1562.7,3418.9,1215.1,1611.5,3421.3,3420.1,840.3,1409.4,939.0,579.4,1269.4,1951.9,3426.2,3427.4,742.2,1087.7,1325.0,1518.0,1235.5,1099.0,-2.0,1.0,-14.0,-5687.0,-9653.0,-9145.0,-7699.0,54.0,25.0,47.0,1.0,6.0,4.0,-9740.0,-9897.0,-7172.0,-4917.0,46.0,17.0,8.0,1.0
2022-05-23 15:03:22.762560-07:00,2133.1,618.1,1195.6,1376.6,1009.9,1227.5,1331.4,1517.1,3418.9,3422.5,1802.3,1438.7,1568.3,3429.8,1215.1,1611.5,3421.3,3420.1,838.6,1407.6,939.0,579.4,1271.2,1950.9,3426.2,3427.4,734.0,1085.1,1325.0,1518.0,1242.6,1081.6,2.0,1.0,-8.0,-5673.0,-9650.0,-9134.0,-7727.0,-98.0,78.0,57.0,-2.0,2.0,0.0,-9736.0,-9901.0,-7171.0,-4920.0,-31.0,-12.0,21.0,1.0
2022-05-23 15:03:22.822394-07:00,2133.1,618.1,1188.5,1368.5,1009.9,1227.5,1361.2,1518.0,3418.9,3422.5,1805.2,1439.6,1568.3,3429.8,1202.7,1621.8,3414.1,3414.1,838.6,1407.6,938.1,577.0,1271.2,1950.9,3422.5,3418.9,734.0,1085.1,1325.0,1522.7,1242.6,1081.6,-7.0,0.0,-25.0,-5661.0,-9637.0,-9110.0,-7779.0,-56.0,51.0,79.0,6.0,0.0,13.0,-9737.0,-9902.0,-7163.0,-4927.0,31.0,4.0,13.0,1.0
2022-05-23 15:03:22.852179-07:00,2137.2,607.6,1188.5,1368.5,1000.5,1220.4,1361.2,1518.0,3429.8,3426.2,1805.2,1439.6,1566.5,3429.8,1202.7,1621.8,3414.1,3414.1,830.2,1419.5,938.1,577.0,1268.5,1949.9,3422.5,3418.9,736.5,1087.7,1325.0,1522.7,1239.1,1096.4,2.0,2.0,-16.0,-5648.0,-9653.0,-9101.0,-7780.0,27.0,-25.0,31.0,11.0,2.0,3.0,-9727.0,-9912.0,-7165.0,-4922.0,32.0,-4.0,9.0,1.0
2022-05-23 15:03:22.912276-07:00,2137.2,607.6,1194.7,1379.4,1000.5,1220.4,1333.2,1515.3,3429.8,3426.2,1802.3,1441.5,1566.5,3429.8,1210.6,1617.1,3417.7,3424.9,830.2,1419.5,946.6,577.0,1268.5,1949.9,3423.7,3428.6,736.5,1087.7,1325.0,1520.8,1239.1,1096.4,0.0,0.0,-6.0,-5647.0,-9662.0,-9090.0,-7783.0,-37.0,-17.0,32.0,15.0,3.0,8.0,-9724.0,-9917.0,-7161.0,-4926.0,-17.0,-10.0,16.0,1.0
