Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-23 15:03:22.447115-07:00,1302.5,823.5,1155.9,1027.1,937.3,878.9,1691.0,1282.8,3468.6,3468.6,1190.3,898.3,1619.9,3473.4,1308.8,1215.1,3469.8,3469.8,1708.1,2337.9,2907.7,3490.5,1639.8,3486.8,3471.0,3469.8,639.2,848.6,1720.5,1009.0,963.7,854.5,-5.0,-3.0,-3.0,4788.0,-6771.0,11425.0,-8314.0,9.0,40.0,-57.0,3.0,-4.0,7.0,4897.0,-8494.0,-11206.0,6837.0,-22.0,14.0,-12.0,1.0
2022-05-23 15:03:22.507287-07:00,1302.5,823.5,1155.9,1027.1,933.0,885.6,1693.8,1288.2,3468.6,3468.6,1190.3,898.3,1604.0,3462.5,1309.7,1222.2,3468.6,3478.3,1702.4,2345.2,2907.7,3490.5,1639.8,3486.8,3464.9,3467.4,635.9,847.0,1720.5,1009.0,963.7,854.5,-4.0,-12.0,-8.0,4766.0,-6776.0,11422.0,-8327.0,8.0,43.0,-36.0,0.0,-5.0,4.0,4894.0,-8498.0,-11209.0,6828.0,-20.0,5.0,-4.0,1.0
2022-05-23 15:03:22.567802-07:00,1309.7,822.7,1148.9,1022.8,933.0,885.6,1693.8,1288.2,3467.4,3468.6,1187.6,902.5,1604.0,3462.5,1309.7,1222.2,3468.6,3478.3,1702.4,2345.2,2898.7,3484.4,1640.7,3486.8,3464.9,3467.4,635.9,847.0,1714.8,1004.8,952.6,862.9,4.0,9.0,-11.0,4762.0,-6770.0,11411.0,-8349.0,53.0,21.0,-21.0,2.0,5.0,0.0,4900.0,-8495.0,-11204.0,6836.0,39.0,-4.0,-6.0,1.0
2022-05-23 15:03:22.600476-07:00,1309.7,822.7,1148.9,1022.8,928.8,871.3,1691.0,1292.7,3467.4,3468.6,1187.6,902.5,1615.2,3461.3,1306.1,1215.1,3474.6,3477.1,1690.0,2336.8,2898.7,3484.4,1640.7,3486.8,3469.8,3475.9,633.5,843.6,1714.8,1004.8,952.6,862.9,3.0,-11.0,7.0,4752.0,-6770.0,11409.0,-8357.0,-3.0,35.0,-9.0,2.0,-5.0,6.0,4901.0,-8490.0,-11206.0,6839.0,3.0,-18.0,-11.0,1.0
2022-05-23 15:03:22.687095-07:00,1308.8,824.4,1137.5,1028.0,928.8,871.3,1691.0,1292.7,3468.6,3462.5,1192.9,905.9,1615.2,3461.3,1306.1,1215.1,3474.6,3477.1,1690.0,2336.8,2906.6,3486.8,1640.7,3488.0,3469.8,3475.9,633.5,843.6,1714.8,1024.5,967.9,865.4,-7.0,15.0,-8.0,4744.0,-6752.0,11406.0,-8381.0,53.0,44.0,4.0,0.0,2.0,10.0,4906.0,-8482.0,-11200.0,6854.0,53.0,-11.0,3.0,1.0
2022-05-23 15:03:22.717231-07:00,1308.8,824.4,1137.5,1028.0,937.3,869.6,1695.7,1284.6,3468.6,3462.5,1192.9,905.9,1608.7,3468.6,1302.5,1224.8,3464.9,3475.9,1703.3,2341.0,2906.6,3486.8,1640.7,3488.0,3464.9,3474.6,635.1,847.8,1714.8,1024.5,967.9,865.4,0.0,3.0,0.0,4728.0,-6757.0,11413.0,-8376.0,-57.0,12.0,-34.0,1.0,-1.0,6.0,4901.0,-8485.0,-11204.0,6847.0,-55.0,9.0,-3.0,1.0
2022-05-23 15:03:22.747277-07:00,1310.6,826.9,1140.1,1028.8,937.3,869.6,1695.7,1282.8,3466.1,3475.9,1187.6,897.4,1608.7,3468.6,1302.5,1219.5,3473.4,3475.9,1703.3,2341.0,2896.4,3496.6,1638.8,3483.2,3467.4,3474.6,635.1,847.8,1710.0,1001.3,967.1,862.9,0.0,-4.0,-4.0,4711.0,-6764.0,11412.0,-8383.0,15.0,32.0,-34.0,1.0,-5.0,4.0,4899.0,-8490.0,-11207.0,6838.0,-6.0,11.0,-4.0,1.0
2022-05-23 15:03:22.837799-07:00,1308.8,826.9,1140.1,1028.8,940.7,875.5,1691.9,1282.8,3463.7,3475.9,1187.6,897.4,1617.1,3466.1,1308.8,1219.5,3473.4,3461.3,1707.2,2334.7,2896.4,3496.6,1638.8,3481.9,3467.4,3475.9,634.3,852.0,1710.0,1001.3,967.1,860.4,-8.0,0.0,-11.0,4700.0,-6760.0,11410.0,-8394.0,-4.0,20.0,-1.0,-1.0,-1.0,8.0,4898.0,-8490.0,-11208.0,6837.0,-13.0,-6.0,6.0,1.0
2022-05-23 15:03:22.867196-07:00,1308.8,824.4,1144.5,1023.7,940.7,875.5,1691.9,1282.8,3463.7,3469.8,1192.0,898.3,1617.1,3466.1,1308.8,1216.8,3478.3,3461.3,1707.2,2334.7,2881.8,3492.9,1638.8,3481.9,3462.5,3475.9,634.3,852.0,1711.9,1008.2,965.4,860.4,5.0,9.0,0.0,4699.0,-6758.0,11418.0,-8385.0,7.0,1.0,15.0,0.0,-1.0,2.0,4897.0,-8491.0,-11209.0,6835.0,16.0,3.0,2.0,1.0
2022-05-23 15:03:22.957198-07:00,1309.7,824.4,1144.5,1023.7,937.3,871.3,1693.8,1282.8,3468.6,3469.8,1192.0,898.3,1611.5,3467.4,1307.0,1216.8,3478.3,3475.9,1708.1,2330.6,2881.8,3492.9,1638.8,3489.2,3462.5,3480.7,637.6,836.1,1711.9,1008.2,965.4,860.4,-8.0,14.0,-11.0,4696.0,-6764.0,11413.0,-8389.0,-17.0,-18.0,-52.0,4.0,4.0,11.0,4898.0,-8490.0,-11210.0,6833.0,-35.0,6.0,-16.0,1.0
2022-05-23 15:03:22.987811-07:00,1309.7,826.9,1159.4,1021.1,937.3,871.3,1693.8,1278.3,3468.6,3467.4,1187.6,902.5,1611.5,3467.4,1307.0,1220.4,3478.3,3475.9,1708.1,2330.6,2891.9,3492.9,1643.5,3489.2,3478.3,3480.7,637.6,836.1,1730.1,1003.9,959.4,860.4,3.0,-17.0,-4.0,4689.0,-6795.0,11403.0,-8381.0,-19.0,-23.0,-48.0,1.0,-4.0,2.0,4892.0,-8488.0,-11221.0,6823.0,-23.0,-21.0,-17.0,1.0
