Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-23 15:08:40.257183-07:00,2077.5,564.2,1128.7,1302.5,929.6,1183.2,1239.1,1559.9,3418.9,3434.6,1431.4,1241.7,1444.2,3420.1,1030.6,1414.9,3424.9,3423.7,748.8,1325.9,872.1,544.2,1307.0,1685.3,3435.8,3423.7,711.8,967.9,1246.2,1377.5,1137.5,958.5,10.0,-12.0,15.0,-4398.0,-7388.0,-11227.0,-8274.0,-3.0,6.0,-1.0,10.0,-1.0,10.0,-10738.0,-9983.0,-5384.0,-4948.0,9.0,6.0,-10.0,1.0
2022-05-23 15:08:40.259478-07:00,2077.5,564.2,1128.7,1316.0,929.6,1185.9,1243.5,1554.3,3418.9,3434.6,1431.4,1243.5,1444.2,3422.5,1030.6,1416.7,3422.5,3418.9,748.8,1325.9,861.2,544.2,1307.0,1685.3,3422.5,3429.8,715.9,967.9,1239.9,1377.5,1137.5,958.5,3.0,5.0,10.0,-4388.0,-7392.0,-11227.0,-8277.0,-6.0,26.0,26.0,3.0,0.0,10.0,-10734.0,-9986.0,-5387.0,-4946.0,20.0,10.0,1.0,1.0
2022-05-23 15:08:40.260125-07:00,2063.5,565.8,1134.0,1299.0,923.7,1185.9,1243.5,1554.3,3429.8,3432.2,1427.7,1246.2,1436.9,3422.5,1030.6,1416.7,3422.5,3418.9,748.8,1325.9,862.1,545.0,1310.6,1688.1,3422.5,3429.8,715.9,962.8,1240.8,1372.1,1134.9,963.7,0.0,-3.0,3.0,-4374.0,-7395.0,-11224.0,-8285.0,9.0,14.0,40.0,4.0,-1.0,13.0,-10727.0,-9992.0,-5392.0,-4945.0,27.0,7.0,1.0,1.0
2022-05-23 15:08:40.316904-07:00,2063.5,565.8,1134.0,1299.0,919.4,1175.3,1239.1,1545.9,3429.8,3432.2,1427.7,1246.2,1431.4,3426.2,1034.0,1414.9,3415.3,3427.4,748.8,1330.5,862.1,545.0,1310.6,1688.1,3427.4,3422.5,714.2,963.7,1240.8,1372.1,1134.9,963.7,7.0,-2.0,10.0,-4359.0,-7412.0,-11217.0,-8287.0,35.0,-7.0,68.0,8.0,2.0,9.0,-10715.0,-10005.0,-5397.0,-4939.0,50.0,-1.0,12.0,1.0
2022-05-23 15:08:40.377040-07:00,2066.5,561.0,1128.7,1311.5,919.4,1175.3,1239.1,1545.9,3427.4,3426.2,1420.4,1245.3,1431.4,3426.2,1034.0,1414.9,3415.3,3427.4,748.8,1330.5,867.1,541.8,1310.6,1681.4,3427.4,3422.5,714.2,963.7,1239.1,1368.5,1129.6,956.0,11.0,5.0,11.0,-4338.0,-7433.0,-11212.0,-8286.0,7.0,12.0,48.0,9.0,-1.0,10.0,-10704.0,-10017.0,-5401.0,-4935.0,27.0,5.0,6.0,1.0
2022-05-23 15:08:40.436943-07:00,2066.5,561.0,1128.7,1311.5,916.9,1178.8,1226.6,1556.2,3427.4,3426.2,1420.4,1245.3,1425.9,3426.2,1032.3,1416.7,3420.1,3429.8,752.9,1324.1,867.1,541.8,1310.6,1681.4,3431.0,3418.9,719.2,967.9,1239.1,1368.5,1129.6,956.0,9.0,6.0,10.0,-4326.0,-7439.0,-11209.0,-8292.0,3.0,18.0,2.0,8.0,2.0,9.0,-10700.0,-10019.0,-5404.0,-4935.0,9.0,10.0,2.0,1.0
2022-05-23 15:08:40.466866-07:00,2066.5,565.0,1138.4,1311.5,916.9,1178.8,1226.6,1556.2,3428.6,3433.4,1427.7,1249.7,1425.9,3426.2,1032.3,1416.7,3420.1,3429.8,752.9,1324.1,864.6,548.2,1316.0,1689.1,3431.0,3418.9,719.2,967.9,1238.2,1371.2,1132.2,957.7,4.0,-8.0,7.0,-4321.0,-7432.0,-11209.0,-8300.0,-4.0,29.0,8.0,6.0,0.0,13.0,-10699.0,-10018.0,-5407.0,-4937.0,4.0,12.0,-5.0,1.0
2022-05-23 15:08:40.557028-07:00,2066.5,565.0,1138.4,1311.5,915.2,1183.2,1228.4,1541.3,3428.6,3433.4,1427.7,1249.7,1431.4,3421.3,1032.3,1417.6,3429.8,3431.0,748.0,1325.0,864.6,548.2,1316.0,1689.1,3437.0,3424.9,712.6,967.1,1238.2,1371.2,1132.2,957.7,5.0,4.0,4.0,-4313.0,-7432.0,-11210.0,-8303.0,-8.0,0.0,2.0,7.0,0.0,5.0,-10697.0,-10018.0,-5409.0,-4939.0,-3.0,0.0,-3.0,1.0
2022-05-23 15:08:40.587895-07:00,2056.4,565.0,1136.6,1307.0,915.2,1183.2,1228.4,1535.7,3424.9,3421.3,1426.8,1240.8,1431.4,3421.3,1032.3,1414.9,3431.0,3431.0,748.0,1325.0,863.7,553.8,1307.9,1691.0,3423.7,3424.9,712.6,967.1,1239.9,1371.2,1128.7,956.0,9.0,-3.0,7.0,-4315.0,-7431.0,-11207.0,-8306.0,-24.0,-10.0,3.0,4.0,-1.0,10.0,-10700.0,-10015.0,-5408.0,-4941.0,-19.0,-8.0,-4.0,1.0
2022-05-23 15:08:40.616828-07:00,2054.4,565.0,1136.6,1307.0,908.4,1181.5,1220.4,1535.7,3429.8,3421.3,1426.8,1240.8,1436.0,3431.0,1035.7,1414.9,3431.0,3409.3,747.2,1327.8,863.7,553.8,1307.9,1687.2,3423.7,3424.9,711.0,962.0,1239.9,1371.2,1128.7,959.4,0.0,-1.0,7.0,-4321.0,-7428.0,-11202.0,-8313.0,1.0,-19.0,8.0,8.0,0.0,16.0,-10705.0,-10012.0,-5403.0,-4940.0,-4.0,-9.0,2.0,1.0
2022-05-23 15:08:40.676845-07:00,2054.4,560.2,1137.5,1313.3,908.4,1181.5,1220.4,1528.3,3429.8,3423.7,1425.0,1245.3,1436.0,3431.0,1035.7,1420.4,3420.1,3409.3,747.2,1327.8,859.5,546.6,1308.8,1687.2,3426.2,3424.9,711.0,962.0,1242.6,1360.3,1130.5,959.4,13.0,0.0,15.0,-4325.0,-7433.0,-11200.0,-8309.0,-24.0,4.0,13.0,9.0,2.0,8.0,-10706.0,-10013.0,-5402.0,-4939.0,-6.0,-9.0,6.0,1.0
2022-05-23 15:08:40.736839-07:00,2063.5,560.2,1137.5,1313.3,929.6,1177.0,1223.0,1528.3,3415.3,3423.7,1425.0,1245.3,1431.4,3424.9,1030.6,1420.4,3420.1,3424.9,743.0,1325.0,859.5,546.6,1308.8,1683.3,3426.2,3429.8,715.9,960.2,1242.6,1360.3,1130.5,962.0,5.0,0.0,5.0,-4324.0,-7433.0,-11193.0,-8319.0,3.0,-7.0,14.0,7.0,-3.0,11.0,-10706.0,-10013.0,-5401.0,-4938.0,4.0,-6.0,3.0,1.0
