Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-23 15:08:40.115281-07:00,1165.6,767.0,1043.5,955.1,959.4,821.0,1695.7,1182.3,3464.9,3478.3,1063.4,838.6,1544.1,3469.8,1174.4,1134.9,3468.6,3480.7,1550.6,2070.5,2547.6,3497.8,1689.1,3484.4,3475.9,3474.6,617.3,849.5,1582.4,980.7,922.8,814.4,-11.0,0.0,-10.0,7753.0,-10814.0,7691.0,-5677.0,3.0,3.0,10.0,-13.0,2.0,-7.0,1217.0,-1195.0,-13704.0,8816.0,6.0,-9.0,10.0,1.0
2022-05-23 15:08:40.204625-07:00,1160.3,773.6,1043.5,955.1,964.5,829.4,1695.7,1182.3,3464.9,3464.9,1063.4,838.6,1545.0,3462.5,1174.4,1134.9,3468.6,3480.7,1542.2,2079.5,2547.6,3497.8,1688.1,3483.2,3475.9,3474.6,609.2,847.8,1582.4,980.7,923.7,801.0,-10.0,1.0,-7.0,7753.0,-10814.0,7692.0,-5677.0,-1.0,-7.0,-4.0,-14.0,2.0,-4.0,1212.0,-1191.0,-13702.0,8821.0,10.0,-14.0,3.0,1.0
2022-05-23 15:08:40.205802-07:00,1160.3,773.6,1038.3,940.7,964.5,829.4,1694.8,1200.9,3464.9,3464.9,1072.9,833.6,1545.0,3462.5,1172.6,1132.2,3478.3,3467.4,1542.2,2079.5,2547.6,3486.8,1688.1,3483.2,3468.6,3473.4,609.2,847.8,1586.1,967.9,923.7,801.0,-8.0,0.0,-8.0,7752.0,-10815.0,7689.0,-5678.0,-6.0,1.0,-8.0,-14.0,3.0,-5.0,1209.0,-1191.0,-13702.0,8821.0,1.0,-8.0,9.0,1.0
2022-05-23 15:08:40.324643-07:00,1166.5,764.5,1052.2,940.7,962.8,816.9,1694.8,1200.9,3478.3,3468.6,1071.2,833.6,1545.9,3457.6,1172.6,1132.2,3478.3,3467.4,1535.7,2072.5,2547.6,3499.0,1679.5,3481.9,3468.6,3473.4,612.5,853.7,1586.1,977.3,916.0,813.5,-12.0,-3.0,-7.0,7751.0,-10819.0,7691.0,-5670.0,-22.0,-11.0,19.0,-10.0,3.0,-10.0,1201.0,-1199.0,-13705.0,8817.0,-14.0,-1.0,19.0,1.0
2022-05-23 15:08:40.325773-07:00,1166.5,764.5,1052.2,953.4,962.8,827.7,1684.3,1180.6,3478.3,3468.6,1071.2,826.9,1545.9,3468.6,1176.2,1137.5,3464.9,3466.1,1566.5,2072.5,2542.2,3499.0,1679.5,3481.9,3467.4,3471.0,609.2,853.7,1590.8,977.3,916.0,813.5,-9.0,-1.0,-6.0,7750.0,-10817.0,7702.0,-5661.0,-18.0,4.0,24.0,-21.0,-3.0,0.0,1193.0,-1207.0,-13704.0,8817.0,1.0,-2.0,22.0,1.0
2022-05-23 15:08:40.384142-07:00,1160.3,772.8,1047.8,953.4,968.8,827.7,1684.3,1180.6,3469.8,3471.0,1071.2,826.9,1546.9,3468.6,1176.2,1137.5,3464.9,3466.1,1566.5,2077.5,2542.2,3496.6,1682.4,3486.8,3467.4,3471.0,609.2,857.0,1590.8,991.0,916.9,816.0,-10.0,-2.0,-6.0,7746.0,-10819.0,7708.0,-5654.0,-21.0,5.0,8.0,-11.0,8.0,-6.0,1186.0,-1217.0,-13708.0,8811.0,-22.0,6.0,18.0,1.0
2022-05-23 15:08:40.414380-07:00,1160.3,772.8,1047.8,946.6,968.8,829.4,1688.1,1187.6,3469.8,3471.0,1071.2,833.6,1546.9,3467.4,1180.6,1138.4,3478.3,3473.4,1545.0,2077.5,2543.3,3496.6,1682.4,3486.8,3478.3,3472.2,609.2,857.0,1579.6,991.0,916.9,816.0,-12.0,0.0,-8.0,7745.0,-10818.0,7710.0,-5656.0,16.0,17.0,-3.0,-14.0,3.0,-5.0,1180.0,-1225.0,-13709.0,8809.0,5.0,-1.0,11.0,1.0
2022-05-23 15:08:40.474554-07:00,1172.6,761.2,1047.8,946.6,968.8,829.4,1688.1,1187.6,3478.3,3468.6,1067.7,833.6,1539.4,3467.4,1180.6,1138.4,3478.3,3473.4,1545.0,2066.5,2543.3,3497.8,1688.1,3480.7,3478.3,3472.2,609.2,852.8,1579.6,979.0,917.7,807.7,-13.0,-2.0,-13.0,7743.0,-10816.0,7711.0,-5659.0,-7.0,3.0,-3.0,-15.0,3.0,-5.0,1178.0,-1226.0,-13711.0,8807.0,-19.0,2.0,7.0,1.0
2022-05-23 15:08:40.564837-07:00,1172.6,761.2,1047.8,946.6,959.4,819.4,1680.5,1190.3,3478.3,3468.6,1067.7,828.5,1545.0,3474.6,1184.1,1147.1,3472.2,3472.2,1538.5,2076.5,2545.4,3497.8,1688.1,3480.7,3471.0,3469.8,610.8,857.0,1581.4,979.0,917.7,807.7,-12.0,-2.0,-11.0,7741.0,-10818.0,7713.0,-5657.0,-3.0,-3.0,5.0,-13.0,1.0,-6.0,1174.0,-1228.0,-13715.0,8800.0,-1.0,-11.0,6.0,1.0
2022-05-23 15:08:40.565830-07:00,1169.1,761.2,1053.9,946.6,959.4,819.4,1680.5,1190.3,3473.4,3462.5,1066.9,824.4,1545.0,3474.6,1184.1,1147.1,3472.2,3472.2,1538.5,2076.5,2531.5,3492.9,1686.2,3481.9,3471.0,3469.8,610.8,857.0,1585.2,973.1,929.6,811.0,-11.0,-3.0,-7.0,7742.0,-10817.0,7714.0,-5656.0,4.0,-8.0,9.0,-8.0,2.0,-4.0,1170.0,-1230.0,-13716.0,8800.0,2.0,-3.0,12.0,1.0
2022-05-23 15:08:40.624531-07:00,1169.1,761.2,1053.9,946.6,965.4,831.1,1686.2,1181.5,3473.4,3462.5,1066.9,824.4,1558.1,3460.1,1182.3,1141.0,3475.9,3480.7,1539.4,2073.5,2531.5,3492.9,1686.2,3481.9,3485.6,3477.1,607.6,853.7,1585.2,973.1,929.6,811.0,-13.0,1.0,-12.0,7744.0,-10815.0,7713.0,-5657.0,5.0,-1.0,-1.0,-15.0,1.0,-4.0,1166.0,-1234.0,-13716.0,8799.0,4.0,-8.0,4.0,1.0
2022-05-23 15:08:40.684016-07:00,1164.7,766.2,1051.3,943.2,965.4,831.1,1686.2,1181.5,3471.0,3472.2,1059.9,830.2,1558.1,3460.1,1182.3,1141.0,3475.9,3480.7,1539.4,2073.5,2544.4,3483.2,1677.6,3483.2,3485.6,3477.1,607.6,853.7,1587.1,975.6,918.6,811.9,-11.0,0.0,-11.0,7748.0,-10812.0,7711.0,-5661.0,23.0,2.0,-9.0,-14.0,1.0,-5.0,1163.0,-1235.0,-13715.0,8800.0,15.0,-10.0,-1.0,1.0
