Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-23 15:34:06.836161-07:00,2120.9,618.1,1326.8,1423.1,954.3,1301.6,1498.6,1834.3,3429.8,3423.7,1892.8,1573.9,1727.2,3423.7,1256.0,1735.8,3416.5,3429.8,824.4,1419.5,881.4,610.8,1347.6,1907.5,3429.8,3426.2,852.0,1094.7,1330.5,1619.0,1326.8,1083.4,4.0,-11.0,5.0,9841.0,12143.0,4491.0,1993.0,-31.0,-15.0,23.0,0.0,-9.0,-3.0,12361.0,10687.0,1066.0,539.0,-20.0,-31.0,4.0,1.0
2022-05-23 15:34:06.895495-07:00,2120.9,618.1,1326.8,1423.1,956.0,1295.4,1508.8,1816.8,3429.8,3423.7,1892.8,1573.9,1716.7,3424.9,1255.1,1728.2,3429.8,3418.9,827.7,1423.1,881.4,610.8,1347.6,1907.5,3434.6,3431.0,847.8,1090.3,1330.5,1619.0,1326.8,1083.4,3.0,30.0,2.0,9842.0,12149.0,4475.0,1989.0,36.0,-44.0,8.0,1.0,15.0,5.0,12363.0,10686.0,1055.0,533.0,3.0,-30.0,8.0,1.0
2022-05-23 15:34:06.985651-07:00,2117.9,625.4,1323.2,1427.7,956.0,1295.4,1508.8,1816.8,3429.8,3418.9,1889.9,1573.0,1716.7,3424.9,1255.1,1728.2,3429.8,3418.9,827.7,1423.1,883.9,608.4,1348.5,1905.6,3434.6,3431.0,847.8,1090.3,1327.8,1610.5,1325.0,1086.8,-4.0,10.0,13.0,9847.0,12150.0,4467.0,1972.0,3.0,-44.0,-12.0,-1.0,4.0,9.0,12368.0,10682.0,1046.0,523.0,-16.0,-29.0,-15.0,1.0
2022-05-23 15:34:06.987208-07:00,2139.2,625.4,1323.2,1427.7,963.7,1303.4,1484.7,1811.9,3427.4,3418.9,1889.9,1573.0,1719.6,3416.5,1256.9,1733.9,3426.2,3417.7,831.9,1409.4,883.9,608.4,1348.5,1908.5,3429.8,3426.2,843.6,1098.2,1327.8,1610.5,1325.0,1086.8,11.0,-10.0,30.0,9861.0,12141.0,4462.0,1970.0,-6.0,13.0,-18.0,2.0,-13.0,10.0,12373.0,10676.0,1040.0,516.0,-2.0,-13.0,5.0,1.0
2022-05-23 15:34:07.045288-07:00,2139.2,629.5,1328.7,1418.6,963.7,1303.4,1484.7,1814.9,3427.4,3432.2,1886.9,1566.5,1719.6,3416.5,1256.9,1730.1,3414.1,3417.7,831.9,1409.4,880.6,606.0,1344.0,1908.5,3431.0,3426.2,843.6,1098.2,1331.4,1602.1,1320.5,1086.8,0.0,15.0,10.0,9853.0,12146.0,4467.0,1967.0,22.0,-19.0,7.0,0.0,3.0,5.0,12372.0,10679.0,1040.0,516.0,7.0,-2.0,-9.0,1.0
2022-05-23 15:34:07.075447-07:00,2122.0,629.5,1328.7,1418.6,950.9,1297.2,1484.7,1814.9,3432.2,3432.2,1886.9,1566.5,1728.2,3439.5,1252.4,1730.1,3414.1,3428.6,829.4,1414.9,880.6,606.0,1344.0,1905.6,3431.0,3428.6,852.0,1091.2,1331.4,1602.1,1320.5,1086.8,6.0,-10.0,12.0,9860.0,12141.0,4467.0,1966.0,-6.0,12.0,-6.0,1.0,-13.0,2.0,12374.0,10676.0,1042.0,514.0,3.0,2.0,-5.0,1.0
2022-05-23 15:34:07.135643-07:00,2122.0,615.7,1316.0,1412.2,950.9,1297.2,1484.7,1805.2,3432.2,3423.7,1880.1,1570.2,1728.2,3439.5,1252.4,1724.4,3428.6,3428.6,829.4,1414.9,883.1,607.6,1338.6,1905.6,3423.7,3428.6,852.0,1091.2,1329.6,1610.5,1321.4,1086.8,1.0,2.0,4.0,9856.0,12143.0,4469.0,1968.0,16.0,1.0,5.0,-4.0,3.0,0.0,12373.0,10676.0,1042.0,514.0,5.0,5.0,1.0,1.0
2022-05-23 15:34:07.195484-07:00,2123.0,615.7,1316.0,1412.2,945.8,1299.8,1481.0,1805.2,3432.2,3423.7,1880.1,1570.2,1714.8,3418.9,1256.9,1724.4,3428.6,3432.2,826.0,1409.4,883.1,607.6,1338.6,1910.5,3423.7,3433.4,842.8,1088.6,1329.6,1610.5,1321.4,1086.8,9.0,11.0,12.0,9857.0,12143.0,4467.0,1967.0,-12.0,-2.0,-7.0,1.0,4.0,-2.0,12374.0,10675.0,1042.0,514.0,-17.0,-11.0,-6.0,1.0
2022-05-23 15:34:07.225892-07:00,2123.0,620.5,1316.9,1424.1,945.8,1299.8,1481.0,1791.6,3432.2,3423.7,1887.9,1572.1,1714.8,3418.9,1256.9,1731.1,3424.9,3432.2,826.0,1409.4,877.2,606.0,1344.0,1910.5,3429.8,3433.4,842.8,1088.6,1329.6,1600.2,1325.0,1086.8,0.0,-7.0,10.0,9863.0,12136.0,4471.0,1970.0,18.0,1.0,-5.0,-1.0,-7.0,5.0,12377.0,10672.0,1042.0,514.0,10.0,4.0,-2.0,1.0
2022-05-23 15:34:07.285418-07:00,2119.9,622.2,1316.9,1424.1,956.8,1284.6,1483.8,1791.6,3418.9,3424.9,1887.9,1572.1,1724.4,3426.2,1257.8,1731.1,3424.9,3423.7,825.2,1413.1,877.2,606.0,1338.6,1909.5,3429.8,3418.9,842.8,1091.2,1329.6,1600.2,1322.3,1088.6,3.0,-4.0,14.0,9863.0,12137.0,4470.0,1969.0,-25.0,-2.0,5.0,-4.0,-11.0,2.0,12378.0,10671.0,1041.0,514.0,-11.0,-2.0,0.0,1.0
2022-05-23 15:34:07.345386-07:00,2119.9,622.2,1319.6,1416.7,956.8,1284.6,1471.8,1795.5,3418.9,3424.9,1879.1,1570.2,1724.4,3426.2,1256.9,1732.0,3426.2,3431.0,825.2,1413.1,885.6,609.2,1338.6,1909.5,3429.8,3433.4,842.8,1091.2,1332.3,1609.6,1322.3,1088.6,-2.0,10.0,7.0,9862.0,12135.0,4475.0,1972.0,4.0,16.0,-10.0,0.0,2.0,8.0,12377.0,10672.0,1042.0,514.0,-3.0,4.0,-8.0,1.0
2022-05-23 15:34:07.375524-07:00,2124.0,615.7,1319.6,1416.7,960.2,1298.1,1471.8,1795.5,3423.7,3427.4,1879.1,1570.2,1717.7,3424.9,1256.9,1732.0,3426.2,3431.0,826.9,1416.7,885.6,609.2,1343.1,1908.5,3429.8,3433.4,841.1,1087.7,1332.3,1609.6,1319.6,1089.5,10.0,0.0,9.0,9863.0,12133.0,4480.0,1970.0,12.0,11.0,-18.0,5.0,-4.0,0.0,12376.0,10673.0,1042.0,514.0,12.0,9.0,-6.0,1.0
2022-05-23 15:34:07.435511-07:00,2124.0,615.7,1319.6,1421.3,960.2,1298.1,1468.1,1788.7,3423.7,3427.4,1880.1,1571.1,1717.7,3424.9,1260.4,1724.4,3420.1,3424.9,826.9,1416.7,881.4,606.8,1343.1,1908.5,3434.6,3429.8,841.1,1087.7,1329.6,1600.2,1319.6,1089.5,0.0,0.0,5.0,9862.0,12133.0,4483.0,1970.0,-5.0,-4.0,0.0,-3.0,-1.0,0.0,12376.0,10673.0,1042.0,514.0,-4.0,3.0,-1.0,1.0
