Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-23 15:38:15.561086-07:00,1297.2,826.0,1200.9,1060.8,962.8,1051.3,2004.5,1500.4,3471.0,3461.3,1097.3,909.3,1855.7,3471.0,1265.8,1241.7,3479.5,3480.7,1605.8,1932.1,2519.7,3485.6,1924.3,3490.5,3475.9,3472.2,779.4,907.6,1757.0,1042.6,1010.8,863.7,-8.0,-25.0,-13.0,10075.0,-12315.0,-1216.0,3715.0,78.0,-94.0,-69.0,-5.0,-12.0,-14.0,9427.0,-13385.0,606.0,-203.0,68.0,-23.0,-29.0,1.0
2022-05-23 15:38:15.562271-07:00,1297.2,826.0,1200.9,1060.8,962.0,1046.1,1990.5,1478.3,3471.0,3461.3,1097.3,909.3,1850.8,3462.5,1274.7,1228.4,3469.8,3478.3,1616.2,1931.1,2519.7,3485.6,1924.3,3490.5,3466.1,3473.4,777.8,905.0,1757.0,1042.6,1010.8,863.7,0.0,-13.0,36.0,10077.0,-12303.0,-1240.0,3740.0,-38.0,-58.0,28.0,-10.0,-7.0,13.0,9443.0,-13375.0,596.0,-193.0,7.0,-33.0,4.0,1.0
2022-05-23 15:38:15.621121-07:00,1279.2,818.5,1194.7,1056.5,962.0,1046.1,1990.5,1478.3,3469.8,3466.1,1099.0,898.3,1850.8,3462.5,1274.7,1228.4,3469.8,3478.3,1616.2,1931.1,2513.3,3481.9,1914.4,3491.7,3466.1,3473.4,777.8,905.0,1765.6,1030.6,1018.5,865.4,14.0,8.0,55.0,10074.0,-12299.0,-1250.0,3759.0,13.0,-41.0,2.0,3.0,4.0,33.0,9451.0,-13369.0,598.0,-185.0,22.0,6.0,15.0,1.0
2022-05-23 15:38:15.650882-07:00,1279.2,818.5,1194.7,1056.5,963.7,1035.7,1976.6,1484.7,3469.8,3466.1,1099.0,898.3,1848.9,3462.5,1269.4,1230.2,3475.9,3474.6,1612.4,1928.2,2513.3,3481.9,1914.4,3491.7,3468.6,3457.6,764.5,909.3,1765.6,1030.6,1018.5,865.4,22.0,1.0,39.0,10104.0,-12275.0,-1258.0,3753.0,1.0,51.0,-34.0,-3.0,8.0,0.0,9457.0,-13364.0,605.0,-198.0,-13.0,42.0,-9.0,1.0
2022-05-23 15:38:15.714706-07:00,1278.3,811.0,1192.9,1054.8,963.7,1035.7,1976.6,1484.7,3467.4,3474.6,1093.8,900.0,1848.9,3462.5,1269.4,1230.2,3475.9,3474.6,1612.4,1928.2,2506.9,3479.5,1908.5,3488.0,3468.6,3457.6,764.5,909.3,1758.9,1049.6,1020.2,859.5,-5.0,-8.0,4.0,10115.0,-12277.0,-1239.0,3723.0,24.0,57.0,-3.0,-8.0,-1.0,1.0,9456.0,-13364.0,616.0,-214.0,1.0,48.0,13.0,1.0
2022-05-23 15:38:15.741846-07:00,1278.3,811.0,1192.9,1054.8,960.2,1045.2,1981.6,1471.8,3467.4,3474.6,1093.8,900.0,1844.0,3462.5,1269.4,1231.0,3467.4,3469.8,1598.3,1927.2,2506.9,3479.5,1908.5,3488.0,3471.0,3472.2,762.9,895.7,1758.9,1049.6,1020.2,859.5,18.0,3.0,4.0,10115.0,-12280.0,-1234.0,3714.0,1.0,17.0,2.0,-3.0,10.0,-8.0,9452.0,-13366.0,632.0,-221.0,8.0,26.0,16.0,1.0
2022-05-23 15:38:15.831440-07:00,1266.7,811.0,1198.2,1054.8,960.2,1045.2,1981.6,1486.6,3463.7,3469.8,1093.8,898.3,1844.0,3462.5,1269.4,1236.4,3468.6,3469.8,1598.3,1927.2,2502.6,3488.0,1900.7,3489.2,3475.9,3472.2,762.9,895.7,1764.6,1034.9,1014.2,865.4,9.0,-2.0,8.0,10123.0,-12277.0,-1228.0,3704.0,16.0,31.0,6.0,-6.0,2.0,-1.0,9454.0,-13364.0,634.0,-224.0,14.0,2.0,-13.0,1.0
2022-05-23 15:38:15.891551-07:00,1273.9,811.0,1198.2,1054.8,961.1,1040.9,1973.7,1486.6,3463.7,3469.8,1093.8,898.3,1844.0,3464.9,1265.8,1236.4,3468.6,3469.8,1604.9,1924.3,2502.6,3488.0,1900.7,3481.9,3475.9,3464.9,767.8,900.0,1764.6,1034.9,1014.2,853.7,6.0,0.0,13.0,10128.0,-12274.0,-1219.0,3703.0,16.0,-18.0,5.0,-5.0,0.0,0.0,9461.0,-13360.0,631.0,-224.0,11.0,-13.0,-6.0,1.0
2022-05-23 15:38:15.982160-07:00,1273.9,810.2,1193.8,1062.5,961.1,1040.9,1973.7,1474.6,3463.7,3467.4,1097.3,901.7,1844.0,3464.9,1265.8,1235.5,3473.4,3469.8,1604.9,1924.3,2504.7,3486.8,1887.9,3481.9,3462.5,3464.9,767.8,900.0,1772.3,1037.5,1015.9,853.7,17.0,-2.0,20.0,10130.0,-12274.0,-1217.0,3699.0,-10.0,49.0,21.0,-1.0,2.0,2.0,9460.0,-13360.0,622.0,-221.0,3.0,-22.0,-20.0,1.0
2022-05-23 15:38:15.982853-07:00,1278.3,810.2,1193.8,1062.5,952.6,1031.4,1959.8,1474.6,3466.1,3467.4,1097.3,901.7,1843.0,3460.1,1267.6,1235.5,3473.4,3475.9,1604.9,1925.2,2504.7,3486.8,1887.9,3488.0,3462.5,3461.3,755.4,891.5,1772.3,1037.5,1015.9,853.7,4.0,-1.0,14.0,10133.0,-12274.0,-1209.0,3693.0,-2.0,-12.0,-8.0,-4.0,0.0,10.0,9461.0,-13361.0,610.0,-217.0,7.0,-31.0,-16.0,1.0
