Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-23 15:40:42.557039-07:00,2353.5,685.6,1223.9,1410.3,1165.6,1277.4,1296.3,1537.6,3429.8,3418.9,1510.6,1324.1,1626.5,3421.3,1141.0,1519.9,3431.0,3418.9,724.9,1290.0,860.4,619.7,1309.7,1913.4,3418.9,3429.8,811.9,994.5,1296.3,1413.1,1172.6,1098.2,-10.0,4.0,24.0,8107.0,10669.0,8518.0,4042.0,-96.0,8.0,1.0,-6.0,15.0,11.0,11564.0,11287.0,-1216.0,-2418.0,-45.0,-61.0,13.0,1.0
2022-05-23 15:40:42.617663-07:00,2353.5,685.6,1223.9,1410.3,1163.0,1278.3,1281.9,1543.1,3429.8,3418.9,1510.6,1324.1,1619.0,3418.9,1129.6,1517.1,3418.9,3432.2,728.2,1288.2,860.4,619.7,1309.7,1913.4,3427.4,3432.2,811.9,986.7,1296.3,1413.1,1172.6,1098.2,-21.0,-23.0,9.0,8145.0,10638.0,8507.0,4068.0,-117.0,-13.0,6.0,-14.0,-7.0,8.0,11584.0,11261.0,-1229.0,-2432.0,-75.0,-34.0,13.0,1.0
2022-05-23 15:40:42.647623-07:00,2355.6,700.3,1241.7,1404.0,1163.0,1278.3,1281.9,1543.1,3422.5,3423.7,1518.0,1328.7,1619.0,3418.9,1129.6,1517.1,3418.9,3432.2,728.2,1288.2,866.3,623.8,1307.0,1911.5,3427.4,3432.2,811.9,986.7,1301.6,1413.1,1168.2,1086.8,2.0,-20.0,22.0,8162.0,10631.0,8498.0,4073.0,66.0,14.0,17.0,0.0,-4.0,-7.0,11585.0,11260.0,-1236.0,-2430.0,47.0,0.0,21.0,1.0
2022-05-23 15:40:42.707344-07:00,2350.4,700.3,1241.7,1404.0,1161.2,1268.5,1281.0,1537.6,3439.5,3423.7,1518.0,1328.7,1629.4,3422.5,1143.6,1508.8,3418.9,3421.3,726.6,1290.0,866.3,623.8,1307.0,1901.6,3428.6,3429.8,831.9,983.3,1301.6,1413.1,1168.2,1088.6,1.0,4.0,9.0,8137.0,10644.0,8506.0,4069.0,23.0,23.0,7.0,6.0,15.0,-2.0,11578.0,11268.0,-1244.0,-2424.0,7.0,8.0,12.0,1.0
2022-05-23 15:40:42.737954-07:00,2350.4,691.3,1237.3,1411.3,1161.2,1268.5,1281.0,1543.1,3439.5,3429.8,1519.9,1322.3,1629.4,3422.5,1143.6,1519.9,3432.2,3421.3,726.6,1290.0,873.0,629.5,1304.3,1901.6,3439.5,3429.8,831.9,983.3,1294.5,1423.1,1173.5,1088.6,-16.0,-26.0,1.0,8136.0,10638.0,8515.0,4070.0,-26.0,13.0,-25.0,-17.0,0.0,0.0,11583.0,11262.0,-1241.0,-2426.0,-28.0,-1.0,9.0,1.0
2022-05-23 15:40:42.797419-07:00,2367.2,691.3,1237.3,1411.3,1169.1,1276.5,1290.0,1543.1,3428.6,3429.8,1519.9,1322.3,1624.7,3426.2,1148.0,1519.9,3432.2,3422.5,730.7,1288.2,873.0,629.5,1304.3,1908.5,3439.5,3433.4,814.4,983.3,1294.5,1423.1,1173.5,1095.6,-11.0,-5.0,3.0,8142.0,10632.0,8518.0,4067.0,-2.0,-20.0,-1.0,-10.0,10.0,-2.0,11587.0,11258.0,-1244.0,-2427.0,-32.0,-19.0,14.0,1.0
2022-05-23 15:40:42.857561-07:00,2367.2,690.5,1231.0,1411.3,1169.1,1276.5,1290.0,1539.4,3428.6,3423.7,1514.3,1319.6,1624.7,3426.2,1148.0,1515.3,3422.5,3422.5,730.7,1288.2,862.9,623.0,1304.3,1908.5,3433.4,3433.4,814.4,983.3,1307.9,1422.2,1173.5,1095.6,-3.0,0.0,9.0,8155.0,10627.0,8512.0,4069.0,-86.0,2.0,-12.0,-7.0,11.0,-4.0,11604.0,11239.0,-1251.0,-2433.0,-106.0,-34.0,11.0,1.0
2022-05-23 15:40:42.887578-07:00,2374.5,690.5,1231.0,1411.3,1161.2,1274.7,1275.6,1539.4,3422.5,3423.7,1514.3,1319.6,1631.3,3429.8,1135.7,1515.3,3422.5,3426.2,728.2,1291.8,862.9,623.0,1304.3,1913.4,3433.4,3429.8,810.2,991.0,1307.9,1422.2,1173.5,1092.1,-9.0,-28.0,13.0,8184.0,10602.0,8507.0,4086.0,-70.0,-5.0,-9.0,2.0,-10.0,9.0,11635.0,11203.0,-1258.0,-2445.0,-74.0,-39.0,19.0,1.0
2022-05-23 15:40:42.948045-07:00,2374.5,692.1,1241.7,1408.5,1161.2,1274.7,1273.9,1536.6,3422.5,3423.7,1505.1,1322.3,1631.3,3429.8,1140.1,1511.5,3422.5,3424.9,728.2,1291.8,868.8,623.0,1308.8,1913.4,3431.0,3432.2,810.2,991.0,1296.3,1414.9,1182.3,1092.1,1.0,-13.0,18.0,8205.0,10595.0,8495.0,4086.0,-32.0,-61.0,-1.0,0.0,-1.0,9.0,11656.0,11178.0,-1276.0,-2451.0,-68.0,-61.0,48.0,1.0
2022-05-23 15:40:43.007305-07:00,2381.8,692.9,1241.7,1408.5,1170.9,1277.4,1273.9,1536.6,3424.9,3426.2,1505.1,1322.3,1621.8,3426.2,1140.1,1511.5,3422.5,3424.9,725.8,1294.5,868.8,623.0,1312.4,1894.8,3431.0,3432.2,811.9,987.6,1296.3,1414.9,1174.4,1092.9,-8.0,-14.0,6.0,8236.0,10592.0,8470.0,4084.0,-116.0,-97.0,39.0,0.0,1.0,17.0,11683.0,11143.0,-1314.0,-2461.0,-135.0,-124.0,78.0,1.0
2022-05-23 15:40:43.037461-07:00,2381.8,692.9,1235.5,1413.1,1170.9,1277.4,1281.9,1525.5,3424.9,3426.2,1499.5,1325.0,1621.8,3426.2,1146.3,1515.3,3424.9,3427.4,725.8,1294.5,866.3,621.4,1312.4,1894.8,3433.4,3420.1,811.9,987.6,1298.1,1419.5,1174.4,1092.9,3.0,-25.0,28.0,8307.0,10589.0,8404.0,4082.0,-196.0,-241.0,79.0,4.0,-8.0,26.0,11738.0,11071.0,-1383.0,-2485.0,-257.0,-240.0,137.0,1.0
