Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-23 15:40:42.564573-07:00,1290.0,791.0,1148.0,1003.0,983.3,888.2,1708.1,1319.6,3462.5,3468.6,1118.2,882.3,1757.9,3464.9,1228.4,34.4,3475.9,3468.6,1625.6,1980.6,2604.8,3466.1,1660.6,3486.8,3478.3,3471.0,667.6,778.6,1895.8,1054.8,1018.5,927.1,31.0,11.0,-5.0,10281.0,-12491.0,-400.0,2561.0,37.0,19.0,15.0,29.0,-1.0,-6.0,9038.0,-13303.0,2503.0,-1873.0,27.0,12.0,4.0,1.0
2022-05-23 15:40:42.566694-07:00,1290.0,791.0,1148.0,1003.9,984.2,889.8,1687.2,1315.1,3462.5,3468.6,1118.2,883.1,1760.8,3471.0,1225.7,79.4,3473.4,3469.8,1629.4,1969.7,2610.2,3466.1,1660.6,3486.8,3472.2,3471.0,666.0,772.0,1906.6,1054.8,1018.5,927.1,21.0,12.0,-11.0,10282.0,-12491.0,-410.0,2553.0,1.0,-28.0,-16.0,24.0,4.0,-4.0,9035.0,-13306.0,2494.0,-1883.0,6.0,-2.0,-14.0,1.0
2022-05-23 15:40:42.684792-07:00,1293.6,800.2,1149.8,1006.5,984.2,889.8,1687.2,1315.1,3477.1,3467.4,1108.6,875.5,1760.8,3471.0,1225.7,79.4,3473.4,3469.8,1629.4,1969.7,2596.1,3463.7,1666.3,3497.8,3472.2,3471.0,666.0,772.0,1908.5,1053.9,1005.6,932.2,-7.0,3.0,0.0,10282.0,-12490.0,-430.0,2555.0,-8.0,-39.0,-34.0,0.0,-12.0,-9.0,9035.0,-13308.0,2480.0,-1887.0,-6.0,-16.0,-31.0,1.0
2022-05-23 15:40:42.685693-07:00,1293.6,800.2,1149.8,1006.5,981.6,878.0,1699.5,1307.9,3477.1,3467.4,1108.6,875.5,1756.0,3466.1,1239.9,1204.4,3475.9,3473.4,1623.7,1971.7,2596.1,3463.7,1666.3,3497.8,3477.1,3478.3,665.2,774.5,1908.5,1053.9,1005.6,932.2,-24.0,-6.0,8.0,10270.0,-12498.0,-444.0,2561.0,-72.0,-12.0,6.0,-14.0,-21.0,4.0,9024.0,-13317.0,2473.0,-1882.0,-64.0,-16.0,-8.0,1.0
2022-05-23 15:40:42.774352-07:00,1305.2,796.9,1148.0,998.7,981.6,878.0,1699.5,1307.9,3472.2,3477.1,1112.1,878.0,1756.0,3466.1,1239.9,1204.4,3475.9,3473.4,1623.7,1971.7,2605.8,3447.9,1662.5,3491.7,3477.1,3478.3,665.2,774.5,1903.6,1058.2,1011.6,934.7,-18.0,-14.0,19.0,10247.0,-12516.0,-434.0,2572.0,-37.0,28.0,39.0,-16.0,-35.0,8.0,9010.0,-13327.0,2482.0,-1866.0,-21.0,-3.0,33.0,1.0
2022-05-23 15:40:42.775946-07:00,1305.2,796.9,1148.0,998.7,976.5,883.9,1695.7,1322.3,3472.2,3477.1,1112.1,878.0,1765.6,3468.6,1229.3,1198.2,3467.4,3467.4,1619.9,1971.7,2605.8,3447.9,1662.5,3491.7,3467.4,3469.8,666.8,778.6,1903.6,1058.2,1011.6,934.7,2.0,10.0,4.0,10235.0,-12524.0,-407.0,2579.0,-79.0,26.0,59.0,9.0,-7.0,1.0,9003.0,-13330.0,2501.0,-1855.0,-73.0,10.0,47.0,1.0
2022-05-23 15:40:42.865530-07:00,1296.3,800.2,1143.6,1004.8,976.5,883.9,1695.7,1322.3,3472.2,3467.4,1120.9,878.0,1765.6,3468.6,1229.3,1198.2,3467.4,3467.4,1619.9,1971.7,2625.4,3456.4,1660.6,3491.7,3467.4,3469.8,666.8,778.6,1906.6,1058.2,1000.5,937.3,-9.0,12.0,-2.0,10211.0,-12544.0,-378.0,2583.0,-51.0,52.0,74.0,-8.0,-11.0,2.0,8987.0,-13339.0,2518.0,-1841.0,-44.0,2.0,37.0,1.0
2022-05-23 15:40:42.925480-07:00,1301.6,800.2,1143.6,1004.8,972.2,888.2,1695.7,1316.0,3471.0,3467.4,1120.9,878.0,1763.7,3473.4,1233.7,1203.5,3472.2,3473.4,1635.0,1972.7,2625.4,3456.4,1660.6,3484.4,3474.6,3475.9,666.8,775.3,1906.6,1058.2,1000.5,927.9,-5.0,10.0,-3.0,10192.0,-12559.0,-358.0,2588.0,-29.0,14.0,35.0,-7.0,-8.0,-5.0,8975.0,-13346.0,2536.0,-1827.0,-31.0,5.0,48.0,1.0
2022-05-23 15:40:42.926677-07:00,1301.6,800.2,1140.1,1001.3,972.2,888.2,1695.7,1299.8,3471.0,3473.4,1126.1,876.4,1763.7,3473.4,1233.7,1203.5,3467.4,3473.4,1635.0,1972.7,2597.2,3492.9,1656.8,3484.4,3471.0,3475.9,666.8,775.3,1900.7,1056.5,1008.2,927.9,7.0,19.0,-4.0,10184.0,-12565.0,-343.0,2589.0,-6.0,24.0,26.0,1.0,3.0,-8.0,8968.0,-13348.0,2554.0,-1819.0,-12.0,13.0,31.0,1.0
2022-05-23 15:40:42.985309-07:00,1289.1,800.2,1140.1,1001.3,985.9,884.8,1679.5,1299.8,3466.1,3473.4,1126.1,876.4,1757.0,3468.6,1223.9,1203.5,3467.4,3475.9,1627.5,1967.7,2597.2,3492.9,1656.8,3491.7,3471.0,3469.8,666.0,788.6,1900.7,1056.5,1008.2,933.0,0.0,8.0,-9.0,10189.0,-12562.0,-331.0,2590.0,58.0,-10.0,8.0,4.0,-10.0,2.0,8975.0,-13343.0,2558.0,-1818.0,58.0,-3.0,2.0,1.0
