Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-23 15:42:33.731992-07:00,2486.6,684.0,1213.3,1470.0,1053.0,1476.4,1447.0,1636.0,3424.9,3424.9,1752.1,1336.8,1575.8,3432.2,1274.7,1590.8,3418.9,3418.9,764.5,1458.9,950.9,672.5,1216.8,1831.3,3422.5,3429.8,1147.1,1000.5,1230.2,1467.2,1273.0,1034.9,17.0,17.0,24.0,11829.0,8951.0,6332.0,2876.0,47.0,94.0,0.0,21.0,7.0,19.0,13652.0,8506.0,-1291.0,-2833.0,74.0,55.0,-1.0,1.0
2022-05-23 15:42:33.790735-07:00,2477.0,690.5,1213.3,1470.0,1053.0,1476.4,1447.0,1636.0,3429.8,3427.4,1782.9,1336.8,1572.1,3432.2,1274.7,1590.8,3418.9,3418.9,764.5,1459.8,950.9,666.8,1226.6,1828.4,3422.5,3429.8,1147.1,995.3,1230.2,1455.2,1266.7,1035.7,20.0,-12.0,12.0,11816.0,8941.0,6358.0,2907.0,12.0,118.0,-1.0,23.0,-14.0,9.0,13653.0,8515.0,-1279.0,-2810.0,30.0,68.0,17.0,1.0
2022-05-23 15:42:33.850593-07:00,2477.0,690.5,1213.3,1471.8,1046.1,1479.2,1437.8,1636.9,3429.8,3427.4,1782.9,1342.2,1577.7,3428.6,1281.0,1594.6,3421.3,3421.3,773.6,1458.9,941.5,666.8,1226.6,1828.4,3428.6,3423.7,1146.3,999.6,1223.0,1455.2,1266.7,1035.7,18.0,11.0,0.0,11789.0,8952.0,6381.0,2931.0,54.0,73.0,6.0,12.0,4.0,7.0,13643.0,8540.0,-1267.0,-2786.0,64.0,57.0,15.0,1.0
2022-05-23 15:42:33.880552-07:00,2471.7,681.5,1215.1,1471.8,1046.1,1479.2,1437.8,1636.9,3426.2,3424.9,1804.2,1344.0,1577.7,3428.6,1281.0,1594.6,3421.3,3421.3,773.6,1458.9,943.2,671.7,1232.8,1824.6,3428.6,3423.7,1146.3,999.6,1223.9,1460.8,1272.1,1034.9,-1.0,12.0,1.0,11774.0,8950.0,6406.0,2945.0,-27.0,63.0,-10.0,2.0,8.0,13.0,13642.0,8547.0,-1256.0,-2774.0,-8.0,33.0,1.0,1.0
2022-05-23 15:42:33.940637-07:00,2471.7,681.5,1215.1,1471.8,1045.2,1474.6,1438.7,1634.1,3426.2,3424.9,1804.2,1344.0,1578.6,3417.7,1275.6,1589.9,3429.8,3420.1,772.0,1455.2,943.2,671.7,1232.8,1824.6,3422.5,3428.6,1143.6,1002.2,1223.9,1460.8,1272.1,1034.9,6.0,-4.0,-7.0,11771.0,8943.0,6417.0,2956.0,-5.0,13.0,25.0,6.0,0.0,5.0,13640.0,8555.0,-1242.0,-2765.0,33.0,43.0,-10.0,1.0
2022-05-23 15:42:34.000458-07:00,2467.4,683.1,1218.6,1471.8,1045.2,1474.6,1438.7,1634.1,3427.4,3429.8,1804.2,1339.5,1578.6,3417.7,1275.6,1589.9,3429.8,3420.1,772.0,1455.2,942.4,667.6,1240.8,1823.6,3422.5,3428.6,1143.6,1002.2,1231.9,1454.3,1243.5,1028.8,27.0,6.0,-3.0,11766.0,8951.0,6406.0,2971.0,-6.0,6.0,13.0,17.0,-4.0,-4.0,13633.0,8570.0,-1238.0,-2758.0,34.0,4.0,3.0,1.0
2022-05-23 15:42:34.030932-07:00,2467.4,683.1,1218.6,1471.8,1038.3,1473.6,1434.1,1638.8,3427.4,3429.8,1804.2,1339.5,1566.5,3432.2,1282.8,1591.7,3418.9,3420.1,764.5,1444.2,942.4,667.6,1240.8,1823.6,3427.4,3429.8,1136.6,995.3,1231.9,1454.3,1243.5,1028.8,9.0,7.0,11.0,11762.0,8950.0,6409.0,2985.0,5.0,32.0,1.0,14.0,6.0,9.0,13626.0,8579.0,-1246.0,-2757.0,32.0,-8.0,-6.0,1.0
2022-05-23 15:42:34.090407-07:00,2469.5,680.7,1216.8,1470.0,1038.3,1473.6,1434.1,1638.8,3423.7,3427.4,1847.9,1348.5,1566.5,3432.2,1282.8,1591.7,3418.9,3420.1,764.5,1444.2,946.6,666.8,1260.4,1829.4,3427.4,3429.8,1136.6,995.3,1228.4,1478.3,1273.0,1038.3,6.0,-3.0,0.0,11751.0,8961.0,6410.0,2994.0,89.0,-6.0,57.0,6.0,-5.0,17.0,13619.0,8589.0,-1249.0,-2759.0,36.0,-12.0,-14.0,1.0
2022-05-23 15:42:34.150609-07:00,2469.5,680.7,1216.8,1470.0,1046.1,1476.4,1441.5,1637.9,3415.3,3427.4,1847.9,1348.5,1566.5,3429.8,1277.4,1588.9,3431.0,3423.7,768.7,1444.2,946.6,666.8,1260.4,1827.5,3424.9,3427.4,1126.1,1007.3,1228.4,1478.3,1273.0,1033.2,23.0,4.0,26.0,11728.0,8993.0,6409.0,2993.0,53.0,44.0,-17.0,13.0,-12.0,3.0,13607.0,8607.0,-1253.0,-2763.0,45.0,5.0,-14.0,1.0
2022-05-23 15:42:34.240301-07:00,2469.5,685.6,1214.2,1470.9,1046.1,1476.4,1441.5,1621.8,3415.3,3424.9,1824.6,1344.9,1566.5,3429.8,1277.4,1589.9,3429.8,3423.7,768.7,1444.2,944.1,670.1,1247.1,1827.5,3422.5,3427.4,1126.1,1007.3,1232.8,1490.3,1264.9,1033.2,7.0,-13.0,0.0,11707.0,9002.0,6434.0,2989.0,73.0,24.0,-16.0,13.0,-9.0,12.0,13597.0,8624.0,-1252.0,-2759.0,56.0,19.0,-10.0,1.0
