Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-23 15:42:33.783686-07:00,1351.2,962.0,1132.2,986.7,897.4,1099.9,1675.7,1239.1,3474.6,3467.4,1162.1,871.3,1560.9,3473.4,1316.9,1174.4,3480.7,3485.6,1566.5,2009.4,2774.6,3496.6,1545.9,3485.6,3469.8,3474.6,767.8,840.3,1944.0,1056.5,1092.9,927.1,6.0,-10.0,25.0,11292.0,-11775.0,1291.0,774.0,-61.0,-1.0,13.0,6.0,-4.0,12.0,10252.0,-12102.0,3113.0,-2680.0,-78.0,-9.0,0.0,1.0
2022-05-23 15:42:33.843343-07:00,1351.2,962.0,1157.7,985.9,897.4,1099.9,1674.8,1231.9,3474.6,3467.4,1161.2,866.3,1560.9,3473.4,1319.6,1179.7,3469.8,3475.9,1566.5,2009.4,2772.4,3491.7,1545.9,3485.6,3472.2,3485.6,767.8,840.3,1949.9,1049.6,1092.9,927.1,7.0,4.0,27.0,11287.0,-11780.0,1293.0,773.0,-75.0,38.0,5.0,6.0,5.0,12.0,10227.0,-12123.0,3118.0,-2674.0,-101.0,-4.0,-2.0,1.0
2022-05-23 15:42:33.873065-07:00,1349.4,956.0,1157.7,985.9,904.2,1090.3,1674.8,1231.9,3466.1,3471.0,1161.2,866.3,1551.5,3469.8,1319.6,1179.7,3469.8,3475.9,1571.1,2002.5,2772.4,3491.7,1543.1,3479.5,3472.2,3485.6,770.3,836.1,1949.9,1049.6,1089.5,915.2,1.0,-5.0,23.0,11264.0,-11802.0,1301.0,771.0,-92.0,6.0,23.0,0.0,-8.0,8.0,10194.0,-12151.0,3125.0,-2666.0,-107.0,1.0,0.0,1.0
2022-05-23 15:42:33.933210-07:00,1349.4,956.0,1141.0,993.6,904.2,1090.3,1654.9,1234.6,3466.1,3471.0,1156.8,867.9,1551.5,3469.8,1322.3,1173.5,3475.9,3473.4,1571.1,2002.5,2770.2,3485.6,1543.1,3479.5,3474.6,3473.4,770.3,836.1,1934.1,1055.6,1089.5,915.2,7.0,0.0,6.0,11242.0,-11820.0,1308.0,787.0,-38.0,-29.0,44.0,2.0,-1.0,0.0,10169.0,-12172.0,3129.0,-2661.0,-77.0,8.0,-7.0,1.0
2022-05-23 15:42:33.993036-07:00,1334.1,966.2,1133.1,993.6,902.5,1090.3,1654.9,1234.6,3460.1,3473.4,1149.8,867.9,1559.0,3464.9,1322.3,1173.5,3475.9,3473.4,1559.9,2005.5,2770.2,3486.8,1549.7,3481.9,3474.6,3473.4,767.0,831.1,1934.1,1041.8,1085.1,919.4,7.0,-11.0,9.0,11223.0,-11838.0,1307.0,803.0,-102.0,-29.0,18.0,3.0,-3.0,5.0,10134.0,-12201.0,3133.0,-2655.0,-95.0,0.0,-21.0,1.0
2022-05-23 15:42:34.023537-07:00,1334.1,966.2,1133.1,986.7,902.5,1088.6,1653.9,1231.0,3460.1,3473.4,1149.8,875.5,1559.0,3463.7,1308.8,1177.0,3467.4,3483.2,1567.4,2005.5,2767.9,3486.8,1549.7,3481.9,3480.7,3483.2,768.7,831.1,1935.1,1041.8,1085.1,919.4,0.0,2.0,-12.0,11211.0,-11847.0,1313.0,828.0,-37.0,-45.0,123.0,0.0,10.0,7.0,10113.0,-12219.0,3131.0,-2655.0,-87.0,-5.0,-22.0,1.0
2022-05-23 15:42:34.083581-07:00,1336.8,952.6,1147.1,986.7,899.1,1088.6,1653.9,1231.0,3460.1,3468.6,1150.6,875.5,1559.9,3463.7,1308.8,1177.0,3467.4,3483.2,1567.4,2005.5,2767.9,3501.4,1547.8,3497.8,3480.7,3483.2,768.7,832.7,1935.1,1066.0,1092.9,929.6,41.0,-9.0,-25.0,11180.0,-11870.0,1323.0,894.0,-172.0,-97.0,148.0,2.0,18.0,-25.0,10048.0,-12277.0,3129.0,-2640.0,-289.0,-46.0,-43.0,1.0
2022-05-23 15:42:34.143320-07:00,1336.8,952.6,1147.1,997.9,899.1,1107.8,1673.8,1266.7,3460.1,3468.6,1150.6,868.8,1559.9,3466.1,1333.2,1190.3,3464.9,3477.1,1569.3,2005.5,2770.2,3501.4,1547.8,3497.8,3469.8,3473.4,764.5,832.7,1945.0,1066.0,1092.9,929.6,-33.0,2.0,5.0,11140.0,-11899.0,1334.0,982.0,-108.0,-243.0,175.0,0.0,-12.0,42.0,9976.0,-12344.0,3124.0,-2603.0,-178.0,-54.0,0.0,1.0
2022-05-23 15:42:34.173270-07:00,1341.3,964.5,1148.9,997.9,904.2,1107.8,1673.8,1266.7,3473.4,3466.1,1148.9,868.8,1561.8,3466.1,1333.2,1190.3,3464.9,3477.1,1569.3,2015.4,2770.2,3491.7,1572.1,3499.0,3469.8,3473.4,764.5,852.0,1945.0,1053.0,1096.4,916.9,6.0,15.0,26.0,11097.0,-11931.0,1296.0,1126.0,-228.0,-279.0,128.0,0.0,4.0,4.0,9937.0,-12382.0,3124.0,-2575.0,-149.0,-46.0,11.0,1.0
2022-05-23 15:42:34.233216-07:00,1341.3,964.5,1148.9,991.9,904.2,1091.2,1678.6,1294.5,3473.4,3466.1,1148.9,868.8,1561.8,3479.5,1325.0,1193.8,3477.1,3467.4,1572.1,2015.4,2774.6,3491.7,1572.1,3499.0,3473.4,3475.9,765.3,852.0,1919.3,1053.0,1096.4,916.9,20.0,12.0,32.0,11030.0,-11988.0,1242.0,1238.0,-276.0,-201.0,41.0,14.0,5.0,12.0,9878.0,-12436.0,3122.0,-2542.0,-203.0,-55.0,-8.0,1.0
2022-05-23 15:42:34.323132-07:00,1335.0,958.5,1134.0,1001.3,894.9,1091.2,1678.6,1294.5,3461.3,3467.4,1139.2,862.1,1548.7,3479.5,1325.0,1193.8,3477.1,3467.4,1572.1,2008.4,2776.8,3488.0,1571.1,3489.2,3473.4,3475.9,765.3,844.4,1924.3,1039.2,1092.9,916.9,0.0,-20.0,32.0,10966.0,-12043.0,1197.0,1306.0,-110.0,-110.0,43.0,5.0,-18.0,9.0,9834.0,-12476.0,3118.0,-2518.0,-62.0,-25.0,-3.0,1.0
2022-05-23 15:42:34.324440-07:00,1335.0,958.5,1134.0,1001.3,896.6,1073.8,1689.1,1296.3,3461.3,3467.4,1139.2,862.1,1563.7,3469.8,1313.3,1181.5,3471.0,3472.2,1564.6,2018.4,2776.8,3488.0,1571.1,3489.2,3473.4,3467.4,763.7,843.6,1924.3,1039.2,1092.9,916.9,4.0,16.0,28.0,10952.0,-12055.0,1173.0,1341.0,-49.0,-45.0,-35.0,0.0,0.0,6.0,9825.0,-12485.0,3117.0,-2514.0,-43.0,6.0,-10.0,1.0
2022-05-23 15:42:34.382953-07:00,1343.1,967.1,1130.5,983.3,896.6,1073.8,1689.1,1296.3,3468.6,3468.6,1136.6,865.4,1563.7,3469.8,1313.3,1181.5,3471.0,3472.2,1564.6,2018.4,2771.3,3486.8,1563.7,3495.3,3473.4,3467.4,763.7,843.6,1924.3,1043.5,1066.0,917.7,1.0,-22.0,24.0,10937.0,-12071.0,1154.0,1334.0,-53.0,22.0,-27.0,7.0,-18.0,9.0,9803.0,-12501.0,3122.0,-2516.0,-54.0,14.0,0.0,1.0
2022-05-23 15:42:34.443192-07:00,1343.1,967.1,1130.5,983.3,906.7,1079.9,1668.2,1276.5,3468.6,3468.6,1136.6,865.4,1552.5,3471.0,1307.0,1184.1,3467.4,3474.6,1572.1,2011.4,2771.3,3486.8,1563.7,3495.3,3485.6,3475.9,772.0,833.6,1924.3,1043.5,1066.0,917.7,1.0,-5.0,14.0,10938.0,-12071.0,1147.0,1324.0,30.0,-21.0,-39.0,9.0,-7.0,13.0,9805.0,-12497.0,3128.0,-2516.0,24.0,5.0,19.0,1.0
2022-05-23 15:42:34.503069-07:00,1331.4,956.0,1122.6,986.7,906.7,1079.9,1668.2,1276.5,3475.9,3478.3,1138.4,863.7,1552.5,3471.0,1307.0,1184.1,3467.4,3474.6,1572.1,2011.4,2769.0,3490.5,1568.3,3497.8,3485.6,3475.9,772.0,833.6,1919.3,1057.3,1083.4,924.5,3.0,-5.0,19.0,10952.0,-12061.0,1123.0,1326.0,39.0,-49.0,-27.0,1.0,3.0,6.0,9821.0,-12484.0,3131.0,-2516.0,70.0,10.0,13.0,1.0
2022-05-23 15:42:34.533072-07:00,1327.8,956.0,1122.6,986.7,889.8,1069.5,1679.5,1268.5,3467.4,3478.3,1138.4,863.7,1563.7,3467.4,1313.3,1170.9,3475.9,3474.6,1573.9,2007.4,2769.0,3490.5,1568.3,3492.9,3464.9,3469.8,769.5,838.6,1919.3,1057.3,1083.4,922.8,-1.0,4.0,6.0,10968.0,-12047.0,1112.0,1329.0,21.0,-4.0,-20.0,0.0,0.0,-1.0,9838.0,-12469.0,3130.0,-2524.0,31.0,11.0,-4.0,1.0
2022-05-23 15:42:34.593194-07:00,1327.8,956.0,1129.6,991.0,889.8,1069.5,1679.5,1254.2,3467.4,3462.5,1132.2,856.2,1563.7,3467.4,1313.3,1183.2,3478.3,3474.6,1573.9,2007.4,2763.5,3488.0,1561.8,3492.9,3483.2,3469.8,769.5,838.6,1910.5,1038.3,1080.8,922.8,-6.0,-13.0,7.0,10973.0,-12045.0,1099.0,1322.0,42.0,-36.0,-58.0,-1.0,-12.0,6.0,9841.0,-12467.0,3130.0,-2526.0,62.0,3.0,-2.0,1.0
2022-05-23 15:42:34.623584-07:00,1330.5,956.0,1129.6,991.0,894.1,1069.5,1688.1,1254.2,3467.4,3462.5,1132.2,856.2,1559.0,3464.9,1311.5,1183.2,3478.3,3469.8,1577.7,2002.5,2763.5,3488.0,1561.8,3485.6,3483.2,3481.9,766.2,831.9,1910.5,1038.3,1080.8,913.5,7.0,19.0,3.0,11009.0,-12015.0,1069.0,1311.0,109.0,-29.0,-74.0,-2.0,18.0,3.0,9877.0,-12438.0,3122.0,-2536.0,107.0,-6.0,-19.0,1.0
2022-05-23 15:42:34.683720-07:00,1330.5,945.8,1109.5,976.5,894.1,1069.5,1688.1,1244.4,3467.4,3467.4,1133.1,858.7,1559.0,3464.9,1311.5,1171.8,3475.9,3469.8,1577.7,2002.5,2762.4,3497.8,1559.9,3485.6,3471.0,3481.9,766.2,831.9,1907.5,1050.4,1079.9,913.5,3.0,-12.0,9.0,11025.0,-12004.0,1038.0,1303.0,11.0,-65.0,-55.0,3.0,-12.0,3.0,9893.0,-12428.0,3107.0,-2543.0,43.0,-15.0,-21.0,1.0
2022-05-23 15:42:34.743163-07:00,1330.5,945.8,1109.5,976.5,909.3,1066.9,1647.3,1244.4,3471.0,3467.4,1133.1,858.7,1549.7,3483.2,1300.7,1171.8,3475.9,3468.6,1578.6,2007.4,2762.4,3497.8,1559.9,3490.5,3471.0,3468.6,765.3,826.9,1907.5,1050.4,1079.9,921.1,13.0,1.0,11.0,11050.0,-11984.0,1005.0,1304.0,125.0,-41.0,-38.0,5.0,6.0,2.0,9925.0,-12405.0,3092.0,-2551.0,145.0,-11.0,-15.0,1.0
2022-05-23 15:42:34.803117-07:00,1330.5,951.7,1120.9,1003.9,909.3,1066.9,1650.2,1236.4,3471.0,3467.4,1133.1,858.7,1549.7,3483.2,1309.7,1179.7,3474.6,3472.2,1578.6,2007.4,2763.5,3491.7,1552.5,3490.5,3474.6,3478.3,765.3,826.9,1906.6,1051.3,1079.9,921.1,6.0,6.0,3.0,11073.0,-11965.0,982.0,1299.0,-9.0,-33.0,-62.0,3.0,2.0,7.0,9949.0,-12387.0,3076.0,-2557.0,0.0,-23.0,-31.0,1.0
