Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-23 15:44:15.932189-07:00,2047.4,607.6,1368.5,1592.7,1164.7,1390.3,1618.1,1604.9,3426.2,3433.4,1712.9,1481.0,1616.2,3429.8,1230.2,1736.8,3421.3,3422.5,731.5,1354.0,920.3,641.6,1263.1,1872.3,3427.4,3421.3,867.9,1041.8,1251.5,1640.7,1325.0,1045.2,-17.0,-29.0,18.0,11827.0,9495.0,5178.0,3405.0,241.0,236.0,74.0,-3.0,-28.0,-3.0,13802.0,8561.0,-937.0,-1938.0,296.0,68.0,12.0,1.0
2022-05-23 15:44:15.962671-07:00,2052.4,607.6,1363.9,1592.7,1167.4,1390.3,1618.1,1604.9,3418.9,3434.6,1718.6,1481.0,1616.2,3429.8,1230.2,1736.8,3421.3,3422.5,731.5,1367.6,920.3,638.4,1251.5,1863.5,3427.4,3421.3,867.9,1056.5,1251.5,1645.4,1324.1,1053.0,-1.0,3.0,-4.0,11717.0,9567.0,5256.0,3463.0,152.0,274.0,135.0,8.0,4.0,-13.0,13727.0,8687.0,-936.0,-1914.0,271.0,44.0,18.0,1.0
2022-05-23 15:44:16.022578-07:00,2052.4,607.6,1363.9,1587.1,1167.4,1393.0,1613.4,1539.4,3418.9,3434.6,1718.6,1493.0,1616.2,3432.2,1227.5,1725.3,3420.1,3420.1,737.3,1367.6,919.4,638.4,1251.5,1863.5,3427.4,3426.2,878.0,1056.5,1255.1,1645.4,1324.1,1053.0,11.0,34.0,-15.0,11627.0,9628.0,5318.0,3502.0,296.0,69.0,15.0,22.0,23.0,-17.0,13672.0,8783.0,-915.0,-1880.0,261.0,98.0,-3.0,1.0
2022-05-23 15:44:16.082477-07:00,2048.4,607.6,1362.1,1587.1,1163.0,1393.0,1613.4,1539.4,3429.8,3421.3,1722.4,1493.0,1614.3,3432.2,1227.5,1725.3,3420.1,3420.1,737.3,1365.7,919.4,639.2,1250.6,1856.7,3427.4,3426.2,878.0,1035.7,1255.1,1642.6,1325.0,1051.3,-1.0,37.0,9.0,11585.0,9655.0,5356.0,3510.0,-162.0,109.0,-38.0,17.0,0.0,1.0,13662.0,8802.0,-903.0,-1869.0,-78.0,12.0,4.0,1.0
2022-05-23 15:44:16.112903-07:00,2048.4,607.6,1362.1,1589.9,1166.5,1388.5,1618.1,1528.3,3429.8,3421.3,1722.4,1481.9,1619.0,3431.0,1223.0,1728.2,3416.5,3422.5,735.6,1357.6,914.4,639.2,1250.6,1856.7,3429.8,3439.5,859.5,1045.2,1254.2,1642.6,1325.0,1051.3,-12.0,1.0,26.0,11611.0,9566.0,5441.0,3537.0,-71.0,338.0,-256.0,17.0,-1.0,24.0,13685.0,8769.0,-884.0,-1866.0,-30.0,81.0,-28.0,1.0
2022-05-23 15:44:16.173382-07:00,2038.4,598.7,1359.4,1589.9,1166.5,1388.5,1618.1,1528.3,3429.8,3424.9,1717.7,1473.6,1619.0,3431.0,1223.0,1728.2,3416.5,3422.5,735.6,1357.6,908.4,634.3,1259.6,1856.7,3429.8,3439.5,859.5,1045.2,1249.7,1637.9,1328.7,1049.6,26.0,-7.0,41.0,11576.0,9506.0,5610.0,3548.0,81.0,460.0,-257.0,30.0,-13.0,-2.0,13674.0,8795.0,-833.0,-1849.0,88.0,160.0,-46.0,1.0
2022-05-23 15:44:16.232565-07:00,2038.4,598.7,1359.4,1589.9,1173.5,1394.8,1598.3,1559.0,3429.8,3424.9,1717.7,1473.6,1616.2,3427.4,1215.1,1725.3,3421.3,3421.3,725.8,1338.6,908.4,634.3,1259.6,1856.7,3434.6,3420.1,852.8,1041.8,1249.7,1637.9,1328.7,1049.6,-34.0,-25.0,44.0,11472.0,9505.0,5807.0,3570.0,413.0,273.0,-133.0,20.0,-56.0,41.0,13632.0,8872.0,-768.0,-1818.0,241.0,219.0,-50.0,1.0
2022-05-23 15:44:16.262591-07:00,2020.4,610.0,1353.1,1583.3,1173.5,1394.8,1598.3,1559.0,3423.7,3426.2,1694.8,1470.9,1616.2,3427.4,1215.1,1725.3,3421.3,3421.3,725.8,1338.6,908.4,633.5,1293.6,1865.4,3434.6,3420.1,852.8,1041.8,1251.5,1626.5,1322.3,1041.8,-21.0,-43.0,-38.0,11365.0,9590.0,5930.0,3485.0,308.0,9.0,-206.0,-16.0,-30.0,-11.0,13592.0,8950.0,-699.0,-1762.0,129.0,217.0,42.0,1.0
2022-05-23 15:44:16.322751-07:00,2020.4,610.0,1353.1,1583.3,1152.4,1393.9,1598.3,1548.7,3423.7,3426.2,1694.8,1470.9,1611.5,3429.8,1211.5,1731.1,3418.9,3429.8,724.9,1333.2,908.4,633.5,1293.6,1865.4,3439.5,3434.6,857.0,1042.6,1251.5,1626.5,1322.3,1041.8,-17.0,-74.0,19.0,11271.0,9706.0,5992.0,3360.0,881.0,-74.0,4.0,-1.0,-23.0,-18.0,13542.0,9047.0,-658.0,-1666.0,418.0,242.0,151.0,1.0
2022-05-23 15:44:16.352747-07:00,2067.5,643.2,1359.4,1590.8,1152.4,1393.9,1598.3,1901.6,3418.9,3429.8,1705.3,1479.2,1611.5,3429.8,1211.5,1757.9,3426.2,3429.8,724.9,1333.2,908.4,655.4,1281.0,1864.5,3434.6,3434.6,857.0,1042.6,1260.4,1653.9,1335.0,1045.2,-16.0,82.0,-16.0,11035.0,9961.0,6072.0,3252.0,701.0,163.0,28.0,9.0,37.0,-14.0,13423.0,9239.0,-657.0,-1573.0,457.0,89.0,104.0,1.0
