Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-23 15:44:15.971107-07:00,1204.4,846.1,1127.0,1012.5,939.0,1211.5,1876.2,1428.6,3462.5,3473.4,1141.9,915.2,1712.9,3480.7,1377.5,1330.5,3469.8,3471.0,1595.5,1975.6,2553.0,3488.0,1642.6,3485.6,3478.3,3472.2,772.8,796.9,1969.7,1125.2,1066.0,922.8,21.0,12.0,40.0,12027.0,-10560.0,1996.0,2881.0,96.0,-47.0,-28.0,13.0,23.0,18.0,11085.0,-11350.0,2904.0,-2881.0,112.0,-4.0,7.0,1.0
2022-05-23 15:44:16.029778-07:00,1204.4,846.1,1106.9,1005.6,939.0,1202.7,1850.8,1413.1,3462.5,3473.4,1139.2,914.4,1712.9,3463.7,1372.1,1324.1,3471.0,3474.6,1606.8,1975.6,2558.3,3486.8,1642.6,3485.6,3483.2,3469.8,760.4,796.9,1958.8,1117.4,1066.0,922.8,0.0,-9.0,36.0,12040.0,-10546.0,1989.0,2882.0,-6.0,20.0,-6.0,6.0,-6.0,21.0,11099.0,-11336.0,2902.0,-2887.0,-2.0,24.0,4.0,1.0
2022-05-23 15:44:16.060240-07:00,1188.5,854.5,1109.5,1005.6,932.2,1202.7,1850.8,1413.1,3471.0,3464.9,1141.0,914.4,1711.0,3463.7,1372.1,1324.1,3471.0,3474.6,1606.8,1962.8,2558.3,3492.9,1640.7,3494.1,3483.2,3469.8,760.4,796.9,1958.8,1118.2,1058.2,926.2,-1.0,-18.0,19.0,12050.0,-10535.0,1995.0,2875.0,26.0,17.0,19.0,0.0,-7.0,18.0,11105.0,-11324.0,2911.0,-2899.0,27.0,51.0,16.0,1.0
2022-05-23 15:44:16.120070-07:00,1188.5,854.5,1109.5,1005.6,932.2,1207.1,1861.5,1397.6,3471.0,3464.9,1141.0,912.7,1711.0,3467.4,1371.2,1324.1,3467.4,3469.8,1605.8,1962.8,2550.8,3492.9,1640.7,3494.1,3478.3,3466.1,767.8,796.9,1948.9,1118.2,1058.2,926.2,11.0,-3.0,22.0,12055.0,-10525.0,2023.0,2871.0,4.0,142.0,44.0,8.0,5.0,13.0,11102.0,-11317.0,2937.0,-2911.0,-72.0,84.0,22.0,1.0
2022-05-23 15:44:16.150333-07:00,1195.6,844.4,1112.1,1005.6,928.8,1207.1,1861.5,1397.6,3468.6,3462.5,1136.6,912.7,1703.3,3467.4,1371.2,1324.1,3467.4,3469.8,1605.8,1953.9,2550.8,3484.4,1645.4,3485.6,3478.3,3466.1,767.8,801.9,1948.9,1118.2,1061.7,929.6,2.0,-11.0,4.0,12035.0,-10547.0,2079.0,2836.0,-62.0,226.0,54.0,4.0,-3.0,15.0,11065.0,-11340.0,2979.0,-2922.0,-125.0,93.0,27.0,1.0
2022-05-23 15:44:16.210309-07:00,1195.6,844.4,1112.1,1000.5,928.8,1208.0,1824.6,1393.9,3468.6,3462.5,1136.6,906.7,1703.3,3464.9,1367.6,1321.4,3471.0,3462.5,1593.6,1953.9,2566.9,3484.4,1645.4,3485.6,3474.6,3473.4,768.7,801.9,1953.9,1118.2,1061.7,929.6,1.0,-11.0,0.0,12000.0,-10579.0,2166.0,2797.0,-45.0,232.0,51.0,2.0,-13.0,8.0,11022.0,-11365.0,3029.0,-2932.0,-121.0,104.0,37.0,1.0
2022-05-23 15:44:16.299581-07:00,1189.4,844.4,1113.0,1000.5,922.8,1208.0,1824.6,1393.9,3466.1,3468.6,1135.7,909.3,1711.0,3464.9,1367.6,1321.4,3471.0,3462.5,1593.6,1968.7,2551.9,3481.9,1642.6,3489.2,3474.6,3473.4,768.7,798.5,1961.8,1119.1,1062.5,922.0,0.0,2.0,-19.0,11978.0,-10601.0,2238.0,2749.0,-30.0,143.0,19.0,-2.0,5.0,0.0,10987.0,-11385.0,3072.0,-2944.0,-115.0,84.0,25.0,1.0
2022-05-23 15:44:16.301038-07:00,1189.4,844.4,1113.0,1000.5,925.4,1215.1,1825.5,1363.0,3466.1,3468.6,1135.7,909.3,1710.0,3467.4,1366.6,1325.0,3474.6,3475.9,1590.8,1958.8,2551.9,3481.9,1642.6,3489.2,3473.4,3480.7,754.6,801.9,1961.8,1119.1,1062.5,922.0,14.0,-9.0,-11.0,11949.0,-10632.0,2271.0,2730.0,-85.0,55.0,55.0,3.0,5.0,-14.0,10939.0,-11422.0,3103.0,-2947.0,-135.0,44.0,-1.0,1.0
2022-05-23 15:44:16.360270-07:00,1186.7,845.3,1123.5,1008.2,925.4,1215.1,1825.5,1363.0,3468.6,3471.0,1125.2,912.7,1710.0,3467.4,1366.6,1325.0,3474.6,3475.9,1590.8,1958.8,2554.0,3484.4,1639.8,3490.5,3473.4,3480.7,754.6,801.9,1955.8,1121.7,1062.5,916.9,9.0,4.0,-1.0,11898.0,-10681.0,2306.0,2733.0,-351.0,109.0,71.0,0.0,13.0,-6.0,10849.0,-11502.0,3131.0,-2940.0,-422.0,35.0,-20.0,1.0
2022-05-23 15:44:16.480069-07:00,1186.7,845.3,1123.5,1008.2,929.6,1202.7,1808.1,1340.4,3468.6,3471.0,1125.2,912.7,1706.2,3457.6,1353.1,1313.3,3474.6,3478.3,1589.9,1960.8,2554.0,3484.4,1639.8,3490.5,3480.7,3468.6,764.5,808.5,1955.8,1121.7,1062.5,916.9,-9.0,-5.0,-38.0,11780.0,-10805.0,2318.0,2747.0,-337.0,-52.0,4.0,2.0,-6.0,-5.0,10708.0,-11629.0,3167.0,-2917.0,-388.0,20.0,-20.0,1.0
2022-05-23 15:44:16.481072-07:00,1196.5,859.5,1121.7,1001.3,929.6,1202.7,1808.1,1340.4,3457.6,3469.8,1130.5,905.9,1706.2,3457.6,1353.1,1313.3,3474.6,3478.3,1589.9,1960.8,2534.7,3490.5,1654.9,3492.9,3480.7,3468.6,764.5,808.5,1945.9,1139.2,1075.6,918.6,92.0,89.0,-24.0,11670.0,-10922.0,2265.0,2793.0,-506.0,64.0,6.0,6.0,34.0,-76.0,10543.0,-11781.0,3188.0,-2886.0,-719.0,-34.0,-112.0,1.0
2022-05-23 15:44:16.540186-07:00,1221.3,859.5,1121.7,1001.3,933.9,1243.5,1906.6,1332.3,3464.9,3469.8,1130.5,905.9,1711.0,3468.6,1375.7,1325.0,3467.4,3472.2,1594.6,1970.7,2534.7,3490.5,1654.9,3490.5,3468.6,3478.3,791.0,812.7,1945.9,1139.2,1075.6,926.2,-110.0,-104.0,7.0,11348.0,-11271.0,2296.0,2711.0,-1991.0,702.0,-238.0,-8.0,-136.0,145.0,10093.0,-12190.0,3196.0,-2787.0,-2156.0,-146.0,-208.0,1.0
2022-05-23 15:44:16.569985-07:00,1221.3,893.2,1108.6,1003.9,933.9,1243.5,1906.6,1319.6,3464.9,3464.9,1144.5,914.4,1711.0,3468.6,1375.7,1330.5,3464.9,3472.2,1594.6,1970.7,2581.0,3497.8,1708.1,3490.5,3473.4,3478.3,791.0,812.7,1956.8,1134.9,1076.4,926.2,14.0,-38.0,-7.0,10965.0,-11661.0,2273.0,2659.0,-168.0,-38.0,55.0,4.0,33.0,-24.0,9825.0,-12414.0,3231.0,-2712.0,-67.0,-8.0,38.0,1.0
