Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-23 15:45:56.862969-07:00,1263.1,871.3,1145.4,1014.2,1015.9,1118.2,1924.3,1371.2,3466.1,3467.4,1111.2,884.8,1679.5,3471.0,1332.3,1300.7,3464.9,3473.4,1643.5,2295.2,3061.6,3491.7,1837.2,3491.7,3467.4,3477.1,722.5,853.7,1892.8,1092.1,1071.2,896.6,-24.0,34.0,22.0,10515.0,-12275.0,2225.0,1501.0,216.0,-167.0,78.0,-20.0,40.0,-3.0,9013.0,-12787.0,4188.0,-2481.0,404.0,-28.0,82.0,1.0
2022-05-23 15:45:56.864413-07:00,1263.1,871.3,1145.4,1008.2,1015.9,1134.9,1872.3,1343.1,3466.1,3467.4,1111.2,882.3,1679.5,3462.5,1324.1,1301.6,3479.5,3471.0,1639.8,2295.2,3062.8,3491.7,1837.2,3491.7,3477.1,3474.6,718.4,853.7,1896.7,1092.1,1071.2,896.6,16.0,45.0,73.0,10528.0,-12261.0,2224.0,1520.0,-4.0,55.0,-25.0,10.0,32.0,16.0,9068.0,-12751.0,4182.0,-2476.0,18.0,-29.0,-8.0,1.0
2022-05-23 15:45:56.920979-07:00,1267.6,852.0,1128.7,1008.2,1015.1,1134.9,1872.3,1343.1,3468.6,3462.5,1115.6,882.3,1679.5,3462.5,1324.1,1301.6,3479.5,3471.0,1639.8,2292.1,3062.8,3481.9,1837.2,3490.5,3477.1,3474.6,718.4,847.8,1896.7,1090.3,1052.2,887.3,-11.0,2.0,36.0,10550.0,-12249.0,2215.0,1474.0,38.0,-9.0,-102.0,5.0,9.0,12.0,9083.0,-12741.0,4169.0,-2492.0,75.0,26.0,-39.0,1.0
2022-05-23 15:45:56.981195-07:00,1267.6,852.0,1128.7,1002.2,1015.1,1121.7,1818.7,1301.6,3468.6,3462.5,1115.6,881.4,1679.5,3473.4,1320.5,1289.1,3472.2,3467.4,1644.5,2292.1,3054.7,3481.9,1837.2,3490.5,3473.4,3468.6,720.8,847.8,1894.8,1090.3,1052.2,887.3,-38.0,-28.0,38.0,10556.0,-12247.0,2206.0,1470.0,23.0,-29.0,12.0,-15.0,-16.0,12.0,9094.0,-12737.0,4154.0,-2501.0,34.0,-30.0,-17.0,1.0
2022-05-23 15:45:57.010694-07:00,1256.0,861.2,1130.5,1002.2,1014.2,1121.7,1818.7,1301.6,3468.6,3458.9,1115.6,881.4,1685.3,3473.4,1320.5,1289.1,3472.2,3467.4,1644.5,2287.9,3054.7,3494.1,1830.4,3481.9,3473.4,3468.6,720.8,846.1,1894.8,1090.3,1057.3,892.4,-16.0,17.0,58.0,10539.0,-12259.0,2192.0,1512.0,-183.0,-94.0,53.0,11.0,39.0,38.0,9093.0,-12743.0,4147.0,-2485.0,-90.0,-35.0,15.0,1.0
2022-05-23 15:45:57.070775-07:00,1256.0,861.2,1130.5,1000.5,1014.2,1111.2,1813.9,1295.4,3468.6,3458.9,1115.6,876.4,1685.3,3468.6,1328.7,1295.4,3475.9,3467.4,1629.4,2287.9,3042.0,3494.1,1830.4,3481.9,3479.5,3471.0,707.7,846.1,1892.8,1090.3,1057.3,892.4,3.0,-78.0,80.0,10382.0,-12376.0,2193.0,1632.0,-580.0,-133.0,236.0,19.0,-62.0,-14.0,8976.0,-12826.0,4173.0,-2440.0,-498.0,23.0,23.0,1.0
2022-05-23 15:45:57.131607-07:00,1262.2,855.3,1127.9,1007.3,1018.5,1111.2,1813.9,1295.4,3478.3,3483.2,1106.0,878.0,1678.6,3468.6,1328.7,1295.4,3475.9,3467.4,1629.4,2284.8,3050.1,3488.0,1838.2,3491.7,3479.5,3471.0,707.7,848.6,1886.9,1087.7,1060.8,889.0,-21.0,-13.0,72.0,10297.0,-12424.0,2267.0,1704.0,50.0,77.0,208.0,-5.0,-16.0,29.0,8920.0,-12860.0,4207.0,-2407.0,51.0,-6.0,90.0,1.0
2022-05-23 15:45:57.160753-07:00,1262.2,855.3,1127.9,1007.3,1009.0,1116.5,1809.0,1307.9,3478.3,3483.2,1106.0,878.0,1680.5,3457.6,1323.2,1284.6,3473.4,3475.9,1636.0,2274.5,3050.1,3488.0,1838.2,3491.7,3467.4,3481.9,711.8,836.1,1886.9,1087.7,1060.8,889.0,4.0,54.0,66.0,10312.0,-12403.0,2306.0,1720.0,58.0,15.0,4.0,0.0,29.0,9.0,8948.0,-12836.0,4225.0,-2400.0,66.0,5.0,25.0,1.0
2022-05-23 15:45:57.220796-07:00,1245.3,848.6,1133.1,1000.5,1009.0,1116.5,1809.0,1307.9,3472.2,3471.0,1104.3,880.6,1680.5,3457.6,1323.2,1284.6,3473.4,3475.9,1636.0,2274.5,3054.7,3497.8,1826.5,3489.2,3467.4,3481.9,711.8,836.1,1887.9,1079.0,1059.9,880.6,-2.0,14.0,43.0,10337.0,-12391.0,2301.0,1656.0,6.0,142.0,-150.0,6.0,6.0,16.0,8952.0,-12831.0,4218.0,-2420.0,-51.0,46.0,-61.0,1.0
2022-05-23 15:45:57.370872-07:00,1245.3,848.6,1133.1,1000.5,1012.5,1113.0,1766.6,1297.2,3472.2,3471.0,1104.3,880.6,1679.5,3462.5,1319.6,1283.7,3478.3,3481.9,1612.4,2276.5,3054.7,3497.8,1826.5,3489.2,3472.2,3488.0,705.2,836.9,1887.9,1079.0,1059.9,880.6,-25.0,-65.0,27.0,10319.0,-12415.0,2286.0,1607.0,-19.0,46.0,-49.0,-3.0,-36.0,-9.0,8924.0,-12849.0,4216.0,-2435.0,-13.0,14.0,-13.0,1.0
