Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-23 15:55:09.416049-07:00,1225.7,953.4,1141.0,1010.8,1079.0,816.9,1643.5,1283.7,3468.6,3464.9,1119.1,884.8,1708.1,3468.6,1282.8,1280.1,3472.2,3473.4,1675.7,2184.0,2830.2,3483.2,1640.7,3481.9,3477.1,3475.9,661.1,755.4,1836.2,1079.9,1031.4,971.3,47.0,20.0,-4.0,11418.0,-11264.0,1996.0,2686.0,31.0,-95.0,-88.0,27.0,16.0,15.0,10415.0,-12340.0,2244.0,-1630.0,49.0,-55.0,-77.0,1.0
2022-05-23 15:55:09.417011-07:00,1231.9,966.2,1141.0,1010.8,1073.8,807.7,1643.5,1283.7,3473.4,3462.5,1119.1,884.8,1724.4,3472.2,1282.8,1280.1,3472.2,3473.4,1677.6,2184.0,2830.2,3483.2,1636.9,3481.9,3477.1,3475.9,657.0,754.6,1836.2,1079.9,1031.4,958.5,11.0,-41.0,1.0,11425.0,-11269.0,1926.0,2685.0,-25.0,-113.0,-100.0,5.0,-28.0,10.0,10425.0,-12340.0,2191.0,-1638.0,28.0,-85.0,-86.0,1.0
2022-05-23 15:55:09.418017-07:00,1231.9,966.2,1138.4,1006.5,1073.8,804.4,1640.7,1285.5,3473.4,3462.5,1111.2,884.8,1724.4,3466.1,1279.2,1277.4,3471.0,3472.2,1675.7,2184.0,2815.7,3494.1,1636.9,3481.9,3463.7,3461.3,655.4,754.6,1841.1,1081.6,1031.4,958.5,4.0,-42.0,12.0,11442.0,-11256.0,1873.0,2700.0,31.0,-114.0,-23.0,6.0,-19.0,9.0,10446.0,-12331.0,2148.0,-1631.0,69.0,-61.0,-12.0,1.0
2022-05-23 15:55:09.446310-07:00,1243.5,941.5,1143.6,1006.5,1062.5,804.4,1640.7,1285.5,3462.5,3471.0,1109.5,884.8,1731.1,3466.1,1279.2,1277.4,3471.0,3472.2,1675.7,2180.9,2815.7,3494.1,1636.0,3491.7,3463.7,3461.3,655.4,751.3,1841.1,1082.5,1024.5,969.6,15.0,-17.0,20.0,11443.0,-11254.0,1855.0,2720.0,-43.0,-5.0,53.0,8.0,-3.0,13.0,10459.0,-12323.0,2135.0,-1616.0,-19.0,-17.0,31.0,1.0
2022-05-23 15:55:09.476684-07:00,1243.5,941.5,1143.6,1009.0,1062.5,816.9,1628.4,1291.8,3462.5,3471.0,1109.5,884.8,1731.1,3474.6,1281.0,1277.4,3466.1,3471.0,1665.3,2180.9,2822.4,3494.1,1636.0,3491.7,3467.4,3471.0,657.9,751.3,1843.0,1082.5,1024.5,969.6,22.0,7.0,25.0,11421.0,-11270.0,1873.0,2733.0,-52.0,39.0,49.0,7.0,6.0,33.0,10452.0,-12328.0,2149.0,-1610.0,-28.0,45.0,27.0,1.0
2022-05-23 15:55:09.477458-07:00,1234.6,960.2,1168.2,1009.0,1069.5,816.9,1628.4,1291.8,3467.4,3464.9,1112.1,884.8,1694.8,3474.6,1281.0,1277.4,3466.1,3471.0,1665.3,2188.1,2822.4,3486.8,1629.4,3479.5,3467.4,3471.0,657.9,752.9,1843.0,1083.4,1027.1,966.2,6.0,16.0,35.0,11448.0,-11238.0,1901.0,2730.0,141.0,29.0,49.0,1.0,18.0,35.0,10484.0,-12293.0,2167.0,-1641.0,142.0,127.0,-11.0,1.0
2022-05-23 15:55:09.506256-07:00,1234.6,960.2,1168.2,1009.0,1069.5,816.9,1628.4,1291.8,3467.4,3464.9,1112.1,884.8,1694.8,3474.6,1281.0,1277.4,3466.1,3471.0,1665.3,2188.1,2822.4,3486.8,1629.4,3479.5,3467.4,3471.0,657.9,752.9,1843.0,1083.4,1027.1,966.2,6.0,16.0,35.0,11448.0,-11238.0,1901.0,2730.0,141.0,29.0,49.0,1.0,18.0,35.0,10484.0,-12293.0,2167.0,-1641.0,142.0,127.0,-11.0,1.0
2022-05-23 15:55:09.507179-07:00,1230.2,953.4,1162.1,1028.8,1062.5,804.4,1646.4,1279.2,3473.4,3475.9,1112.1,887.3,1656.8,3475.9,1292.7,1280.1,3479.5,3478.3,1670.1,2168.7,2832.5,3490.5,1626.5,3490.5,3483.2,3474.6,656.2,751.3,1833.3,1076.4,1026.3,958.5,13.0,-54.0,-22.0,11447.0,-11265.0,1949.0,2589.0,-24.0,46.0,1.0,13.0,-16.0,-21.0,10439.0,-12310.0,2202.0,-1749.0,-37.0,23.0,31.0,1.0
2022-05-23 15:55:09.566134-07:00,1223.9,950.0,1159.4,1037.5,1062.5,804.4,1646.4,1279.2,3471.0,3473.4,1113.9,888.2,1656.8,3475.9,1292.7,1280.1,3479.5,3478.3,1670.1,2168.7,2815.7,3497.8,1634.1,3490.5,3483.2,3474.6,656.2,751.3,1825.5,1083.4,1029.7,963.7,25.0,-4.0,-41.0,11437.0,-11275.0,1962.0,2581.0,-48.0,29.0,4.0,13.0,2.0,-13.0,10427.0,-12320.0,2215.0,-1740.0,-39.0,-13.0,23.0,1.0
2022-05-23 15:55:09.685688-07:00,1223.9,950.0,1159.4,1037.5,1062.5,801.9,1634.1,1278.3,3471.0,3473.4,1113.9,888.2,1666.3,3457.6,1295.4,1285.5,3478.3,3478.3,1649.2,2176.9,2815.7,3497.8,1634.1,3490.5,3473.4,3479.5,658.7,757.1,1825.5,1083.4,1029.7,963.7,31.0,9.0,-15.0,11432.0,-11283.0,1956.0,2571.0,9.0,3.0,-6.0,17.0,17.0,-1.0,10426.0,-12322.0,2213.0,-1733.0,31.0,-13.0,3.0,1.0
