Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-23 16:03:04.055304-07:00,2465.3,692.1,1196.5,1363.0,1110.4,1340.4,1586.1,1925.2,3428.6,3423.7,1537.6,1276.5,1568.3,3428.6,1127.9,1479.2,3426.2,3417.7,763.7,1349.4,916.9,627.8,1209.7,1792.6,3427.4,3424.9,820.2,1012.5,1184.1,1379.4,1141.9,1033.2,0.0,-11.0,19.0,11090.0,11392.0,3767.0,1215.0,-38.0,20.0,6.0,-6.0,-10.0,5.0,8094.0,5565.0,-7644.0,-10655.0,3.0,-22.0,-7.0,1.0
2022-05-23 16:03:04.085234-07:00,2465.3,692.1,1196.5,1363.0,1103.4,1328.7,1585.2,1937.1,3428.6,3423.7,1537.6,1276.5,1561.8,3429.8,1122.6,1477.3,3424.9,3427.4,767.0,1354.0,916.9,627.8,1209.7,1792.6,3431.0,3439.5,818.5,1015.1,1184.1,1379.4,1141.9,1033.2,-1.0,6.0,24.0,11107.0,11376.0,3762.0,1223.0,-46.0,-6.0,-5.0,-2.0,-4.0,13.0,8092.0,5557.0,-7643.0,-10661.0,-23.0,-8.0,-4.0,1.0
2022-05-23 16:03:04.205273-07:00,2471.7,695.4,1198.2,1361.2,1103.4,1328.7,1585.2,1937.1,3427.4,3431.0,1521.8,1273.0,1561.8,3429.8,1122.6,1477.3,3424.9,3427.4,767.0,1354.0,922.8,623.8,1212.4,1797.4,3431.0,3439.5,818.5,1015.1,1189.4,1377.5,1142.7,1031.4,5.0,6.0,23.0,11122.0,11361.0,3765.0,1223.0,-27.0,18.0,-29.0,-4.0,0.0,0.0,8095.0,5554.0,-7638.0,-10664.0,-14.0,9.0,-8.0,1.0
2022-05-23 16:03:04.206218-07:00,2471.7,695.4,1198.2,1361.2,1107.8,1325.9,1573.0,1910.5,3427.4,3431.0,1521.8,1273.0,1559.9,3422.5,1120.0,1475.5,3422.5,3420.1,765.3,1352.1,922.8,623.8,1212.4,1797.4,3431.0,3418.9,813.5,1007.3,1189.4,1377.5,1142.7,1031.4,-6.0,-1.0,9.0,11127.0,11352.0,3778.0,1223.0,8.0,8.0,-16.0,-6.0,-8.0,5.0,8099.0,5558.0,-7629.0,-10665.0,-4.0,21.0,-8.0,1.0
2022-05-23 16:03:04.207240-07:00,2449.4,689.7,1200.9,1374.8,1107.8,1325.9,1573.0,1910.5,3420.1,3422.5,1525.5,1273.0,1559.9,3422.5,1120.0,1475.5,3422.5,3420.1,765.3,1352.1,918.6,624.6,1208.9,1791.6,3431.0,3418.9,813.5,1007.3,1191.2,1382.1,1145.4,1028.0,-6.0,-12.0,9.0,11129.0,11350.0,3776.0,1224.0,4.0,0.0,24.0,0.0,-7.0,8.0,8104.0,5562.0,-7624.0,-10663.0,1.0,16.0,11.0,1.0
2022-05-23 16:03:04.265954-07:00,2443.0,689.7,1200.9,1374.8,1111.2,1339.5,1573.0,1886.9,3423.7,3422.5,1525.5,1273.0,1566.5,3429.8,1122.6,1478.3,3426.2,3431.0,765.3,1350.3,918.6,624.6,1208.9,1786.8,3429.8,3434.6,821.9,1015.1,1191.2,1382.1,1145.4,1032.3,-1.0,16.0,6.0,11130.0,11355.0,3762.0,1219.0,-28.0,-27.0,-3.0,-10.0,3.0,-1.0,8107.0,5559.0,-7620.0,-10666.0,-43.0,-7.0,3.0,1.0
2022-05-23 16:03:04.325145-07:00,2443.0,697.0,1192.0,1363.0,1111.2,1339.5,1573.0,1905.6,3423.7,3439.5,1532.0,1278.3,1566.5,3429.8,1122.6,1480.1,3423.7,3431.0,765.3,1350.3,916.9,627.8,1212.4,1786.8,3429.8,3434.6,821.9,1015.1,1183.2,1375.7,1141.9,1032.3,0.0,-2.0,13.0,11130.0,11359.0,3753.0,1208.0,46.0,-28.0,6.0,-6.0,2.0,-1.0,8111.0,5553.0,-7611.0,-10672.0,-7.0,-1.0,2.0,1.0
2022-05-23 16:03:04.385198-07:00,2460.0,697.0,1192.0,1363.0,1111.2,1332.3,1570.2,1905.6,3424.9,3439.5,1532.0,1278.3,1557.1,3424.9,1115.6,1480.1,3423.7,3427.4,765.3,1351.2,916.9,627.8,1212.4,1790.7,3429.8,3424.9,816.9,1009.0,1183.2,1375.7,1141.9,1032.3,2.0,-1.0,13.0,11136.0,11353.0,3749.0,1210.0,-18.0,6.0,-1.0,-2.0,-8.0,3.0,8115.0,5548.0,-7607.0,-10674.0,-16.0,-7.0,6.0,1.0
2022-05-23 16:03:04.415488-07:00,2460.0,695.4,1194.7,1367.6,1111.2,1332.3,1570.2,1912.4,3424.9,3428.6,1525.5,1281.0,1557.1,3424.9,1115.6,1478.3,3414.1,3427.4,765.3,1351.2,917.7,624.6,1207.1,1790.7,3429.8,3424.9,816.9,1009.0,1179.7,1377.5,1148.9,1032.3,1.0,1.0,13.0,11142.0,11349.0,3746.0,1210.0,-2.0,-10.0,3.0,-3.0,-3.0,3.0,8116.0,5547.0,-7604.0,-10676.0,-2.0,-8.0,-2.0,1.0
2022-05-23 16:03:04.475027-07:00,2442.0,695.4,1194.7,1367.6,1111.2,1323.2,1569.3,1912.4,3428.6,3428.6,1525.5,1281.0,1560.9,3422.5,1120.0,1478.3,3414.1,3415.3,760.4,1350.3,917.7,624.6,1207.1,1784.9,3429.8,3428.6,818.5,1000.5,1179.7,1377.5,1148.9,1028.0,3.0,4.0,12.0,11145.0,11348.0,3740.0,1206.0,-12.0,-27.0,6.0,-3.0,-1.0,0.0,8116.0,5545.0,-7604.0,-10678.0,-14.0,-13.0,-3.0,1.0
