Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-23 16:03:03.980530-07:00,1408.5,820.2,1077.3,956.0,974.8,950.9,2045.4,1522.7,3462.5,3463.7,1071.2,831.9,1661.5,3473.4,1170.0,1126.1,3467.4,3468.6,1582.4,2141.2,2696.3,3496.6,1589.9,3478.3,3466.1,3467.4,683.1,765.3,1798.4,967.1,893.2,1002.2,15.0,36.0,4.0,10091.0,-12720.0,1303.0,1761.0,15.0,24.0,8.0,0.0,4.0,1.0,10165.0,-12757.0,-1099.0,1082.0,29.0,1.0,0.0,1.0
2022-05-23 16:03:04.040257-07:00,1395.7,826.9,1077.3,956.0,984.2,950.0,2045.4,1522.7,3466.1,3467.4,1071.2,831.9,1652.0,3473.4,1170.0,1126.1,3467.4,3468.6,1600.2,2133.1,2696.3,3496.6,1587.1,3485.6,3466.1,3467.4,679.9,759.6,1798.4,967.1,894.9,998.7,13.0,35.0,4.0,10091.0,-12720.0,1302.0,1764.0,1.0,-32.0,-7.0,-1.0,6.0,1.0,10171.0,-12751.0,-1103.0,1088.0,18.0,-24.0,-10.0,1.0
2022-05-23 16:03:04.070340-07:00,1395.7,826.9,1081.6,962.8,984.2,950.0,2011.4,1515.3,3466.1,3467.4,1075.6,833.6,1652.0,3473.4,1176.2,1117.4,3472.2,3472.2,1600.2,2133.1,2702.9,3497.8,1587.1,3485.6,3471.0,3478.3,679.9,759.6,1820.7,968.8,894.9,998.7,14.0,17.0,13.0,10081.0,-12727.0,1286.0,1779.0,-54.0,-49.0,-15.0,2.0,-8.0,3.0,10168.0,-12751.0,-1117.0,1096.0,-17.0,-39.0,-14.0,1.0
2022-05-23 16:03:04.130324-07:00,1396.7,824.4,1084.2,962.8,976.5,946.6,2011.4,1515.3,3452.8,3469.8,1071.2,833.6,1648.3,3469.8,1176.2,1117.4,3472.2,3472.2,1596.4,2127.0,2702.9,3494.1,1586.1,3485.6,3471.0,3478.3,684.0,765.3,1820.7,962.8,887.3,991.9,17.0,28.0,20.0,10084.0,-12725.0,1266.0,1797.0,22.0,-73.0,1.0,6.0,-4.0,10.0,10179.0,-12741.0,-1128.0,1103.0,52.0,-22.0,-11.0,1.0
2022-05-23 16:03:04.190802-07:00,1396.7,824.4,1084.2,954.3,976.5,957.7,2013.4,1519.0,3452.8,3469.8,1071.2,830.2,1648.3,3469.8,1172.6,1132.2,3475.9,3472.2,1593.6,2127.0,2710.6,3494.1,1586.1,3485.6,3468.6,3474.6,675.8,765.3,1816.8,962.8,887.3,991.9,32.0,33.0,31.0,10106.0,-12707.0,1239.0,1815.0,46.0,-64.0,-37.0,1.0,7.0,0.0,10198.0,-12725.0,-1135.0,1107.0,39.0,-13.0,-16.0,1.0
2022-05-23 16:03:04.220858-07:00,1393.0,817.7,1075.6,954.3,966.2,957.7,2013.4,1519.0,3463.7,3464.9,1067.7,830.2,1653.0,3469.8,1172.6,1132.2,3475.9,3472.2,1593.6,2132.1,2710.6,3488.0,1578.6,3483.2,3468.6,3474.6,675.8,764.5,1816.8,971.3,893.2,993.6,8.0,17.0,19.0,10111.0,-12705.0,1233.0,1803.0,-19.0,35.0,-12.0,0.0,-7.0,11.0,10198.0,-12725.0,-1138.0,1105.0,-15.0,8.0,-8.0,1.0
2022-05-23 16:03:04.280308-07:00,1393.0,817.7,1075.6,956.8,966.2,952.6,2005.5,1515.3,3463.7,3464.9,1067.7,831.1,1653.0,3464.9,1168.2,1120.9,3472.2,3468.6,1596.4,2132.1,2694.1,3488.0,1578.6,3483.2,3468.6,3469.8,678.2,764.5,1815.8,971.3,893.2,993.6,19.0,22.0,16.0,10109.0,-12708.0,1240.0,1793.0,-4.0,30.0,-3.0,4.0,-2.0,4.0,10196.0,-12727.0,-1134.0,1099.0,-4.0,21.0,5.0,1.0
2022-05-23 16:03:04.340228-07:00,1398.5,820.2,1078.2,956.8,971.3,952.6,2005.5,1515.3,3468.6,3461.3,1073.8,831.1,1651.1,3464.9,1168.2,1120.9,3472.2,3468.6,1596.4,2114.9,2694.1,3496.6,1580.5,3477.1,3468.6,3469.8,678.2,761.2,1815.8,977.3,895.7,997.0,20.0,24.0,15.0,10117.0,-12703.0,1248.0,1778.0,31.0,37.0,-9.0,6.0,-2.0,0.0,10201.0,-12724.0,-1129.0,1092.0,14.0,19.0,1.0,1.0
2022-05-23 16:03:04.370232-07:00,1398.5,820.2,1078.2,968.8,970.5,960.2,2019.4,1519.9,3468.6,3461.3,1073.8,822.7,1657.7,3473.4,1172.6,1129.6,3478.3,3468.6,1581.4,2130.1,2698.5,3496.6,1580.5,3477.1,3473.4,3464.9,679.1,767.0,1818.7,977.3,895.7,997.0,14.0,25.0,1.0,10133.0,-12691.0,1255.0,1766.0,45.0,15.0,0.0,0.0,-7.0,-6.0,10211.0,-12717.0,-1124.0,1088.0,29.0,13.0,3.0,1.0
2022-05-23 16:03:04.490263-07:00,1404.9,822.7,1088.6,965.4,970.5,960.2,2019.4,1519.9,3472.2,3467.4,1071.2,829.4,1657.7,3473.4,1172.6,1129.6,3478.3,3468.6,1581.4,2130.1,2705.1,3490.5,1589.9,3481.9,3473.4,3464.9,679.1,767.0,1816.8,971.3,895.7,1005.6,15.0,25.0,6.0,10136.0,-12689.0,1258.0,1762.0,4.0,-2.0,-3.0,3.0,-5.0,6.0,10212.0,-12716.0,-1121.0,1087.0,7.0,7.0,11.0,1.0
2022-05-23 16:03:04.491190-07:00,1404.9,822.7,1088.6,965.4,984.2,953.4,2006.4,1517.1,3472.2,3467.4,1071.2,829.4,1649.2,3457.6,1177.0,1120.0,3473.4,3478.3,1588.9,2128.0,2705.1,3490.5,1589.9,3481.9,3471.0,3478.3,678.2,776.1,1816.8,971.3,895.7,1005.6,21.0,12.0,17.0,10138.0,-12687.0,1251.0,1768.0,14.0,-27.0,1.0,6.0,-2.0,4.0,10220.0,-12710.0,-1121.0,1088.0,39.0,-1.0,3.0,1.0
