Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-23 16:04:57.997215-07:00,2238.4,724.1,1285.5,1447.9,1220.4,1266.7,1340.4,1669.1,3429.8,3432.2,1619.0,1308.8,0.0,3417.7,1217.7,1564.6,3426.2,3422.5,755.4,1392.1,1004.8,652.2,1268.5,1836.2,3428.6,3421.3,910.1,997.0,1209.7,1633.1,1281.0,1021.1,27.0,-1.0,50.0,10933.0,11922.0,2044.0,-1608.0,223.0,87.0,79.0,7.0,1.0,13.0,8999.0,5991.0,-6831.0,-10243.0,228.0,-23.0,-13.0,1.0
2022-05-23 16:04:58.056650-07:00,2224.0,710.1,1273.0,1445.1,1220.4,1266.7,1340.4,1669.1,3435.8,3424.9,1614.3,1307.0,0.0,3417.7,1217.7,1564.6,3426.2,3422.5,755.4,1392.1,1008.2,652.2,1259.6,1845.0,3428.6,3421.3,910.1,997.0,1207.1,1627.5,1284.6,1017.6,12.0,-31.0,59.0,10847.0,12014.0,2028.0,-1527.0,530.0,253.0,243.0,11.0,-27.0,25.0,8926.0,6075.0,-6952.0,-10175.0,586.0,-31.0,-15.0,1.0
2022-05-23 16:04:58.147242-07:00,2224.0,710.1,1273.0,1445.1,1225.7,1271.2,1328.7,1651.1,3435.8,3424.9,1614.3,1307.0,0.0,3429.8,1199.1,1563.7,3429.8,3424.9,759.6,1389.4,1008.2,652.2,1259.6,1845.0,3429.8,3433.4,905.9,997.9,1207.1,1627.5,1284.6,1017.6,-5.0,-27.0,49.0,10656.0,12210.0,1962.0,-1394.0,672.0,124.0,465.0,3.0,-36.0,31.0,8809.0,6235.0,-7145.0,-10045.0,772.0,5.0,8.0,1.0
2022-05-23 16:04:58.149302-07:00,2217.8,709.3,1265.8,1434.1,1225.7,1271.2,1328.7,1688.1,3437.0,3429.8,1598.3,1310.6,0.0,3429.8,1199.1,1562.7,3421.3,3424.9,759.6,1389.4,1003.9,653.0,1249.7,1838.2,3432.2,3433.4,905.9,997.9,1211.5,1642.6,1281.9,1022.8,-6.0,48.0,26.0,10476.0,12393.0,1865.0,-1270.0,425.0,222.0,239.0,0.0,11.0,19.0,8720.0,6364.0,-7303.0,-9928.0,399.0,0.0,25.0,1.0
2022-05-23 16:04:58.206537-07:00,2212.7,709.3,1265.8,1434.1,1222.2,1256.9,1379.4,1688.1,3427.4,3429.8,1598.3,1310.6,0.0,3429.8,1187.6,1562.7,3421.3,3424.9,757.9,1388.5,1003.9,653.0,1249.7,1841.1,3432.2,3431.0,906.7,992.7,1211.5,1642.6,1281.9,1017.6,-7.0,35.0,1.0,10410.0,12459.0,1845.0,-1203.0,55.0,5.0,120.0,-2.0,11.0,15.0,8692.0,6404.0,-7352.0,-9891.0,57.0,-1.0,-1.0,1.0
2022-05-23 16:04:58.237370-07:00,2212.7,711.8,1256.9,1432.3,1222.2,1256.9,1379.4,1676.7,3427.4,3426.2,1581.4,1295.4,0.0,3429.8,1187.6,1557.1,3429.8,3424.9,757.9,1388.5,997.9,651.4,1236.4,1841.1,3427.4,3431.0,906.7,992.7,1216.0,1620.9,1277.4,1017.6,15.0,34.0,24.0,10389.0,12482.0,1804.0,-1208.0,173.0,-36.0,1.0,2.0,13.0,0.0,8674.0,6425.0,-7373.0,-9877.0,113.0,-7.0,-21.0,1.0
2022-05-23 16:04:58.297512-07:00,2208.6,711.8,1256.9,1432.3,1219.5,1260.4,1419.5,1676.7,3431.0,3426.2,1581.4,1295.4,0.0,3428.6,1174.4,1557.1,3429.8,3432.2,756.3,1379.4,997.9,651.4,1236.4,1841.1,3427.4,3429.8,889.0,1005.6,1216.0,1620.9,1277.4,1021.1,2.0,11.0,34.0,10382.0,12488.0,1800.0,-1209.0,2.0,10.0,-11.0,4.0,-13.0,6.0,8666.0,6437.0,-7375.0,-9875.0,-6.0,17.0,-22.0,1.0
2022-05-23 16:04:58.356569-07:00,2208.6,720.8,1250.6,1418.6,1219.5,1260.4,1419.5,1681.4,3431.0,3428.6,1574.9,1293.6,0.0,3428.6,1174.4,1542.2,3422.5,3432.2,756.3,1379.4,999.6,653.8,1231.0,1841.1,3421.3,3429.8,889.0,1005.6,1207.1,1623.7,1268.5,1021.1,4.0,-2.0,17.0,10397.0,12474.0,1809.0,-1205.0,-30.0,20.0,-5.0,-1.0,-4.0,6.0,8670.0,6435.0,-7367.0,-9878.0,-43.0,-4.0,8.0,1.0
2022-05-23 16:04:58.387287-07:00,2200.4,720.8,1250.6,1418.6,1219.5,1256.0,1463.5,1681.4,3432.2,3428.6,1574.9,1293.6,0.0,3429.8,1164.7,1542.2,3422.5,3418.9,762.9,1382.1,999.6,653.8,1231.0,1845.9,3421.3,3423.7,864.6,994.5,1207.1,1623.7,1268.5,1015.9,9.0,19.0,43.0,10465.0,12415.0,1828.0,-1203.0,-348.0,4.0,-95.0,3.0,-16.0,12.0,8702.0,6378.0,-7318.0,-9923.0,-281.0,-38.0,0.0,1.0
2022-05-23 16:04:58.447309-07:00,2200.4,711.0,1253.3,1433.2,1219.5,1256.0,1442.4,1675.7,3432.2,3423.7,1571.1,1290.9,0.0,3429.8,1164.7,1545.0,3426.2,3414.1,762.9,1382.1,1001.3,648.1,1225.7,1845.9,3437.0,3428.6,864.6,994.5,1231.9,1619.9,1269.4,1015.9,-12.0,0.0,37.0,10516.0,12362.0,1888.0,-1212.0,27.0,110.0,-76.0,-1.0,0.0,37.0,8703.0,6359.0,-7309.0,-9941.0,107.0,-21.0,-8.0,1.0
2022-05-23 16:04:58.506507-07:00,2201.4,712.6,1253.3,1433.2,1210.6,1256.0,1442.4,1675.7,3431.0,3427.4,1571.1,1290.9,0.0,3426.2,1164.7,1545.0,3426.2,3414.1,759.6,1374.8,1001.3,648.1,1221.3,1842.0,3437.0,3428.6,864.6,985.9,1231.9,1619.9,1265.8,1021.9,8.0,7.0,30.0,10496.0,12378.0,1911.0,-1182.0,11.0,79.0,15.0,8.0,-11.0,20.0,8692.0,6373.0,-7329.0,-9928.0,44.0,9.0,6.0,1.0
2022-05-23 16:04:58.567618-07:00,2201.4,712.6,1239.9,1424.1,1210.6,1256.0,1430.5,1689.1,3431.0,3427.4,1555.3,1289.1,0.0,3426.2,1157.7,1545.0,3414.1,3429.8,759.6,1374.8,993.6,649.7,1221.3,1842.0,3423.7,3424.9,864.6,985.9,1210.6,1611.5,1265.8,1021.9,7.0,-9.0,27.0,10516.0,12362.0,1916.0,-1166.0,-51.0,23.0,-4.0,0.0,-16.0,9.0,8694.0,6373.0,-7327.0,-9926.0,20.0,6.0,2.0,1.0
2022-05-23 16:04:58.626991-07:00,2192.2,701.1,1239.9,1424.1,1202.7,1242.6,1430.5,1689.1,3421.3,3426.2,1555.3,1289.1,0.0,3426.2,1157.7,1545.0,3414.1,3429.8,759.6,1376.6,993.6,649.7,1216.8,1836.2,3423.7,3424.9,853.7,991.0,1210.6,1611.5,1264.0,1004.8,-1.0,-1.0,12.0,10515.0,12364.0,1909.0,-1162.0,-1.0,-18.0,38.0,-3.0,-4.0,14.0,8690.0,6379.0,-7334.0,-9922.0,14.0,-9.0,-3.0,1.0
