Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-23 16:04:57.989632-07:00,1307.9,842.8,1171.8,1010.8,1077.3,917.7,1760.8,1373.9,3463.7,3468.6,1080.8,816.9,1586.1,3471.0,1245.3,1175.3,3467.4,3473.4,1554.3,2229.1,2855.9,3481.9,1541.3,3488.0,3481.9,3479.5,684.8,766.2,1982.6,1029.7,1009.0,879.7,6.0,59.0,0.0,11288.0,-11422.0,1823.0,2689.0,-819.0,274.0,-285.0,1.0,5.0,5.0,11367.0,-11754.0,-712.0,747.0,-891.0,-152.0,-94.0,1.0
2022-05-23 16:04:58.049624-07:00,1309.7,845.3,1164.7,1007.3,1077.3,917.7,1760.8,1373.9,3472.2,3457.6,1077.3,804.4,1586.1,3471.0,1245.3,1175.3,3467.4,3473.4,1554.3,2229.1,2861.6,3486.8,1553.4,3491.7,3481.9,3479.5,684.8,766.2,1979.6,1027.1,1004.8,884.8,-11.0,21.0,28.0,11008.0,-11735.0,1744.0,2552.0,-988.0,318.0,-318.0,-8.0,-5.0,15.0,11049.0,-12048.0,-811.0,744.0,-1042.0,-150.0,-94.0,1.0
2022-05-23 16:04:58.109864-07:00,1309.7,845.3,1164.7,1007.3,1064.3,927.9,1768.5,1369.4,3472.2,3457.6,1077.3,804.4,1589.9,3469.8,1246.2,1175.3,3481.9,3478.3,1542.2,2216.8,2861.6,3486.8,1553.4,3491.7,3474.6,3477.1,693.8,765.3,1979.6,1027.1,1004.8,884.8,-15.0,-21.0,36.0,10707.0,-12044.0,1720.0,2406.0,-884.0,407.0,-178.0,3.0,-35.0,26.0,10732.0,-12326.0,-894.0,739.0,-843.0,-98.0,-60.0,1.0
2022-05-23 16:04:58.139779-07:00,1339.5,850.3,1149.8,992.7,1064.3,927.9,1768.5,1456.2,3467.4,3467.4,1070.3,812.7,1589.9,3469.8,1246.2,1163.8,3468.6,3478.3,1542.2,2216.8,2852.6,3490.5,1570.2,3477.1,3475.9,3477.1,693.8,765.3,1979.6,1019.4,997.0,880.6,-15.0,24.0,13.0,10491.0,-12256.0,1736.0,2272.0,-517.0,296.0,-148.0,3.0,-4.0,25.0,10528.0,-12498.0,-928.0,731.0,-485.0,-27.0,-16.0,1.0
2022-05-23 16:04:58.200217-07:00,1347.6,850.3,1149.8,992.7,1055.6,910.1,1775.2,1456.2,3464.9,3467.4,1070.3,812.7,1583.3,3466.1,1240.8,1163.8,3468.6,3471.0,1552.5,2207.5,2852.6,3490.5,1570.2,3488.0,3475.9,3480.7,690.5,772.0,1979.6,1019.4,997.0,884.8,-15.0,0.0,-3.0,10312.0,-12425.0,1727.0,2179.0,-539.0,182.0,-139.0,2.0,-14.0,-2.0,10384.0,-12617.0,-948.0,719.0,-596.0,-14.0,-29.0,1.0
2022-05-23 16:04:58.260014-07:00,1347.6,841.1,1135.7,994.5,1055.6,910.1,1775.2,1527.3,3464.9,3462.5,1070.3,807.7,1583.3,3466.1,1240.8,1162.1,3466.1,3471.0,1552.5,2207.5,2854.8,3488.0,1559.0,3488.0,3478.3,3480.7,690.5,772.0,1954.8,1022.8,990.2,884.8,-9.0,-8.0,0.0,10197.0,-12534.0,1695.0,2122.0,-175.0,72.0,-103.0,0.0,-23.0,-8.0,10227.0,-12744.0,-966.0,701.0,-169.0,17.0,1.0,1.0
2022-05-23 16:04:58.289608-07:00,1360.3,841.1,1135.7,994.5,1062.5,907.6,1765.6,1527.3,3468.6,3462.5,1070.3,807.7,1580.5,3467.4,1237.3,1162.1,3466.1,3468.6,1544.1,2211.6,2854.8,3488.0,1559.0,3490.5,3478.3,3478.3,675.0,763.7,1954.8,1022.8,990.2,884.8,1.0,32.0,-11.0,10171.0,-12559.0,1683.0,2103.0,-97.0,17.0,-46.0,0.0,-7.0,-15.0,10187.0,-12777.0,-967.0,696.0,-117.0,-19.0,-9.0,1.0
2022-05-23 16:04:58.349486-07:00,1360.3,833.6,1136.6,986.7,1062.5,907.6,1765.6,1466.3,3468.6,3469.8,1068.6,811.0,1580.5,3467.4,1237.3,1162.1,3475.9,3468.6,1544.1,2211.6,2864.9,3484.4,1571.1,3490.5,3473.4,3478.3,675.0,763.7,1968.7,1017.6,984.2,884.8,-2.0,6.0,17.0,10181.0,-12556.0,1657.0,2089.0,128.0,-58.0,-68.0,0.0,-8.0,0.0,10172.0,-12788.0,-974.0,696.0,113.0,11.0,-7.0,1.0
2022-05-23 16:04:58.439547-07:00,1349.4,848.6,1136.6,986.7,1062.5,912.7,1750.2,1466.3,3469.8,3464.9,1068.6,811.0,1575.8,3468.6,1233.7,1162.1,3475.9,3478.3,1545.9,2208.6,2864.9,3484.4,1557.1,3486.8,3473.4,3475.9,684.0,751.3,1968.7,1017.6,985.9,884.8,-9.0,34.0,0.0,10244.0,-12508.0,1646.0,2080.0,140.0,-20.0,-24.0,-4.0,3.0,-7.0,10218.0,-12752.0,-975.0,694.0,94.0,-2.0,-23.0,1.0
2022-05-23 16:04:58.440680-07:00,1349.4,848.6,1133.1,996.2,1062.5,912.7,1747.3,1440.5,3469.8,3464.9,1077.3,806.9,1575.8,3468.6,1234.6,1156.8,3464.9,3478.3,1545.9,2208.6,2855.9,3492.9,1557.1,3486.8,3468.6,3477.1,684.0,751.3,1968.7,1016.8,985.9,884.8,-2.0,-1.0,28.0,10267.0,-12489.0,1638.0,2087.0,87.0,-21.0,3.0,2.0,-22.0,3.0,10237.0,-12735.0,-984.0,694.0,95.0,-9.0,-10.0,1.0
2022-05-23 16:04:58.499943-07:00,1346.7,850.3,1133.1,996.2,1056.5,906.7,1747.3,1440.5,3455.2,3469.8,1077.3,806.9,1572.1,3469.8,1234.6,1156.8,3464.9,3478.3,1543.1,2205.5,2855.9,3492.9,1566.5,3473.4,3468.6,3477.1,673.3,757.1,1968.7,1016.8,979.9,887.3,10.0,22.0,26.0,10344.0,-12426.0,1645.0,2083.0,277.0,-19.0,-11.0,17.0,-5.0,11.0,10297.0,-12687.0,-981.0,694.0,234.0,17.0,2.0,1.0
2022-05-23 16:04:58.589666-07:00,1346.7,850.3,1127.9,988.5,1056.5,906.7,1735.8,1426.8,3455.2,3469.8,1066.0,806.9,1572.1,3469.8,1227.5,1159.4,3457.6,3478.3,1543.1,2205.5,2864.9,3490.5,1566.5,3473.4,3472.2,3471.0,673.3,757.1,1972.7,1015.9,979.9,887.3,4.0,52.0,4.0,10425.0,-12360.0,1639.0,2074.0,123.0,-15.0,-39.0,-6.0,12.0,-8.0,10366.0,-12632.0,-973.0,692.0,54.0,6.0,-13.0,1.0
2022-05-23 16:04:58.619547-07:00,1335.0,841.9,1127.9,988.5,1044.4,896.6,1735.8,1426.8,3466.1,3461.3,1066.0,806.9,1579.6,3464.9,1227.5,1159.4,3457.6,3478.3,1544.1,2206.5,2864.9,3490.5,1562.7,3489.2,3472.2,3471.0,670.9,754.6,1972.7,1015.9,982.5,872.1,-8.0,-7.0,21.0,10439.0,-12350.0,1646.0,2062.0,85.0,45.0,61.0,-9.0,6.0,-2.0,10371.0,-12627.0,-977.0,689.0,61.0,-3.0,2.0,1.0
2022-05-23 16:04:58.649276-07:00,1335.0,841.9,1134.9,996.2,1044.4,900.8,1736.8,1433.2,3466.1,3461.3,1066.0,803.5,1579.6,3473.4,1231.0,1158.6,3471.0,3475.9,1541.3,2206.5,2831.3,3486.8,1562.7,3489.2,3467.4,3477.1,671.7,754.6,1967.7,1013.3,982.5,872.1,-22.0,23.0,2.0,10443.0,-12327.0,1713.0,2118.0,-11.0,-70.0,230.0,2.0,-18.0,6.0,10396.0,-12606.0,-969.0,703.0,48.0,-18.0,49.0,1.0
2022-05-23 16:04:58.739639-07:00,1334.1,839.4,1140.1,996.2,1046.1,900.8,1736.8,1433.2,3467.4,3471.0,1060.8,803.5,1577.7,3473.4,1231.0,1158.6,3471.0,3475.9,1541.3,2210.6,2831.3,3492.9,1554.3,3489.2,3467.4,3477.1,671.7,762.0,1967.7,1016.8,994.5,873.8,37.0,33.0,36.0,10444.0,-12312.0,1766.0,2158.0,119.0,110.0,95.0,16.0,-2.0,9.0,10409.0,-12596.0,-956.0,721.0,87.0,1.0,32.0,1.0
2022-05-23 16:04:58.770138-07:00,1334.1,839.4,1140.1,1006.5,1046.1,899.1,1727.2,1428.6,3467.4,3471.0,1060.8,812.7,1577.7,3467.4,1223.9,1158.6,3474.6,3471.0,1536.6,2210.6,2841.4,3492.9,1554.3,3489.2,3478.3,3471.0,668.4,762.0,1973.7,1016.8,994.5,873.8,16.0,42.0,23.0,10491.0,-12275.0,1788.0,2120.0,183.0,38.0,-78.0,8.0,9.0,4.0,10441.0,-12570.0,-945.0,720.0,108.0,38.0,-4.0,1.0
