Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-23 16:09:30.927628-07:00,1988.5,553.0,1206.2,1421.3,1127.9,1299.8,1297.2,1550.6,3424.9,3420.1,1470.0,1302.5,1451.6,3424.9,1122.6,1520.8,3423.7,3427.4,718.4,1345.8,878.9,568.2,1118.2,1707.2,3432.2,3434.6,802.7,944.9,1168.2,1481.0,1239.1,1083.4,11.0,0.0,27.0,9747.0,9790.0,-4103.0,-7795.0,-21.0,-15.0,-11.0,4.0,-11.0,8.0,9282.0,5716.0,-6264.0,-10505.0,-14.0,-12.0,3.0,1.0
2022-05-23 16:09:30.928648-07:00,2000.5,558.6,1206.2,1421.3,1127.9,1299.8,1297.2,1550.6,3429.8,3429.8,1472.7,1310.6,1451.6,3424.9,1122.6,1520.8,3423.7,3427.4,718.4,1345.8,871.3,566.6,1123.5,1699.5,3432.2,3434.6,802.7,944.9,1175.3,1480.1,1239.9,1083.4,-4.0,-2.0,12.0,9747.0,9790.0,-4095.0,-7799.0,17.0,6.0,-15.0,-1.0,-11.0,8.0,9284.0,5715.0,-6261.0,-10506.0,-5.0,11.0,8.0,1.0
2022-05-23 16:09:30.929519-07:00,2000.5,558.6,1206.2,1421.3,1119.1,1287.3,1301.6,1554.3,3429.8,3429.8,1472.7,1310.6,1453.4,3424.9,1122.6,1524.5,3420.1,3424.9,723.3,1350.3,871.3,566.6,1123.5,1699.5,3429.8,3423.7,802.7,944.1,1175.3,1480.1,1239.9,1083.4,-6.0,0.0,5.0,9745.0,9791.0,-4089.0,-7803.0,4.0,11.0,-16.0,-10.0,-13.0,11.0,9287.0,5717.0,-6257.0,-10505.0,-9.0,9.0,9.0,1.0
2022-05-23 16:09:30.957130-07:00,1994.5,557.0,1208.0,1426.8,1119.1,1287.3,1301.6,1554.3,3429.8,3426.2,1463.5,1306.1,1453.4,3424.9,1122.6,1524.5,3420.1,3424.9,723.3,1350.3,878.9,558.6,1116.5,1698.6,3429.8,3423.7,802.7,944.1,1170.9,1472.7,1239.1,1093.8,2.0,2.0,6.0,9744.0,9794.0,-4086.0,-7801.0,14.0,25.0,-6.0,-7.0,-5.0,6.0,9289.0,5719.0,-6252.0,-10505.0,8.0,9.0,3.0,1.0
2022-05-23 16:09:31.017047-07:00,1994.5,557.0,1208.0,1426.8,1115.6,1289.1,1296.3,1552.5,3429.8,3426.2,1463.5,1306.1,1446.0,3418.9,1117.4,1522.7,3418.9,3427.4,722.5,1353.1,878.9,558.6,1116.5,1698.6,3418.9,3429.8,808.5,937.3,1170.9,1472.7,1239.1,1093.8,0.0,0.0,6.0,9745.0,9795.0,-4084.0,-7800.0,-13.0,0.0,0.0,-5.0,-13.0,7.0,9289.0,5719.0,-6251.0,-10506.0,-2.0,-2.0,4.0,1.0
2022-05-23 16:09:31.107091-07:00,1991.5,550.6,1211.5,1422.2,1115.6,1289.1,1296.3,1537.6,3426.2,3416.5,1465.4,1308.8,1446.0,3418.9,1117.4,1524.5,3421.3,3427.4,722.5,1353.1,874.7,567.4,1126.1,1701.4,3422.5,3429.8,808.5,937.3,1171.8,1477.3,1238.2,1079.9,-1.0,1.0,10.0,9749.0,9788.0,-4082.0,-7805.0,-17.0,-11.0,-8.0,-3.0,-14.0,12.0,9290.0,5715.0,-6248.0,-10509.0,-19.0,-11.0,1.0,1.0
2022-05-23 16:09:31.108585-07:00,1994.5,550.6,1211.5,1422.2,1119.1,1281.0,1292.7,1537.6,3418.9,3416.5,1465.4,1308.8,1449.7,3421.3,1119.1,1524.5,3421.3,3439.5,720.0,1345.8,874.7,567.4,1126.1,1690.0,3422.5,3429.8,796.0,937.3,1171.8,1477.3,1238.2,1086.8,-10.0,-3.0,16.0,9748.0,9787.0,-4083.0,-7807.0,14.0,-16.0,6.0,-2.0,-13.0,16.0,9289.0,5711.0,-6247.0,-10512.0,12.0,-2.0,1.0,1.0
2022-05-23 16:09:31.167315-07:00,1994.5,558.6,1216.0,1424.1,1119.1,1281.0,1292.7,1547.8,3418.9,3439.5,1470.9,1300.7,1449.7,3421.3,1119.1,1521.8,3422.5,3439.5,720.0,1345.8,878.0,564.2,1117.4,1690.0,3424.9,3429.8,796.0,937.3,1169.1,1493.0,1242.6,1086.8,1.0,0.0,18.0,9747.0,9786.0,-4087.0,-7808.0,22.0,-2.0,3.0,0.0,-14.0,9.0,9288.0,5713.0,-6248.0,-10511.0,10.0,8.0,6.0,1.0
2022-05-23 16:09:31.197386-07:00,1987.5,558.6,1216.0,1424.1,1118.2,1280.1,1289.1,1547.8,3428.6,3439.5,1470.9,1300.7,1441.5,3421.3,1116.5,1521.8,3422.5,3426.2,720.8,1346.7,878.0,564.2,1117.4,1707.2,3424.9,3429.8,804.4,955.1,1169.1,1493.0,1242.6,1079.9,4.0,2.0,6.0,9743.0,9790.0,-4091.0,-7806.0,14.0,1.0,-7.0,-1.0,-6.0,1.0,9290.0,5714.0,-6246.0,-10511.0,-5.0,6.0,5.0,1.0
2022-05-23 16:09:31.256980-07:00,1987.5,549.8,1209.7,1423.1,1118.2,1280.1,1289.1,1544.1,3428.6,3423.7,1467.2,1307.0,1441.5,3421.3,1116.5,1518.0,3409.3,3426.2,720.8,1346.7,871.3,565.8,1122.6,1707.2,3429.8,3429.8,804.4,955.1,1177.0,1477.3,1234.6,1079.9,-3.0,-2.0,-3.0,9739.0,9791.0,-4089.0,-7810.0,-8.0,-12.0,-12.0,-5.0,-10.0,4.0,9291.0,5713.0,-6244.0,-10512.0,-10.0,-3.0,-2.0,1.0
2022-05-23 16:09:31.317698-07:00,1982.6,553.8,1209.7,1423.1,1113.9,1279.2,1299.8,1544.1,3421.3,3422.5,1467.2,1307.0,1440.5,3431.0,1116.5,1518.0,3409.3,3429.8,715.9,1344.9,871.3,565.8,1118.2,1695.7,3429.8,3434.6,804.4,944.1,1177.0,1477.3,1232.8,1090.3,-9.0,0.0,9.0,9744.0,9783.0,-4087.0,-7816.0,-37.0,-7.0,2.0,-9.0,-15.0,10.0,9290.0,5708.0,-6241.0,-10516.0,-26.0,-16.0,3.0,1.0
2022-05-23 16:09:31.347285-07:00,1982.6,553.8,1210.6,1414.9,1113.9,1279.2,1296.3,1543.1,3421.3,3422.5,1464.4,1300.7,1440.5,3431.0,1111.2,1521.8,3426.2,3418.9,715.9,1344.9,884.8,569.8,1118.2,1695.7,3433.4,3434.6,804.4,944.1,1173.5,1473.6,1232.8,1090.3,-3.0,-3.0,18.0,9755.0,9769.0,-4079.0,-7824.0,-35.0,-14.0,-6.0,-5.0,-9.0,14.0,9292.0,5698.0,-6234.0,-10524.0,-16.0,-10.0,1.0,1.0
2022-05-23 16:09:31.407084-07:00,1987.5,548.2,1210.6,1414.9,1116.5,1287.3,1296.3,1543.1,3429.8,3418.9,1464.4,1300.7,1448.8,3434.6,1111.2,1521.8,3426.2,3418.9,720.8,1348.5,884.8,569.8,1123.5,1703.3,3433.4,3434.6,804.4,933.9,1173.5,1473.6,1239.1,1085.1,0.0,1.0,18.0,9763.0,9753.0,-4076.0,-7835.0,-45.0,-23.0,7.0,1.0,-10.0,10.0,9293.0,5689.0,-6231.0,-10531.0,-16.0,-18.0,3.0,1.0
2022-05-23 16:09:31.467049-07:00,1987.5,548.2,1201.8,1423.1,1116.5,1287.3,1293.6,1536.6,3429.8,3418.9,1468.1,1300.7,1448.8,3434.6,1120.9,1523.6,3418.9,3432.2,720.8,1348.5,867.9,562.6,1123.5,1703.3,3422.5,3433.4,804.4,933.9,1168.2,1470.0,1239.1,1085.1,0.0,-2.0,21.0,9777.0,9729.0,-4069.0,-7850.0,-50.0,-28.0,1.0,3.0,-10.0,9.0,9295.0,5676.0,-6226.0,-10539.0,-28.0,-12.0,3.0,1.0
2022-05-23 16:09:31.497295-07:00,1980.6,558.6,1201.8,1423.1,1109.5,1285.5,1293.6,1536.6,3429.8,3423.7,1468.1,1300.7,1443.3,3429.8,1120.9,1523.6,3418.9,3432.2,720.8,1352.1,867.9,562.6,1120.9,1693.8,3422.5,3433.4,803.5,939.0,1168.2,1470.0,1235.5,1072.9,0.0,-1.0,18.0,9785.0,9716.0,-4066.0,-7858.0,-8.0,-5.0,-6.0,0.0,-8.0,7.0,9299.0,5668.0,-6219.0,-10543.0,-13.0,2.0,6.0,1.0
2022-05-23 16:09:31.557100-07:00,1980.6,558.6,1205.3,1420.4,1109.5,1285.5,1291.8,1540.3,3429.8,3423.7,1468.1,1302.5,1443.3,3429.8,1117.4,1521.8,3418.9,3418.9,720.8,1352.1,877.2,562.6,1120.9,1693.8,3429.8,3427.4,803.5,939.0,1167.4,1475.5,1235.5,1072.9,-13.0,-1.0,2.0,9786.0,9716.0,-4062.0,-7859.0,2.0,-4.0,2.0,-12.0,-10.0,6.0,9300.0,5666.0,-6215.0,-10545.0,1.0,8.0,7.0,1.0
2022-05-23 16:09:31.617085-07:00,1980.6,548.2,1209.7,1420.4,1119.1,1279.2,1291.8,1540.3,3421.3,3431.0,1462.6,1302.5,1447.9,3424.9,1117.4,1521.8,3418.9,3418.9,725.8,1349.4,877.2,563.4,1120.9,1695.7,3429.8,3427.4,806.9,933.9,1167.4,1470.9,1238.2,1079.0,0.0,0.0,0.0,9791.0,9707.0,-4061.0,-7865.0,-57.0,-27.0,15.0,-6.0,-8.0,2.0,9301.0,5665.0,-6211.0,-10548.0,-14.0,-5.0,3.0,1.0
2022-05-23 16:09:31.647223-07:00,1980.6,548.2,1209.7,1423.1,1119.1,1285.5,1307.9,1551.5,3421.3,3431.0,1462.6,1303.4,1447.9,3416.5,1122.6,1519.0,3422.5,3426.2,717.5,1349.4,878.0,563.4,1120.9,1695.7,3429.8,3429.8,801.0,933.9,1171.8,1470.9,1238.2,1079.0,7.0,1.0,10.0,9805.0,9683.0,-4058.0,-7879.0,-57.0,-15.0,-9.0,-3.0,-16.0,8.0,9301.0,5654.0,-6209.0,-10555.0,-33.0,-24.0,0.0,1.0
2022-05-23 16:09:31.707210-07:00,1981.6,555.4,1204.4,1423.1,1114.7,1285.5,1307.9,1551.5,3429.8,3420.1,1474.6,1303.4,1439.6,3416.5,1122.6,1519.0,3422.5,3426.2,717.5,1352.1,878.0,568.2,1110.4,1695.7,3429.8,3429.8,801.0,938.1,1171.8,1480.1,1226.6,1084.2,-2.0,-2.0,21.0,9815.0,9666.0,-4053.0,-7889.0,-27.0,-11.0,8.0,2.0,-15.0,14.0,9302.0,5645.0,-6207.0,-10560.0,-8.0,-11.0,4.0,1.0
2022-05-23 16:09:31.767071-07:00,1981.6,555.4,1204.4,1426.8,1114.7,1283.7,1296.3,1539.4,3429.8,3420.1,1474.6,1307.0,1439.6,3434.6,1113.0,1518.0,3417.7,3416.5,717.5,1352.1,878.0,568.2,1110.4,1695.7,3428.6,3422.5,802.7,938.1,1173.5,1480.1,1226.6,1084.2,0.0,-2.0,24.0,9821.0,9657.0,-4049.0,-7895.0,21.0,2.0,0.0,3.0,-13.0,13.0,9302.0,5644.0,-6206.0,-10561.0,17.0,3.0,4.0,1.0
2022-05-23 16:09:31.797194-07:00,1982.6,553.8,1211.5,1426.8,1115.6,1283.7,1296.3,1539.4,3437.0,3429.8,1472.7,1307.0,1446.0,3434.6,1113.0,1518.0,3417.7,3416.5,717.5,1345.8,878.0,561.0,1120.9,1695.7,3428.6,3422.5,802.7,940.7,1173.5,1477.3,1239.1,1083.4,3.0,2.0,8.0,9817.0,9660.0,-4052.0,-7894.0,13.0,11.0,-1.0,-6.0,-8.0,4.0,9302.0,5647.0,-6207.0,-10559.0,12.0,4.0,5.0,1.0
2022-05-23 16:09:31.857749-07:00,1982.6,553.8,1211.5,1416.7,1116.5,1281.9,1287.3,1542.2,3437.0,3429.8,1472.7,1303.4,1436.0,3427.4,1122.6,1519.0,3428.6,3427.4,715.1,1339.5,876.4,561.0,1120.9,1695.7,3431.0,3429.8,798.5,939.8,1171.8,1477.3,1239.1,1083.4,0.0,-1.0,8.0,9817.0,9659.0,-4053.0,-7895.0,-5.0,-16.0,12.0,-3.0,-10.0,5.0,9302.0,5647.0,-6206.0,-10560.0,12.0,-1.0,0.0,1.0
2022-05-23 16:09:31.917170-07:00,1979.6,561.8,1211.5,1426.8,1116.5,1281.9,1287.3,1542.2,3429.8,3433.4,1470.9,1298.1,1436.0,3427.4,1122.6,1519.0,3428.6,3427.4,715.1,1339.5,875.5,564.2,1124.4,1698.6,3431.0,3429.8,798.5,939.8,1170.9,1476.4,1242.6,1081.6,-2.0,-2.0,11.0,9818.0,9653.0,-4058.0,-7899.0,-5.0,-28.0,-1.0,-1.0,-12.0,10.0,9301.0,5645.0,-6207.0,-10561.0,5.0,-13.0,-4.0,1.0
2022-05-23 16:09:31.947401-07:00,1979.6,561.8,1211.5,1426.8,1113.9,1281.9,1290.0,1544.1,3429.8,3433.4,1470.9,1298.1,1447.0,3423.7,1117.4,1525.5,3428.6,3423.7,718.4,1348.5,875.5,564.2,1124.4,1698.6,3435.8,3428.6,797.7,939.8,1170.9,1476.4,1242.6,1081.6,3.0,0.0,23.0,9817.0,9643.0,-4067.0,-7909.0,11.0,-19.0,11.0,0.0,-9.0,7.0,9299.0,5643.0,-6210.0,-10563.0,14.0,-3.0,0.0,1.0
2022-05-23 16:09:32.007066-07:00,1985.6,553.0,1208.0,1420.4,1113.9,1281.9,1290.0,1544.1,3431.0,3424.9,1471.8,1301.6,1447.0,3423.7,1117.4,1525.5,3428.6,3423.7,718.4,1348.5,886.5,568.2,1126.1,1691.9,3435.8,3428.6,797.7,939.8,1175.3,1475.5,1229.3,1079.0,-8.0,-2.0,5.0,9817.0,9640.0,-4069.0,-7910.0,-4.0,-8.0,6.0,-9.0,-11.0,8.0,9298.0,5644.0,-6209.0,-10563.0,6.0,-3.0,4.0,1.0
2022-05-23 16:09:32.127465-07:00,1985.6,553.0,1208.0,1420.4,1114.7,1287.3,1282.8,1545.0,3431.0,3424.9,1471.8,1301.6,1447.9,3426.2,1119.1,1521.8,3426.2,3417.7,715.9,1345.8,886.5,568.2,1126.1,1691.9,3433.4,3424.9,800.2,939.8,1175.3,1475.5,1229.3,1079.0,-2.0,0.0,6.0,9819.0,9636.0,-4068.0,-7913.0,-23.0,-16.0,2.0,-4.0,-9.0,9.0,9298.0,5642.0,-6208.0,-10565.0,-8.0,-11.0,4.0,1.0
2022-05-23 16:09:32.128823-07:00,1979.6,543.4,1205.3,1428.6,1114.7,1287.3,1282.8,1545.0,3417.7,3424.9,1477.3,1303.4,1447.9,3426.2,1119.1,1521.8,3426.2,3417.7,715.9,1345.8,873.0,565.8,1122.6,1699.5,3433.4,3424.9,800.2,939.8,1168.2,1473.6,1235.5,1079.9,3.0,0.0,20.0,9826.0,9623.0,-4066.0,-7922.0,-18.0,-14.0,2.0,9.0,-10.0,5.0,9298.0,5638.0,-6207.0,-10567.0,-2.0,-6.0,2.0,1.0
2022-05-23 16:09:32.156991-07:00,1980.6,543.4,1205.3,1428.6,1112.1,1273.0,1281.9,1539.4,3428.6,3424.9,1477.3,1303.4,1447.9,3427.4,1125.2,1516.2,3431.0,3411.7,720.8,1348.5,873.0,565.8,1122.6,1698.6,3426.2,3429.8,797.7,941.5,1168.2,1473.6,1235.5,1083.4,0.0,-1.0,10.0,9828.0,9616.0,-4067.0,-7927.0,-4.0,-12.0,3.0,0.0,-11.0,12.0,9299.0,5637.0,-6206.0,-10568.0,6.0,-2.0,2.0,1.0
2022-05-23 16:09:32.217142-07:00,1980.6,557.0,1207.1,1420.4,1112.1,1273.0,1281.9,1537.6,3428.6,3429.8,1476.4,1301.6,1447.9,3427.4,1125.2,1521.8,3428.6,3411.7,720.8,1348.5,877.2,566.6,1124.4,1698.6,3423.7,3429.8,797.7,941.5,1178.8,1474.6,1239.1,1083.4,-2.0,-2.0,14.0,9829.0,9613.0,-4067.0,-7929.0,-8.0,5.0,-6.0,-3.0,-13.0,10.0,9299.0,5636.0,-6204.0,-10569.0,3.0,-8.0,0.0,1.0
2022-05-23 16:09:32.247220-07:00,1994.5,557.0,1207.1,1420.4,1116.5,1281.0,1291.8,1537.6,3429.8,3429.8,1476.4,1301.6,1456.2,3429.8,1118.2,1521.8,3428.6,3429.8,715.1,1348.5,877.2,566.6,1124.4,1699.5,3423.7,3431.0,802.7,943.2,1178.8,1474.6,1239.1,1077.3,-7.0,3.0,11.0,9836.0,9606.0,-4061.0,-7931.0,-45.0,12.0,11.0,-4.0,-5.0,7.0,9299.0,5636.0,-6203.0,-10570.0,-4.0,-7.0,9.0,1.0
2022-05-23 16:09:32.306951-07:00,1994.5,546.6,1199.1,1418.6,1116.5,1281.0,1291.8,1543.1,3429.8,3423.7,1494.9,1308.8,1456.2,3429.8,1118.2,1523.6,3415.3,3429.8,715.1,1348.5,872.1,568.2,1134.0,1699.5,3424.9,3431.0,802.7,943.2,1169.1,1485.6,1239.1,1077.3,-5.0,-5.0,11.0,9847.0,9600.0,-4049.0,-7933.0,-5.0,18.0,-7.0,-1.0,-17.0,11.0,9302.0,5632.0,-6199.0,-10572.0,1.0,1.0,-2.0,1.0
2022-05-23 16:09:32.367120-07:00,1984.6,546.6,1199.1,1418.6,1117.4,1284.6,1283.7,1543.1,3424.9,3423.7,1494.9,1308.8,1446.0,3424.9,1132.2,1523.6,3415.3,3424.9,717.5,1347.6,872.1,568.2,1134.0,1693.8,3424.9,3418.9,805.2,939.8,1169.1,1485.6,1239.1,1084.2,2.0,4.0,9.0,9848.0,9597.0,-4048.0,-7934.0,-27.0,-20.0,-2.0,0.0,-9.0,7.0,9303.0,5631.0,-6197.0,-10573.0,-5.0,-9.0,0.0,1.0
2022-05-23 16:09:32.397393-07:00,1984.6,547.4,1207.1,1431.4,1117.4,1284.6,1290.0,1534.8,3424.9,3427.4,1502.3,1305.2,1446.0,3424.9,1136.6,1521.8,3422.5,3424.9,717.5,1347.6,871.3,562.6,1131.4,1693.8,3431.0,3432.2,805.2,939.8,1191.2,1478.3,1239.1,1084.2,-2.0,-4.0,20.0,9855.0,9584.0,-4046.0,-7943.0,-19.0,-15.0,-8.0,-1.0,-12.0,10.0,9303.0,5623.0,-6197.0,-10577.0,-3.0,-11.0,8.0,1.0
2022-05-23 16:09:32.487110-07:00,1975.6,549.0,1207.1,1431.4,1116.5,1282.8,1290.0,1534.8,3414.1,3426.2,1502.3,1305.2,1440.5,3428.6,1136.6,1521.8,3422.5,3424.9,719.2,1347.6,871.3,562.6,1132.2,1692.9,3431.0,3432.2,800.2,937.3,1191.2,1478.3,1235.5,1079.0,-2.0,0.0,9.0,9856.0,9582.0,-4045.0,-7945.0,4.0,1.0,9.0,-1.0,-9.0,10.0,9303.0,5623.0,-6195.0,-10578.0,6.0,-8.0,8.0,1.0
2022-05-23 16:09:32.517084-07:00,1975.6,549.0,1202.7,1417.6,1116.5,1282.8,1281.9,1536.6,3414.1,3426.2,1494.0,1304.3,1440.5,3428.6,1140.1,1518.0,3424.9,3418.9,719.2,1347.6,873.0,564.2,1132.2,1692.9,3426.2,3424.9,800.2,937.3,1173.5,1475.5,1235.5,1079.0,0.0,0.0,10.0,9859.0,9577.0,-4044.0,-7948.0,-19.0,-15.0,3.0,0.0,-14.0,7.0,9304.0,5621.0,-6194.0,-10579.0,-2.0,-5.0,0.0,1.0
2022-05-23 16:09:32.547101-07:00,1967.7,552.2,1202.7,1417.6,1109.5,1281.0,1281.9,1536.6,3429.8,3424.9,1494.0,1304.3,1442.4,3433.4,1140.1,1518.0,3424.9,3418.9,721.6,1346.7,873.0,564.2,1134.0,1690.0,3426.2,3424.9,801.0,936.4,1173.5,1475.5,1236.4,1075.6,0.0,0.0,14.0,9861.0,9571.0,-4044.0,-7952.0,-2.0,5.0,-5.0,-1.0,-13.0,9.0,9304.0,5621.0,-6192.0,-10580.0,3.0,1.0,2.0,1.0
2022-05-23 16:09:32.637099-07:00,1967.7,552.2,1208.0,1419.5,1109.5,1281.0,1284.6,1547.8,3429.8,3424.9,1493.0,1303.4,1442.4,3433.4,1135.7,1529.2,3424.9,3431.0,721.6,1346.7,874.7,562.6,1134.0,1690.0,3421.3,3429.8,801.0,936.4,1168.2,1476.4,1236.4,1075.6,-1.0,-3.0,12.0,9860.0,9573.0,-4044.0,-7951.0,20.0,12.0,2.0,0.0,-12.0,11.0,9303.0,5622.0,-6194.0,-10579.0,16.0,2.0,4.0,1.0
