Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-23 16:15:24.448596-07:00,2956.4,743.9,1122.6,1319.6,1124.4,1246.2,1406.7,1708.1,3420.1,3437.0,1492.1,1319.6,1691.9,3418.9,1077.3,1486.6,3422.5,3427.4,758.7,1328.7,888.2,590.7,1197.4,1864.5,3432.2,3427.4,750.5,1045.2,1325.0,1447.9,1181.5,1160.3,-55.0,58.0,24.0,6615.0,9338.0,-8662.0,-7902.0,-77.0,-122.0,-183.0,-40.0,18.0,48.0,9606.0,8079.0,-6834.0,-8012.0,-134.0,-29.0,-81.0,1.0
2022-05-23 16:15:24.450358-07:00,2915.6,740.6,1120.0,1314.2,1124.4,1246.2,1406.7,1708.1,3418.9,3429.8,1487.5,1316.9,1691.9,3418.9,1077.3,1486.6,3422.5,3427.4,758.7,1328.7,885.6,590.7,1187.6,1842.0,3432.2,3427.4,750.5,1045.2,1332.3,1446.0,1174.4,1162.1,-10.0,25.0,50.0,6509.0,9360.0,-8611.0,-8020.0,63.0,-231.0,-400.0,-13.0,1.0,33.0,9622.0,8061.0,-6760.0,-8073.0,-89.0,60.0,-145.0,1.0
2022-05-23 16:15:24.508081-07:00,2915.6,740.6,1120.0,1314.2,1120.9,1242.6,1400.3,1714.8,3418.9,3429.8,1487.5,1316.9,1695.7,3427.4,1078.2,1489.3,3429.8,3429.8,754.6,1328.7,885.6,590.7,1187.6,1842.0,3418.9,3434.6,752.1,1042.6,1332.3,1446.0,1174.4,1162.1,-11.0,6.0,23.0,6353.0,9480.0,-8560.0,-8058.0,454.0,-79.0,-548.0,32.0,23.0,47.0,9588.0,8141.0,-6705.0,-8080.0,173.0,167.0,-212.0,1.0
2022-05-23 16:15:24.568540-07:00,2866.0,734.8,1118.2,1314.2,1120.9,1242.6,1400.3,1714.8,3423.7,3431.0,1477.3,1318.7,1695.7,3427.4,1078.2,1489.3,3429.8,3429.8,754.6,1328.7,892.4,597.1,1177.9,1842.0,3418.9,3434.6,752.1,1042.6,1325.0,1440.5,1176.2,1155.0,56.0,5.0,15.0,6104.0,9616.0,-8568.0,-8080.0,332.0,-171.0,-392.0,22.0,14.0,-30.0,9531.0,8254.0,-6657.0,-8072.0,135.0,114.0,-217.0,1.0
2022-05-23 16:15:24.598984-07:00,2844.8,734.8,1118.2,1314.2,1113.9,1238.2,1401.2,1699.5,3426.2,3431.0,1477.3,1318.7,1690.0,3432.2,1079.9,1481.0,3434.6,3431.0,757.9,1334.1,892.4,597.1,1177.9,1842.0,3438.2,3435.8,752.1,1034.9,1325.0,1440.5,1176.2,1155.9,35.0,-37.0,0.0,5930.0,9689.0,-8570.0,-8121.0,92.0,-240.0,-164.0,22.0,-2.0,-30.0,9482.0,8315.0,-6620.0,-8097.0,3.0,-4.0,-180.0,1.0
2022-05-23 16:15:24.689105-07:00,2844.8,735.6,1118.2,1318.7,1113.9,1238.2,1401.2,1711.0,3426.2,3426.2,1482.9,1315.1,1690.0,3432.2,1079.9,1481.0,3423.7,3431.0,757.9,1334.1,884.8,597.1,1176.2,1842.0,3428.6,3435.8,752.1,1034.9,1331.4,1448.8,1177.0,1155.9,1.0,-63.0,42.0,5886.0,9670.0,-8554.0,-8192.0,-165.0,-42.0,-35.0,8.0,-34.0,9.0,9464.0,8301.0,-6595.0,-8154.0,-115.0,-77.0,-87.0,1.0
2022-05-23 16:15:24.748497-07:00,2833.6,735.6,1118.2,1318.7,1116.5,1239.1,1403.0,1711.0,3429.8,3426.2,1482.9,1315.1,1689.1,3428.6,1079.9,1481.0,3423.7,3424.9,752.9,1324.1,884.8,597.1,1176.2,1837.2,3428.6,3428.6,743.0,1034.9,1331.4,1448.8,1177.0,1159.4,-17.0,-21.0,38.0,5885.0,9637.0,-8564.0,-8221.0,32.0,-118.0,84.0,-8.0,-12.0,25.0,9445.0,8298.0,-6592.0,-8181.0,26.0,-31.0,-45.0,1.0
2022-05-23 16:15:24.749837-07:00,2833.6,728.2,1114.7,1316.9,1116.5,1239.1,1403.0,1687.2,3429.8,3427.4,1473.6,1311.5,1689.1,3428.6,1079.9,1471.8,3422.5,3424.9,752.9,1324.1,879.7,593.1,1173.5,1837.2,3424.9,3428.6,743.0,1034.9,1330.5,1442.4,1174.4,1159.4,7.0,0.0,46.0,5879.0,9608.0,-8597.0,-8225.0,-67.0,58.0,49.0,-8.0,8.0,8.0,9434.0,8306.0,-6587.0,-8189.0,2.0,3.0,-18.0,1.0
2022-05-23 16:15:24.838073-07:00,2825.8,728.2,1114.7,1316.9,1111.2,1233.7,1393.0,1687.2,3434.6,3427.4,1473.6,1311.5,1679.5,3431.0,1076.4,1471.8,3422.5,3431.0,756.3,1322.3,879.7,593.1,1173.5,1835.2,3424.9,3437.0,734.8,1040.9,1330.5,1442.4,1174.4,1154.2,1.0,-24.0,25.0,5931.0,9586.0,-8597.0,-8213.0,5.0,-11.0,139.0,3.0,-26.0,18.0,9432.0,8309.0,-6590.0,-8187.0,24.0,-1.0,15.0,1.0
2022-05-23 16:15:24.868461-07:00,2825.8,735.6,1107.8,1318.7,1111.2,1233.7,1384.8,1692.9,3434.6,3429.8,1472.7,1310.6,1679.5,3431.0,1073.8,1475.5,3428.6,3427.4,756.3,1322.3,882.3,595.5,1170.0,1835.2,3437.0,3428.6,734.8,1040.9,1348.5,1447.0,1167.4,1154.2,9.0,9.0,33.0,5949.0,9549.0,-8631.0,-8208.0,-48.0,-56.0,74.0,9.0,9.0,15.0,9442.0,8293.0,-6595.0,-8187.0,-46.0,-25.0,33.0,1.0
