Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-23 16:20:55.696247-07:00,2015.4,562.6,1137.5,1369.4,998.7,1191.2,1176.2,1403.0,3426.2,3422.5,1485.6,1335.9,0.0,3427.4,1089.5,1529.2,3424.9,3429.8,798.5,1321.4,887.3,561.8,1196.5,1896.7,3423.7,3424.9,829.4,996.2,1274.7,1534.8,1251.5,1124.4,-1.0,4.0,-9.0,6893.0,9768.0,-8863.0,-6852.0,5.0,16.0,-2.0,1.0,8.0,-13.0,9089.0,8682.0,-6996.0,-7842.0,-3.0,15.0,-10.0,1.0
2022-05-23 16:20:55.755848-07:00,2015.4,565.0,1131.4,1373.9,998.7,1191.2,1176.2,1396.7,3426.2,3424.9,1481.0,1334.1,0.0,3427.4,1085.1,1537.6,3418.9,3418.9,798.5,1321.4,884.8,559.4,1193.8,1896.7,3432.2,3426.2,829.4,996.2,1262.2,1527.3,1246.2,1124.4,0.0,-8.0,0.0,6889.0,9768.0,-8863.0,-6857.0,-1.0,-24.0,-6.0,4.0,3.0,-11.0,9090.0,8681.0,-6990.0,-7848.0,-14.0,0.0,-15.0,1.0
2022-05-23 16:20:55.785990-07:00,2019.4,557.0,1131.4,1373.9,990.2,1183.2,1176.2,1396.7,3432.2,3424.9,1481.0,1334.1,0.0,3426.2,1085.1,1537.6,3418.9,3418.9,793.5,1316.9,884.8,559.4,1194.7,1900.7,3432.2,3426.2,825.2,979.9,1262.2,1527.3,1241.7,1122.6,-8.0,0.0,4.0,6884.0,9765.0,-8866.0,-6861.0,-11.0,-22.0,1.0,0.0,6.0,-3.0,9088.0,8679.0,-6990.0,-7852.0,-13.0,-13.0,-5.0,1.0
2022-05-23 16:20:55.846122-07:00,2019.4,557.0,1128.7,1374.8,990.2,1183.2,1168.2,1402.1,3432.2,3424.9,1476.4,1335.0,0.0,3426.2,1079.9,1540.3,3428.6,3426.2,793.5,1316.9,884.8,561.0,1194.7,1900.7,3422.5,3433.4,825.2,979.9,1267.6,1529.2,1241.7,1122.6,-6.0,-2.0,14.0,6884.0,9759.0,-8867.0,-6869.0,-5.0,-17.0,4.0,6.0,4.0,1.0,9092.0,8674.0,-6987.0,-7856.0,-11.0,-8.0,-4.0,1.0
2022-05-23 16:20:55.936583-07:00,2014.4,567.4,1128.7,1374.8,997.9,1188.5,1168.2,1402.1,3420.1,3422.5,1476.4,1335.0,0.0,3428.6,1079.9,1540.3,3428.6,3426.2,794.4,1317.8,884.8,561.0,1197.4,1895.8,3422.5,3433.4,826.9,970.5,1267.6,1529.2,1248.0,1133.1,1.0,8.0,17.0,6883.0,9760.0,-8868.0,-6868.0,10.0,22.0,-8.0,10.0,6.0,0.0,9092.0,8674.0,-6987.0,-7856.0,3.0,5.0,-2.0,1.0
2022-05-23 16:20:55.937827-07:00,2014.4,567.4,1128.7,1376.6,997.9,1188.5,1175.3,1409.4,3420.1,3422.5,1477.3,1339.5,0.0,3428.6,1087.7,1531.0,3418.9,3422.5,794.4,1317.8,889.0,561.0,1197.4,1895.8,3423.7,3431.0,826.9,970.5,1259.6,1525.5,1248.0,1133.1,-3.0,11.0,4.0,6883.0,9764.0,-8863.0,-6867.0,-3.0,4.0,-12.0,9.0,11.0,-1.0,9092.0,8677.0,-6984.0,-7855.0,-8.0,11.0,-13.0,1.0
2022-05-23 16:20:55.996099-07:00,2018.4,564.2,1128.7,1376.6,995.3,1183.2,1175.3,1409.4,3423.7,3427.4,1477.3,1339.5,0.0,3428.6,1087.7,1531.0,3418.9,3422.5,785.2,1319.6,889.0,561.0,1192.9,1898.7,3423.7,3431.0,821.9,985.9,1259.6,1525.5,1246.2,1121.7,-9.0,-2.0,10.0,6881.0,9772.0,-8855.0,-6869.0,5.0,19.0,-27.0,2.0,7.0,0.0,9092.0,8681.0,-6975.0,-7858.0,-9.0,12.0,-18.0,1.0
2022-05-23 16:20:56.056004-07:00,2018.4,564.2,1130.5,1378.5,995.3,1191.2,1163.0,1392.1,3423.7,3427.4,1475.5,1343.1,0.0,3418.9,1084.2,1534.8,3423.7,3421.3,795.2,1319.6,887.3,559.4,1192.9,1898.7,3427.4,3432.2,833.6,985.9,1268.5,1529.2,1246.2,1121.7,-7.0,-4.0,8.0,6879.0,9781.0,-8848.0,-6868.0,3.0,14.0,-18.0,5.0,3.0,1.0,9093.0,8688.0,-6967.0,-7857.0,-3.0,21.0,-13.0,1.0
2022-05-23 16:20:56.086029-07:00,2019.4,563.4,1133.1,1378.5,990.2,1191.2,1163.0,1392.1,3428.6,3422.5,1475.5,1343.1,0.0,3418.9,1084.2,1534.8,3423.7,3421.3,795.2,1316.9,887.3,560.2,1193.8,1892.8,3427.4,3432.2,833.6,973.1,1268.5,1525.5,1248.8,1119.1,-7.0,-4.0,6.0,6878.0,9787.0,-8843.0,-6867.0,10.0,20.0,-17.0,1.0,4.0,-2.0,9094.0,8693.0,-6961.0,-7856.0,2.0,11.0,-10.0,1.0
2022-05-23 16:20:56.146448-07:00,2019.4,563.4,1133.1,1374.8,990.2,1186.7,1171.8,1393.0,3428.6,3422.5,1475.5,1339.5,0.0,3423.7,1083.4,1541.3,3423.7,3421.3,790.2,1316.9,885.6,560.2,1193.8,1892.8,3417.7,3421.3,821.0,973.1,1259.6,1525.5,1248.8,1119.1,2.0,2.0,10.0,6875.0,9791.0,-8841.0,-6866.0,0.0,10.0,-14.0,6.0,11.0,-8.0,9094.0,8698.0,-6955.0,-7856.0,-9.0,11.0,-12.0,1.0
