Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-23 16:20:55.643782-07:00,1118.2,761.2,968.8,907.6,987.6,914.4,1638.8,1296.3,3464.9,3472.2,1074.7,868.8,1650.2,3463.7,1165.6,1163.8,3471.0,3475.9,1564.6,2049.4,2519.7,3373.2,1551.5,3486.8,3478.3,3483.2,674.2,725.8,1890.9,962.8,895.7,921.1,0.0,16.0,12.0,9775.0,-11094.0,6263.0,-3252.0,4.0,-53.0,-42.0,7.0,-3.0,3.0,10066.0,-12686.0,2054.0,-1402.0,-11.0,-8.0,-8.0,1.0
2022-05-23 16:20:55.734219-07:00,1118.2,761.2,968.8,907.6,985.0,911.8,1636.0,1293.6,3464.9,3472.2,1074.7,868.8,1644.5,3468.6,1169.1,1172.6,3472.2,3469.8,1559.0,2040.4,2519.7,3373.2,1551.5,3486.8,3471.0,3473.4,661.9,729.9,1890.9,962.8,895.7,921.1,-5.0,8.0,11.0,9783.0,-11100.0,6242.0,-3250.0,14.0,-35.0,-16.0,6.0,-6.0,8.0,10067.0,-12685.0,2052.0,-1400.0,12.0,-10.0,-5.0,1.0
2022-05-23 16:20:55.735870-07:00,1120.9,752.1,979.0,898.3,985.0,911.8,1636.0,1314.2,3462.5,3464.9,1075.6,873.8,1644.5,3468.6,1169.1,1177.9,3466.1,3469.8,1559.0,2040.4,2529.3,3375.6,1559.9,3488.0,3477.1,3473.4,661.9,729.9,1881.1,986.7,894.9,933.9,-2.0,10.0,19.0,9789.0,-11103.0,6232.0,-3243.0,-18.0,-11.0,-9.0,8.0,-11.0,4.0,10067.0,-12685.0,2052.0,-1400.0,-16.0,1.0,8.0,1.0
2022-05-23 16:20:55.793449-07:00,1116.5,752.1,979.0,898.3,991.9,905.0,1649.2,1314.2,3469.8,3464.9,1075.6,873.8,1641.6,3466.1,1161.2,1177.9,3466.1,3468.6,1556.2,2038.4,2529.3,3375.6,1559.9,3486.8,3477.1,3477.1,666.0,733.2,1881.1,986.7,894.9,918.6,-5.0,13.0,15.0,9786.0,-11106.0,6232.0,-3241.0,-21.0,17.0,-3.0,3.0,-7.0,6.0,10060.0,-12691.0,2055.0,-1400.0,-16.0,16.0,9.0,1.0
2022-05-23 16:20:55.853883-07:00,1116.5,760.4,979.0,905.9,991.9,905.0,1649.2,1292.7,3469.8,3467.4,1079.0,873.8,1641.6,3466.1,1161.2,1175.3,3469.8,3468.6,1556.2,2038.4,2517.5,3378.0,1556.2,3486.8,3473.4,3477.1,666.0,733.2,1878.1,960.2,896.6,918.6,-3.0,14.0,9.0,9778.0,-11109.0,6238.0,-3241.0,-11.0,3.0,-2.0,3.0,-8.0,3.0,10054.0,-12694.0,2062.0,-1400.0,-12.0,14.0,14.0,1.0
2022-05-23 16:20:55.883785-07:00,1114.7,760.4,979.0,905.9,985.9,912.7,1639.8,1292.7,3469.8,3467.4,1079.0,873.8,1641.6,3468.6,1163.0,1175.3,3469.8,3478.3,1556.2,2032.4,2517.5,3378.0,1556.2,3481.9,3473.4,3472.2,659.5,725.8,1878.1,960.2,896.6,923.7,3.0,20.0,3.0,9776.0,-11111.0,6238.0,-3240.0,-20.0,0.0,-15.0,7.0,0.0,0.0,10049.0,-12697.0,2068.0,-1400.0,-22.0,6.0,5.0,1.0
2022-05-23 16:20:55.944062-07:00,1114.7,757.1,977.3,897.4,985.9,912.7,1639.8,1307.9,3469.8,3466.1,1077.3,872.1,1641.6,3468.6,1163.0,1173.5,3474.6,3478.3,1556.2,2032.4,2510.1,3378.0,1549.7,3481.9,3471.0,3472.2,659.5,725.8,1880.1,967.9,895.7,923.7,0.0,7.0,8.0,9773.0,-11117.0,6232.0,-3240.0,4.0,-13.0,-5.0,5.0,-7.0,0.0,10047.0,-12699.0,2069.0,-1400.0,8.0,0.0,8.0,1.0
2022-05-23 16:20:56.033496-07:00,1118.2,748.0,977.3,897.4,973.1,917.7,1651.1,1307.9,3471.0,3468.6,1077.3,872.1,1646.4,3466.1,1164.7,1173.5,3474.6,3468.6,1563.7,2024.4,2510.1,3378.0,1559.9,3491.7,3471.0,3475.9,659.5,732.3,1880.1,967.9,894.1,925.4,-6.0,14.0,10.0,9775.0,-11118.0,6229.0,-3235.0,-4.0,-16.0,-3.0,2.0,-7.0,5.0,10047.0,-12698.0,2072.0,-1397.0,-5.0,-2.0,11.0,1.0
2022-05-23 16:20:56.035242-07:00,1118.2,748.0,977.3,901.7,973.1,917.7,1639.8,1314.2,3471.0,3468.6,1071.2,873.0,1646.4,3466.1,1163.0,1174.4,3469.8,3474.6,1563.7,2024.4,2528.3,3354.0,1559.9,3491.7,3469.8,3472.2,659.5,732.3,1873.2,963.7,894.1,925.4,-4.0,27.0,15.0,9780.0,-11120.0,6222.0,-3227.0,-5.0,-34.0,-19.0,2.0,0.0,10.0,10048.0,-12698.0,2074.0,-1395.0,-3.0,4.0,3.0,1.0
2022-05-23 16:20:56.093473-07:00,1121.7,756.3,977.3,901.7,979.0,906.7,1639.8,1314.2,3460.1,3469.8,1071.2,873.0,1643.5,3463.7,1163.0,1174.4,3469.8,3474.6,1559.9,2036.4,2528.3,3354.0,1550.6,3477.1,3469.8,3472.2,661.1,724.9,1873.2,963.7,896.6,917.7,-13.0,13.0,16.0,9787.0,-11126.0,6203.0,-3221.0,-11.0,-72.0,-28.0,3.0,-3.0,9.0,10044.0,-12700.0,2075.0,-1395.0,-12.0,8.0,-6.0,1.0
