Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-23 16:22:35.144490-07:00,2166.7,686.4,1172.6,1387.5,1021.9,1256.0,1441.5,1660.6,3434.6,3428.6,1649.2,1393.0,0.0,3434.6,1194.7,1578.6,3424.9,3418.9,731.5,1369.4,913.5,550.6,1185.0,1921.3,3423.7,3423.7,1017.6,957.7,1477.3,1474.6,1227.5,1033.2,6.0,28.0,32.0,5780.0,10192.0,-8225.0,-7969.0,-71.0,-13.0,78.0,-10.0,11.0,33.0,8191.0,9209.0,-5402.0,-9346.0,-5.0,-17.0,3.0,1.0
2022-05-23 16:22:35.187111-07:00,2154.4,684.0,1172.6,1387.5,1026.3,1245.3,1440.5,1660.6,3428.6,3429.8,1649.2,1393.0,0.0,3431.0,1192.0,1578.6,3424.9,3416.5,729.9,1367.6,913.5,550.6,1186.7,1911.5,3423.7,3429.8,1017.6,962.0,1477.3,1474.6,1230.2,1029.7,9.0,-8.0,17.0,5832.0,10157.0,-8220.0,-7982.0,-53.0,31.0,32.0,-6.0,-23.0,25.0,8198.0,9198.0,-5393.0,-9357.0,-10.0,-11.0,-7.0,1.0
2022-05-23 16:22:35.234385-07:00,2154.4,684.0,1182.3,1390.3,1026.3,1245.3,1431.4,1660.6,3428.6,3429.8,1666.3,1388.5,0.0,3431.0,1189.4,1576.8,3431.0,3414.1,729.9,1367.6,914.4,550.6,1186.7,1911.5,3433.4,3421.3,1017.6,962.0,1473.6,1476.4,1230.2,1029.7,10.0,-16.0,13.0,5836.0,10157.0,-8216.0,-7982.0,8.0,-7.0,-17.0,-5.0,-17.0,21.0,8198.0,9191.0,-5389.0,-9365.0,-5.0,-13.0,15.0,1.0
2022-05-23 16:22:35.294275-07:00,2146.3,681.5,1182.3,1390.3,1025.4,1247.1,1431.4,1660.6,3418.9,3432.2,1666.3,1388.5,0.0,3428.6,1189.4,1576.8,3431.0,3414.1,727.4,1368.5,914.4,550.6,1194.7,1905.6,3433.4,3421.3,1021.9,956.0,1473.6,1476.4,1239.1,1024.5,15.0,-43.0,18.0,5838.0,10150.0,-8220.0,-7985.0,20.0,-17.0,39.0,0.0,-44.0,14.0,8209.0,9180.0,-5392.0,-9365.0,7.0,-8.0,55.0,1.0
2022-05-23 16:22:35.327358-07:00,2146.3,681.5,1172.6,1386.6,1025.4,1247.1,1443.3,1673.8,3418.9,3432.2,1691.0,1398.5,0.0,3428.6,1187.6,1574.9,3423.7,3431.0,727.4,1368.5,911.8,549.0,1194.7,1905.6,3429.8,3429.8,1021.9,956.0,1478.3,1477.3,1239.1,1024.5,35.0,42.0,22.0,5780.0,10182.0,-8238.0,-7968.0,254.0,8.0,-223.0,3.0,40.0,8.0,8200.0,9189.0,-5428.0,-9343.0,97.0,2.0,34.0,1.0
2022-05-23 16:22:35.354995-07:00,2149.3,684.8,1172.6,1386.6,1021.1,1248.8,1443.3,1673.8,3428.6,3427.4,1691.0,1398.5,0.0,3418.9,1187.6,1574.9,3423.7,3431.0,724.1,1366.6,911.8,549.0,1210.6,1921.3,3429.8,3429.8,1015.9,961.1,1478.3,1477.3,1239.1,1036.6,-1.0,19.0,12.0,5728.0,10240.0,-8205.0,-7965.0,-107.0,4.0,-21.0,-4.0,45.0,42.0,8211.0,9182.0,-5433.0,-9337.0,-70.0,-3.0,36.0,1.0
2022-05-23 16:22:35.504261-07:00,2149.3,684.8,1176.2,1376.6,1021.1,1248.8,1452.5,1706.2,3428.6,3427.4,1714.8,1395.7,0.0,3418.9,1182.3,1573.0,3418.9,3434.6,724.1,1366.6,912.7,551.4,1210.6,1921.3,3429.8,3423.7,1015.9,961.1,1479.2,1476.4,1239.1,1036.6,3.0,14.0,30.0,5787.0,10194.0,-8200.0,-7987.0,-193.0,-53.0,206.0,-4.0,0.0,49.0,8236.0,9152.0,-5427.0,-9349.0,-63.0,-28.0,31.0,1.0
2022-05-23 16:22:35.535053-07:00,2143.3,684.0,1182.3,1376.6,1029.7,1250.6,1452.5,1706.2,3418.9,3428.6,1697.6,1395.7,0.0,3431.0,1182.3,1573.0,3418.9,3434.6,724.9,1365.7,912.7,549.8,1201.8,1910.5,3429.8,3423.7,1010.8,956.8,1479.2,1473.6,1239.1,1028.8,19.0,63.0,25.0,5877.0,10111.0,-8213.0,-8012.0,-265.0,30.0,148.0,-10.0,50.0,32.0,8248.0,9130.0,-5419.0,-9364.0,-90.0,-32.0,-16.0,1.0
2022-05-23 16:22:35.535717-07:00,2143.3,684.0,1182.3,1382.1,1029.7,1245.3,1485.6,1718.6,3418.9,3428.6,1697.6,1397.6,0.0,3423.7,1185.9,1570.2,3434.6,3424.9,727.4,1365.7,912.7,549.8,1201.8,1910.5,3423.7,3428.6,1009.9,956.8,1478.3,1473.6,1239.1,1028.8,-36.0,120.0,-29.0,6039.0,10019.0,-8152.0,-8071.0,-701.0,44.0,156.0,-41.0,73.0,48.0,8298.0,9060.0,-5346.0,-9430.0,-491.0,-54.0,-66.0,1.0
2022-05-23 16:22:35.594430-07:00,2141.2,683.1,1198.2,1382.1,1020.2,1245.3,1485.6,1718.6,3432.2,3423.7,1754.1,1397.6,0.0,3423.7,1185.9,1570.2,3434.6,3424.9,727.4,1367.6,912.7,551.4,1216.0,1915.4,3423.7,3428.6,1009.9,965.4,1478.3,1484.7,1253.3,1029.7,-97.0,228.0,-55.0,6355.0,9779.0,-7922.0,-8347.0,-1982.0,-172.0,113.0,-138.0,238.0,59.0,8485.0,8834.0,-5086.0,-9619.0,-1347.0,-166.0,-170.0,1.0
2022-05-23 16:22:35.595786-07:00,2141.2,683.1,1198.2,1388.5,1020.2,1260.4,1628.4,1863.5,3432.2,3423.7,1754.1,1402.1,0.0,3429.8,1222.2,1584.2,3424.9,3434.6,726.6,1367.6,910.1,551.4,1216.0,1915.4,3434.6,3424.9,1023.7,965.4,1470.0,1484.7,1253.3,1029.7,-118.0,135.0,-139.0,7030.0,9212.0,-7429.0,-8886.0,-3204.0,-343.0,326.0,-94.0,97.0,101.0,8831.0,8332.0,-4627.0,-9981.0,-2398.0,-395.0,-148.0,1.0
2022-05-23 16:22:35.685029-07:00,2156.5,682.3,1251.5,1388.5,1026.3,1260.4,1628.4,1863.5,3428.6,3429.8,1787.8,1402.1,0.0,3429.8,1222.2,1584.2,3424.9,3434.6,726.6,1371.2,910.1,545.8,1239.1,1903.6,3434.6,3424.9,1023.7,968.8,1470.0,1504.1,1287.3,1022.8,-57.0,283.0,-146.0,7814.0,8237.0,-6717.0,-9717.0,-4386.0,-876.0,235.0,-116.0,188.0,41.0,9435.0,7449.0,-3783.0,-10470.0,-3900.0,-401.0,-241.0,1.0
2022-05-23 16:22:35.715096-07:00,2156.5,682.3,1251.5,1404.0,1025.4,1273.0,1618.1,1839.1,3428.6,3429.8,1787.8,1407.6,0.0,3424.9,1209.7,1577.7,3426.2,3417.7,723.3,1381.2,921.1,545.8,1239.1,1903.6,3434.6,3422.5,1006.5,973.1,1473.6,1504.1,1287.3,1022.8,35.0,-11.0,-115.0,8672.0,6785.0,-5570.0,-10779.0,-5326.0,-1296.0,-171.0,-12.0,30.0,-81.0,10069.0,6191.0,-2661.0,-11030.0,-4367.0,-706.0,-406.0,1.0
2022-05-23 16:22:35.774430-07:00,2127.0,671.7,1257.8,1403.0,1025.4,1273.0,1618.1,1839.1,3433.4,3428.6,1758.9,1402.1,0.0,3424.9,1209.7,1577.7,3426.2,3417.7,723.3,1381.2,945.8,552.2,1231.9,1918.3,3434.6,3422.5,1006.5,973.1,1480.1,1492.1,1279.2,1028.8,44.0,-134.0,-93.0,9186.0,5373.0,-4377.0,-11663.0,-4120.0,-891.0,-352.0,-10.0,-34.0,-114.0,10471.0,4908.0,-1556.0,-11502.0,-3709.0,-606.0,-590.0,1.0
2022-05-23 16:22:35.804407-07:00,2127.0,671.7,1257.8,1403.0,1021.9,1292.7,1602.1,1780.1,3433.4,3428.6,1758.9,1402.1,0.0,3432.2,1207.1,1573.9,3422.5,3429.8,723.3,1373.0,945.8,552.2,1231.9,1918.3,3431.0,3427.4,995.3,980.7,1480.1,1492.1,1279.2,1028.8,-11.0,0.0,-208.0,9467.0,4262.0,-3489.0,-12185.0,-3281.0,-1055.0,-176.0,-35.0,12.0,-98.0,10627.0,3818.0,-622.0,-11855.0,-3163.0,-621.0,-773.0,1.0
2022-05-23 16:22:35.894539-07:00,2146.3,668.4,1278.3,1407.6,1021.9,1292.7,1602.1,1780.1,3431.0,3431.0,1782.0,1408.5,0.0,3432.2,1207.1,1573.9,3422.5,3429.8,723.3,1373.0,953.4,551.4,1231.9,1911.5,3431.0,3427.4,995.3,980.7,1470.0,1514.3,1307.9,1020.2,21.0,-130.0,-241.0,9635.0,3048.0,-2623.0,-12626.0,-3494.0,-1051.0,-225.0,19.0,-9.0,-178.0,10649.0,2674.0,273.0,-12158.0,-3145.0,-796.0,-824.0,1.0
2022-05-23 16:22:35.895390-07:00,2146.3,668.4,1278.3,1407.6,1021.1,1305.2,1619.0,1814.9,3431.0,3431.0,1782.0,1408.5,0.0,3418.9,1302.5,1616.2,3418.9,3422.5,722.5,1371.2,953.4,551.4,1231.9,1911.5,3423.7,3429.8,986.7,973.1,1470.0,1514.3,1307.9,1020.2,54.0,-137.0,-83.0,9754.0,1880.0,-1881.0,-12893.0,-2681.0,-1145.0,29.0,84.0,-56.0,-140.0,10553.0,1723.0,888.0,-12382.0,-2115.0,-779.0,-736.0,1.0
2022-05-23 16:22:35.954313-07:00,2126.0,679.1,1296.3,1410.3,1021.1,1305.2,1619.0,1814.9,3428.6,3423.7,1851.8,1431.4,0.0,3418.9,1302.5,1616.2,3418.9,3422.5,722.5,1371.2,962.8,553.8,1218.6,1907.5,3423.7,3429.8,986.7,973.1,1485.6,1566.5,1378.5,1030.6,58.0,-37.0,-93.0,9793.0,974.0,-1331.0,-13031.0,-2130.0,-845.0,-64.0,88.0,-25.0,-49.0,10424.0,987.0,1311.0,-12533.0,-1653.0,-639.0,-612.0,1.0
2022-05-23 16:22:36.134493-07:00,2115.9,679.1,1296.3,1410.3,1027.1,1310.6,1597.4,1779.1,3431.0,3423.7,1851.8,1431.4,0.0,3420.1,1341.3,1635.0,3429.8,3429.8,724.1,1375.7,962.8,553.8,1218.6,1918.3,3434.6,3429.8,949.2,966.2,1485.6,1566.5,1378.5,1027.1,20.0,-113.0,-77.0,9772.0,218.0,-912.0,-13117.0,-1564.0,-703.0,-30.0,59.0,-59.0,-82.0,10290.0,380.0,1634.0,-12638.0,-1195.0,-514.0,-468.0,1.0
2022-05-23 16:22:36.135600-07:00,2115.9,666.0,1315.1,1411.3,1027.1,1310.6,1597.4,1772.3,3431.0,3428.6,1878.1,1433.2,0.0,3420.1,1341.3,1662.5,3422.5,3429.8,724.1,1375.7,977.3,552.2,1224.8,1918.3,3429.8,3429.8,949.2,966.2,1492.1,1610.5,1430.5,1027.1,66.0,-60.0,38.0,9732.0,-334.0,-697.0,-13157.0,-873.0,-730.0,-113.0,78.0,-53.0,-62.0,10183.0,-6.0,1788.0,-12710.0,-537.0,-402.0,-363.0,1.0
2022-05-23 16:22:36.136240-07:00,2086.6,666.0,1315.1,1411.3,1034.9,1295.4,1557.1,1772.3,3423.7,3428.6,1878.1,1433.2,0.0,3428.6,1373.0,1662.5,3422.5,3418.9,731.5,1375.7,977.3,552.2,1224.8,1922.3,3429.8,3424.9,947.5,966.2,1492.1,1610.5,1430.5,1025.4,41.0,-87.0,-19.0,9641.0,-642.0,-644.0,-13216.0,-397.0,-451.0,-230.0,67.0,-32.0,-2.0,10088.0,-184.0,1797.0,-12783.0,-130.0,-225.0,-283.0,1.0
2022-05-23 16:22:36.164358-07:00,2086.6,662.7,1389.4,1441.5,1034.9,1295.4,1557.1,1804.2,3423.7,3423.7,1865.4,1441.5,0.0,3428.6,1373.0,1657.7,3424.9,3418.9,731.5,1375.7,967.1,560.2,1231.0,1922.3,3428.6,3424.9,947.5,966.2,1511.5,1624.7,1456.2,1025.4,-1.0,-44.0,-51.0,9595.0,-837.0,-738.0,-13234.0,81.0,-489.0,2.0,51.0,-16.0,-25.0,10042.0,-240.0,1717.0,-12829.0,235.0,-120.0,-49.0,1.0
2022-05-23 16:22:36.194561-07:00,2053.4,662.7,1389.4,1441.5,1040.9,1288.2,1521.8,1804.2,3433.4,3423.7,1865.4,1441.5,0.0,3422.5,1362.1,1657.7,3424.9,3420.1,718.4,1374.8,967.1,560.2,1231.0,1920.3,3428.6,3432.2,925.4,962.8,1511.5,1624.7,1456.2,1028.0,-10.0,3.0,-69.0,9627.0,-991.0,-944.0,-13187.0,277.0,-629.0,224.0,3.0,23.0,-69.0,10068.0,-203.0,1558.0,-12830.0,349.0,-190.0,115.0,1.0
2022-05-23 16:22:36.254183-07:00,2053.4,659.5,1426.8,1446.0,1040.9,1288.2,1515.3,1788.7,3433.4,3427.4,1829.4,1416.7,0.0,3422.5,1341.3,1644.5,3424.9,3432.2,718.4,1374.8,956.0,556.2,1239.9,1920.3,3429.8,3428.6,925.4,962.8,1480.1,1616.2,1448.8,1028.0,60.0,46.0,16.0,9717.0,-1184.0,-1043.0,-13097.0,-272.0,-342.0,244.0,16.0,37.0,-78.0,10116.0,-253.0,1465.0,-12802.0,-83.0,-245.0,70.0,1.0
2022-05-23 16:22:36.344568-07:00,2048.4,667.6,1426.8,1446.0,1040.1,1289.1,1515.3,1788.7,3429.8,3427.4,1829.4,1416.7,0.0,3434.6,1341.3,1644.5,3424.9,3432.2,719.2,1373.9,956.0,556.2,1227.5,1914.4,3429.8,3428.6,919.4,965.4,1480.1,1616.2,1413.1,1027.1,205.0,-157.0,134.0,9700.0,-1155.0,-1076.0,-13109.0,631.0,322.0,-269.0,230.0,-104.0,-25.0,10132.0,-240.0,1384.0,-12798.0,603.0,104.0,81.0,1.0
2022-05-23 16:22:36.346652-07:00,2048.4,667.6,1396.7,1440.5,1040.1,1289.1,1493.0,1745.4,3429.8,3427.4,1809.0,1406.7,0.0,3434.6,1320.5,1630.3,3424.9,3427.4,719.2,1373.9,961.1,552.2,1227.5,1914.4,3423.7,3429.8,919.4,965.4,1490.3,1591.7,1413.1,1027.1,232.0,-359.0,61.0,9616.0,-278.0,-1575.0,-13168.0,3225.0,1331.0,-540.0,300.0,-193.0,-117.0,10253.0,484.0,906.0,-12738.0,2812.0,888.0,701.0,1.0
2022-05-23 16:22:36.404384-07:00,2034.4,660.3,1396.7,1440.5,1047.8,1286.4,1493.0,1745.4,3417.7,3432.2,1809.0,1406.7,0.0,3426.2,1320.5,1630.3,3424.9,3427.4,718.4,1363.0,961.1,552.2,1227.5,1903.6,3423.7,3429.8,908.4,963.7,1490.3,1591.7,1370.3,1025.4,257.0,-343.0,-219.0,9461.0,1648.0,-2708.0,-12995.0,5532.0,2394.0,-397.0,253.0,-3.0,-258.0,10417.0,1991.0,-109.0,-12488.0,4526.0,1445.0,1013.0,1.0
2022-05-23 16:22:36.464308-07:00,2034.4,660.3,1386.6,1445.1,1047.8,1286.4,1515.3,1798.4,3417.7,3432.2,1779.1,1401.2,0.0,3426.2,1281.9,1591.7,3424.9,3423.7,718.4,1363.0,954.3,549.8,1227.5,1903.6,3426.2,3431.0,908.4,963.7,1484.7,1555.3,1370.3,1025.4,151.0,-121.0,-261.0,9245.0,3854.0,-3629.0,-12447.0,4344.0,3279.0,-355.0,-1.0,100.0,-282.0,10463.0,3516.0,-1112.0,-12057.0,3561.0,1224.0,924.0,1.0
2022-05-23 16:22:36.524416-07:00,2069.5,660.3,1357.6,1445.1,1042.6,1287.3,1515.3,1798.4,3427.4,3429.8,1729.1,1401.2,0.0,3423.7,1281.9,1591.7,3424.9,3423.7,727.4,1364.8,954.3,549.8,1214.2,1897.7,3426.2,3431.0,904.2,973.9,1484.7,1533.8,1336.8,1022.8,-68.0,-13.0,-309.0,9095.0,5900.0,-3962.0,-11628.0,3417.0,3512.0,105.0,-230.0,58.0,-23.0,10498.0,4617.0,-1858.0,-11552.0,2682.0,921.0,993.0,1.0
