Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-23 16:22:35.121718-07:00,1180.6,900.0,1203.5,1082.5,1071.2,928.8,1920.3,1406.7,3468.6,3473.4,1158.6,906.7,1611.5,3467.4,1337.7,1328.7,3467.4,3471.0,1601.1,1984.6,2549.7,3339.6,1751.2,3488.0,3472.2,3478.3,677.4,803.5,1960.8,1084.2,1040.1,989.3,-14.0,17.0,31.0,11785.0,-8920.0,6154.0,-3480.0,106.0,-151.0,-28.0,3.0,0.0,-1.0,11537.0,-10937.0,3508.0,-1849.0,130.0,-45.0,-34.0,1.0
2022-05-23 16:22:35.188027-07:00,1180.6,894.9,1192.9,1089.5,1071.2,928.8,1920.3,1398.5,3468.6,3473.4,1162.1,912.7,1611.5,3467.4,1337.7,1325.9,3475.9,3471.0,1601.1,1984.6,2548.7,3326.5,1751.2,3488.0,3473.4,3478.3,677.4,803.5,1948.9,1093.8,1042.6,989.3,-16.0,-4.0,32.0,11837.0,-8892.0,6098.0,-3472.0,96.0,-86.0,3.0,6.0,-5.0,1.0,11573.0,-10906.0,3482.0,-1857.0,118.0,-43.0,-25.0,1.0
2022-05-23 16:22:35.188631-07:00,1175.3,894.9,1192.9,1089.5,1070.3,932.2,1909.5,1398.5,3463.7,3473.4,1162.1,912.7,1607.7,3466.1,1345.8,1325.9,3475.9,3472.2,1597.4,1975.6,2548.7,3326.5,1751.2,3490.5,3473.4,3475.9,682.3,811.0,1948.9,1093.8,1042.6,983.3,-20.0,-16.0,37.0,11900.0,-8845.0,6058.0,-3448.0,173.0,-160.0,67.0,3.0,-26.0,7.0,11625.0,-10855.0,3463.0,-1864.0,222.0,-14.0,19.0,1.0
2022-05-23 16:22:35.211803-07:00,1175.3,893.2,1208.0,1073.8,1070.3,932.2,1909.5,1394.8,3463.7,3463.7,1172.6,913.5,1607.7,3466.1,1345.8,1322.3,3471.0,3472.2,1597.4,1975.6,2544.4,3332.5,1731.1,3490.5,3462.5,3475.9,682.3,811.0,1974.6,1093.8,1032.3,983.3,-2.0,11.0,26.0,12011.0,-8745.0,5995.0,-3429.0,379.0,-169.0,102.0,7.0,-6.0,1.0,11718.0,-10754.0,3456.0,-1883.0,382.0,11.0,37.0,1.0
2022-05-23 16:22:35.271812-07:00,1177.0,893.2,1208.0,1073.8,1070.3,937.3,1896.7,1394.8,3467.4,3463.7,1172.6,913.5,1612.4,3466.1,1345.8,1322.3,3471.0,3463.7,1600.2,1984.6,2544.4,3332.5,1731.1,3491.7,3462.5,3469.8,686.4,813.5,1974.6,1093.8,1032.3,971.3,-4.0,46.0,14.0,12129.0,-8624.0,5937.0,-3421.0,326.0,-110.0,90.0,2.0,14.0,-8.0,11826.0,-10632.0,3449.0,-1910.0,370.0,4.0,30.0,1.0
2022-05-23 16:22:35.301271-07:00,1177.0,891.5,1209.7,1085.1,1070.3,937.3,1899.7,1395.7,3467.4,3469.8,1177.9,915.2,1612.4,3466.1,1368.5,1329.6,3474.6,3457.6,1600.2,1984.6,2548.7,3333.7,1743.5,3491.7,3469.8,3471.0,686.4,813.5,1953.9,1090.3,1049.6,971.3,-13.0,32.0,12.0,12225.0,-8525.0,5886.0,-3413.0,254.0,-154.0,45.0,-7.0,14.0,-10.0,11912.0,-10535.0,3437.0,-1933.0,260.0,-13.0,-3.0,1.0
2022-05-23 16:22:35.421452-07:00,1172.6,891.5,1209.7,1085.1,1078.2,932.2,1899.7,1395.7,3462.5,3478.3,1177.9,915.2,1608.7,3478.3,1368.5,1329.6,3474.6,3457.6,1598.3,1970.7,2548.7,3333.7,1729.1,3481.9,3469.8,3471.0,677.4,818.5,1953.9,1090.3,1054.8,973.9,-15.0,-13.0,38.0,12301.0,-8463.0,5825.0,-3403.0,217.0,-148.0,14.0,-2.0,-26.0,8.0,11975.0,-10467.0,3417.0,-1946.0,244.0,-30.0,-3.0,1.0
2022-05-23 16:22:35.422481-07:00,1172.6,891.5,1210.6,1082.5,1078.2,932.2,1907.5,1385.7,3462.5,3478.3,1182.3,917.7,1608.7,3478.3,1435.0,1357.6,3475.9,3471.0,1598.3,1970.7,2555.1,3340.8,1729.1,3481.9,3471.0,3466.1,677.4,818.5,1949.9,1115.6,1054.8,973.9,-30.0,-28.0,29.0,12420.0,-8323.0,5760.0,-3425.0,610.0,-118.0,108.0,-4.0,-27.0,24.0,12101.0,-10317.0,3405.0,-1989.0,653.0,73.0,39.0,1.0
2022-05-23 16:22:35.452219-07:00,1177.9,891.5,1210.6,1082.5,1073.8,932.2,1907.5,1385.7,3461.3,3466.1,1182.3,917.7,1595.5,3471.0,1435.0,1357.6,3475.9,3471.0,1590.8,1964.7,2555.1,3340.8,1733.0,3484.4,3471.0,3466.1,684.0,852.8,1949.9,1115.6,1147.1,984.2,-26.0,-26.0,37.0,12601.0,-8093.0,5695.0,-3422.0,681.0,-159.0,249.0,-10.0,-35.0,16.0,12284.0,-10080.0,3431.0,-2042.0,715.0,114.0,152.0,1.0
2022-05-23 16:22:35.571943-07:00,1177.9,891.5,1198.2,1088.6,1073.8,932.2,1895.8,1387.5,3461.3,3466.1,1244.4,942.4,1595.5,3471.0,1536.6,1414.9,3473.4,3472.2,1590.8,1964.7,2548.7,3332.5,1733.0,3484.4,3468.6,3471.0,684.0,852.8,1952.9,1200.9,1147.1,984.2,-4.0,-12.0,45.0,12826.0,-7785.0,5624.0,-3420.0,975.0,-158.0,294.0,12.0,-33.0,28.0,12507.0,-9768.0,3491.0,-2103.0,1012.0,222.0,221.0,1.0
2022-05-23 16:22:35.601330-07:00,1167.4,888.2,1200.9,1088.6,1060.8,943.2,1895.8,1387.5,3461.3,3473.4,1257.8,942.4,1602.1,3467.4,1536.6,1414.9,3473.4,3472.2,1597.4,1976.6,2548.7,3342.0,1724.4,3483.2,3468.6,3471.0,675.8,856.2,1952.9,1210.6,1165.6,977.3,47.0,72.0,11.0,13069.0,-7403.0,5576.0,-3427.0,885.0,0.0,381.0,31.0,10.0,-6.0,12795.0,-9332.0,3569.0,-2212.0,1239.0,297.0,208.0,1.0
2022-05-23 16:22:35.603327-07:00,1167.4,888.2,1200.9,1088.6,1060.8,934.7,1932.1,1383.9,3461.3,3473.4,1257.8,950.0,1602.1,3464.9,1604.9,1445.1,3469.8,3478.3,1596.4,1976.6,2554.0,3342.0,1724.4,3483.2,3464.9,3478.3,678.2,856.2,1953.9,1210.6,1165.6,977.3,21.0,154.0,-22.0,13214.0,-7114.0,5593.0,-3455.0,732.0,54.0,129.0,18.0,122.0,-69.0,13067.0,-8895.0,3613.0,-2347.0,1038.0,198.0,38.0,1.0
2022-05-23 16:22:35.661959-07:00,1171.8,892.4,1213.3,1088.6,1070.3,934.7,1932.1,1383.9,3471.0,3468.6,1334.1,950.0,1607.7,3464.9,1604.9,1445.1,3469.8,3478.3,1596.4,1984.6,2554.0,3333.7,1716.7,3477.1,3464.9,3478.3,678.2,865.4,1953.9,1318.7,1281.0,982.5,-39.0,15.0,-38.0,13351.0,-6835.0,5532.0,-3586.0,865.0,10.0,-65.0,-9.0,-10.0,-25.0,13188.0,-8697.0,3603.0,-2429.0,692.0,73.0,-35.0,1.0
2022-05-23 16:22:35.721539-07:00,1171.8,892.4,1213.3,1100.8,1070.3,946.6,1990.5,1390.3,3471.0,3468.6,1334.1,1004.8,1607.7,3469.8,1740.6,1575.8,3477.1,3467.4,1593.6,1984.6,2544.4,3333.7,1716.7,3477.1,3478.3,3463.7,670.9,865.4,1963.7,1318.7,1281.0,982.5,-86.0,-15.0,0.0,13509.0,-6557.0,5378.0,-3744.0,949.0,-233.0,-177.0,-49.0,-8.0,-2.0,13341.0,-8452.0,3565.0,-2509.0,673.0,0.0,-7.0,1.0
2022-05-23 16:22:35.752192-07:00,1167.4,877.2,1216.8,1100.8,1072.9,946.6,1990.5,1390.3,3471.0,3464.9,1385.7,1004.8,1611.5,3469.8,1740.6,1575.8,3477.1,3467.4,1593.6,1983.6,2544.4,3325.3,1711.9,3488.0,3478.3,3463.7,670.9,868.8,1963.7,1367.6,1342.2,983.3,-32.0,20.0,21.0,13673.0,-6314.0,5182.0,-3843.0,504.0,-187.0,-3.0,-39.0,14.0,-8.0,13483.0,-8222.0,3528.0,-2566.0,467.0,6.0,47.0,1.0
2022-05-23 16:22:35.842101-07:00,1167.4,877.2,1216.8,1106.9,1072.9,925.4,1987.5,1383.0,3471.0,3464.9,1385.7,1040.1,1611.5,3461.3,1772.3,1636.0,3467.4,3472.2,1589.9,1983.6,2537.9,3325.3,1711.9,3488.0,3472.2,3471.0,669.3,868.8,1943.0,1367.6,1342.2,983.3,-54.0,-55.0,45.0,13774.0,-6165.0,5074.0,-3866.0,615.0,-251.0,35.0,-18.0,-32.0,17.0,13552.0,-8112.0,3523.0,-2566.0,138.0,5.0,116.0,1.0
2022-05-23 16:22:35.843617-07:00,1174.4,891.5,1237.3,1098.2,1067.7,925.4,1987.5,1383.0,3471.0,3466.1,1390.3,1038.3,1606.8,3461.3,1772.3,1636.0,3467.4,3472.2,1589.9,1998.5,2545.4,3332.5,1711.0,3488.0,3472.2,3471.0,669.3,872.1,1949.9,1357.6,1334.1,975.6,-61.0,-60.0,33.0,13919.0,-5956.0,4916.0,-3878.0,1024.0,-489.0,120.0,-13.0,0.0,-5.0,13598.0,-8031.0,3552.0,-2532.0,243.0,64.0,201.0,1.0
2022-05-23 16:22:35.901843-07:00,1174.4,891.5,1237.3,1098.2,1067.7,932.2,2051.4,1391.2,3471.0,3466.1,1390.3,1038.3,1606.8,3458.9,1740.6,1611.5,3467.4,3464.9,1588.9,1989.5,2545.4,3332.5,1711.0,3488.0,3478.3,3474.6,674.2,866.3,1949.9,1357.6,1334.1,975.6,7.0,62.0,-48.0,14151.0,-5627.0,4644.0,-3865.0,536.0,-507.0,170.0,-9.0,38.0,-26.0,13668.0,-7895.0,3614.0,-2496.0,362.0,108.0,216.0,1.0
2022-05-23 16:22:35.961943-07:00,1171.8,880.6,1285.5,1133.1,1067.7,932.2,2051.4,1391.2,3462.5,3467.4,1374.8,1028.8,1606.8,3458.9,1740.6,1611.5,3467.4,3464.9,1588.9,1989.5,2562.6,3321.7,1692.9,3481.9,3478.3,3474.6,674.2,866.3,1938.0,1319.6,1302.5,989.3,-31.0,-31.0,31.0,14258.0,-5526.0,4491.0,-3798.0,208.0,-42.0,91.0,-26.0,-21.0,-23.0,13715.0,-7805.0,3655.0,-2458.0,110.0,-40.0,144.0,1.0
