Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-23 16:24:26.652971-07:00,2031.4,563.4,1155.9,1390.3,979.0,1195.6,1240.8,1542.2,3427.4,3416.5,1483.8,1290.0,0.0,3428.6,1079.9,1519.0,3422.5,3439.5,700.3,1321.4,911.0,562.6,1127.9,1785.8,3426.2,3431.0,741.4,955.1,1237.3,1512.5,1239.1,989.3,4.0,-5.0,-8.0,6300.0,8834.0,-7637.0,-9612.0,63.0,-43.0,21.0,-7.0,-11.0,11.0,9529.0,7176.0,-5958.0,-9521.0,52.0,-29.0,-11.0,1.0
2022-05-23 16:24:26.742899-07:00,2043.4,556.2,1140.1,1390.3,968.8,1195.6,1240.8,1542.2,3429.8,3414.1,1479.2,1290.0,0.0,3428.6,1079.9,1519.0,3422.5,3439.5,700.3,1321.4,911.0,565.8,1120.0,1784.9,3426.2,3431.0,741.4,956.8,1237.3,1520.8,1232.8,994.5,5.0,0.0,-3.0,6276.0,8819.0,-7664.0,-9619.0,25.0,-95.0,2.0,-4.0,-7.0,7.0,9515.0,7176.0,-5969.0,-9528.0,7.0,-47.0,-16.0,1.0
2022-05-23 16:24:26.744060-07:00,2043.4,556.2,1140.1,1392.1,968.8,1196.5,1242.6,1537.6,3429.8,3414.1,1479.2,1281.0,0.0,3426.2,1079.0,1521.8,3420.1,3410.5,704.4,1321.4,909.3,565.8,1120.0,1784.9,3435.8,3424.9,739.7,956.8,1235.5,1520.8,1232.8,994.5,19.0,3.0,3.0,6251.0,8798.0,-7679.0,-9643.0,-11.0,-88.0,-44.0,9.0,-7.0,6.0,9504.0,7161.0,-5975.0,-9546.0,-26.0,-56.0,-23.0,1.0
2022-05-23 16:24:26.803012-07:00,2029.4,570.6,1137.5,1392.1,963.7,1196.5,1242.6,1537.6,3424.9,3429.8,1474.6,1281.0,0.0,3426.2,1079.0,1521.8,3420.1,3410.5,704.4,1325.0,909.3,553.0,1120.0,1786.8,3435.8,3424.9,739.7,957.7,1235.5,1506.9,1232.8,985.0,16.0,-5.0,5.0,6230.0,8783.0,-7682.0,-9667.0,-10.0,-78.0,-31.0,9.0,-9.0,5.0,9497.0,7145.0,-5979.0,-9563.0,-24.0,-43.0,-17.0,1.0
2022-05-23 16:24:26.833412-07:00,2029.4,570.6,1137.5,1403.0,967.1,1200.9,1231.0,1552.5,3424.9,3429.8,1474.6,1290.0,0.0,3423.7,1074.7,1532.0,3424.9,3418.9,708.5,1319.6,909.3,553.0,1120.0,1786.8,3429.8,3429.8,738.9,946.6,1239.1,1506.9,1232.8,985.0,7.0,2.0,8.0,6220.0,8765.0,-7678.0,-9693.0,-44.0,-44.0,-37.0,-8.0,-3.0,13.0,9500.0,7127.0,-5975.0,-9576.0,-39.0,-21.0,-9.0,1.0
2022-05-23 16:24:26.923007-07:00,2037.4,562.6,1141.9,1389.4,967.1,1200.9,1231.0,1552.5,3422.5,3424.9,1473.6,1295.4,0.0,3423.7,1074.7,1532.0,3424.9,3418.9,708.5,1319.6,909.3,561.8,1125.2,1788.7,3429.8,3429.8,738.9,946.6,1230.2,1507.8,1227.5,997.9,-5.0,-15.0,5.0,6204.0,8768.0,-7670.0,-9707.0,27.0,-15.0,-44.0,-12.0,-10.0,14.0,9498.0,7125.0,-5966.0,-9585.0,9.0,9.0,-14.0,1.0
2022-05-23 16:24:26.953040-07:00,2037.4,562.6,1141.9,1389.4,962.0,1192.0,1238.2,1549.7,3422.5,3424.9,1473.6,1295.4,0.0,3429.8,1073.8,1521.8,3418.9,3423.7,706.0,1325.0,909.3,561.8,1125.2,1788.7,3426.2,3437.0,737.3,950.9,1230.2,1507.8,1227.5,997.9,8.0,-12.0,1.0,6201.0,8767.0,-7667.0,-9712.0,-40.0,-5.0,15.0,1.0,-9.0,7.0,9503.0,7118.0,-5960.0,-9588.0,-37.0,2.0,20.0,1.0
2022-05-23 16:24:26.983108-07:00,2041.4,557.8,1141.0,1392.1,962.0,1192.0,1238.2,1549.7,3422.5,3418.9,1480.1,1288.2,0.0,3429.8,1073.8,1521.8,3418.9,3423.7,706.0,1325.0,909.3,557.8,1122.6,1789.7,3426.2,3437.0,737.3,950.9,1239.1,1513.4,1232.8,991.9,19.0,5.0,12.0,6221.0,8754.0,-7655.0,-9722.0,-57.0,11.0,-5.0,6.0,-6.0,7.0,9521.0,7106.0,-5949.0,-9587.0,-33.0,28.0,21.0,1.0
2022-05-23 16:24:27.042882-07:00,2041.4,557.8,1141.0,1392.1,962.0,1187.6,1240.8,1545.9,3422.5,3418.9,1480.1,1288.2,0.0,3429.8,1079.0,1525.5,3424.9,3423.7,707.7,1316.9,909.3,557.8,1122.6,1789.7,3431.0,3431.0,739.7,956.8,1239.1,1513.4,1232.8,991.9,13.0,2.0,6.0,6234.0,8760.0,-7640.0,-9720.0,0.0,53.0,-19.0,4.0,-3.0,4.0,9536.0,7111.0,-5936.0,-9576.0,8.0,57.0,12.0,1.0
2022-05-23 16:24:27.103193-07:00,2031.4,569.0,1135.7,1391.2,962.0,1187.6,1240.8,1548.7,3429.8,3427.4,1480.1,1289.1,0.0,3429.8,1079.0,1530.1,3427.4,3423.7,707.7,1316.9,909.3,559.4,1126.1,1803.2,3431.0,3431.0,739.7,956.8,1239.9,1511.5,1233.7,985.0,2.0,-12.0,-6.0,6246.0,8777.0,-7624.0,-9709.0,-17.0,69.0,-12.0,-7.0,-11.0,0.0,9549.0,7121.0,-5926.0,-9562.0,-3.0,48.0,24.0,1.0
