Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-23 16:24:26.630674-07:00,1103.4,744.7,1009.9,944.1,933.9,828.5,1627.5,1273.9,3464.9,3466.1,1097.3,851.1,1619.9,3468.6,1192.9,1193.8,3477.1,3472.2,1530.1,1950.9,2435.6,3369.6,1630.3,3481.9,3469.8,3468.6,646.5,724.1,1835.2,967.9,926.2,849.5,-1.0,-59.0,7.0,10630.0,-9685.0,7299.0,-2892.0,38.0,-155.0,106.0,4.0,-25.0,-7.0,10379.0,-11903.0,3670.0,-2358.0,143.0,-118.0,166.0,1.0
2022-05-23 16:24:26.720693-07:00,1103.4,744.7,1015.1,946.6,933.9,828.5,1636.9,1296.3,3464.9,3466.1,1094.7,852.0,1619.9,3468.6,1189.4,1187.6,3468.6,3460.1,1530.1,1950.9,2439.8,3381.6,1630.3,3481.9,3458.9,3472.2,646.5,724.1,1834.3,968.8,926.2,849.5,-7.0,31.0,13.0,10718.0,-9608.0,7296.0,-2830.0,219.0,-142.0,226.0,-10.0,25.0,2.0,10479.0,-11820.0,3687.0,-2308.0,258.0,-59.0,174.0,1.0
2022-05-23 16:24:26.750059-07:00,1102.5,748.0,1015.1,946.6,935.6,829.4,1636.9,1296.3,3451.6,3457.6,1094.7,852.0,1616.2,3473.4,1189.4,1187.6,3468.6,3460.1,1525.5,1951.9,2439.8,3381.6,1625.6,3484.4,3458.9,3472.2,646.5,714.2,1834.3,968.8,919.4,862.1,-29.0,56.0,12.0,10762.0,-9566.0,7309.0,-2774.0,-49.0,-48.0,103.0,-37.0,26.0,7.0,10518.0,-11786.0,3707.0,-2269.0,-17.0,-54.0,129.0,1.0
2022-05-23 16:24:26.780447-07:00,1102.5,748.0,1009.9,945.8,935.6,829.4,1622.8,1303.4,3451.6,3457.6,1102.5,850.3,1616.2,3473.4,1180.6,1194.7,3461.3,3468.6,1525.5,1951.9,2433.5,3370.8,1625.6,3484.4,3467.4,3467.4,646.5,714.2,1821.6,963.7,919.4,862.1,-6.0,22.0,46.0,10758.0,-9560.0,7331.0,-2748.0,22.0,44.0,75.0,-11.0,13.0,18.0,10530.0,-11775.0,3737.0,-2222.0,23.0,7.0,104.0,1.0
2022-05-23 16:24:26.840279-07:00,1107.8,757.1,1011.6,945.8,939.0,826.0,1622.8,1303.4,3471.0,3471.0,1095.6,850.3,1619.0,3468.6,1180.6,1194.7,3461.3,3468.6,1519.0,1959.8,2433.5,3379.2,1631.3,3483.2,3467.4,3467.4,643.2,721.6,1821.6,966.2,915.2,857.9,7.0,13.0,14.0,10748.0,-9545.0,7362.0,-2759.0,-65.0,106.0,-3.0,10.0,12.0,2.0,10525.0,-11772.0,3775.0,-2200.0,-89.0,48.0,90.0,1.0
2022-05-23 16:24:26.900632-07:00,1107.8,757.1,1011.6,949.2,939.0,838.6,1630.3,1287.3,3471.0,3471.0,1095.6,857.0,1619.0,3467.4,1180.6,1183.2,3473.4,3464.9,1532.0,1959.8,2454.7,3379.2,1631.3,3483.2,3462.5,3467.4,644.0,721.6,1834.3,966.2,915.2,857.9,15.0,29.0,-2.0,10721.0,-9541.0,7401.0,-2774.0,7.0,100.0,39.0,12.0,29.0,-4.0,10508.0,-11777.0,3813.0,-2187.0,-3.0,39.0,47.0,1.0
2022-05-23 16:24:26.960219-07:00,1097.3,753.8,1013.3,949.2,933.9,838.6,1630.3,1287.3,3467.4,3460.1,1097.3,857.0,1619.9,3467.4,1180.6,1183.2,3473.4,3464.9,1532.0,1963.7,2454.7,3375.6,1629.4,3489.2,3462.5,3467.4,644.0,722.5,1834.3,967.1,911.8,843.6,5.0,41.0,-15.0,10719.0,-9531.0,7412.0,-2786.0,18.0,-8.0,-20.0,-4.0,30.0,-13.0,10509.0,-11772.0,3824.0,-2191.0,19.0,-1.0,-28.0,1.0
2022-05-23 16:24:27.020133-07:00,1097.3,753.8,1013.3,946.6,933.9,836.9,1638.8,1291.8,3467.4,3460.1,1097.3,856.2,1619.9,3462.5,1185.0,1187.6,3471.0,3475.9,1517.1,1963.7,2437.7,3375.6,1629.4,3489.2,3480.7,3462.5,651.4,722.5,1831.3,967.1,911.8,843.6,-7.0,16.0,-13.0,10728.0,-9534.0,7392.0,-2790.0,43.0,-62.0,-43.0,-11.0,9.0,-7.0,10515.0,-11772.0,3805.0,-2198.0,57.0,-38.0,-64.0,1.0
2022-05-23 16:24:27.021989-07:00,1116.5,755.4,1007.3,946.6,927.9,836.9,1638.8,1291.8,3468.6,3460.1,1093.8,856.2,1619.0,3462.5,1185.0,1187.6,3471.0,3475.9,1517.1,1943.0,2437.7,3375.6,1622.8,3488.0,3480.7,3462.5,651.4,721.6,1831.3,967.1,912.7,855.3,-4.0,15.0,4.0,10760.0,-9524.0,7357.0,-2795.0,111.0,-72.0,-31.0,-4.0,11.0,0.0,10538.0,-11759.0,3770.0,-2214.0,117.0,-22.0,-84.0,1.0
2022-05-23 16:24:27.080227-07:00,1116.5,755.4,1007.3,937.3,938.1,817.7,1619.0,1281.0,3468.6,3460.1,1093.8,852.8,1623.7,3462.5,1186.7,1190.3,3469.8,3466.1,1521.8,1950.9,2439.8,3375.6,1622.8,3488.0,3467.4,3460.1,643.2,723.3,1829.4,967.1,912.7,855.3,-1.0,10.0,4.0,10794.0,-9512.0,7318.0,-2810.0,63.0,-61.0,-62.0,-3.0,8.0,-3.0,10565.0,-11741.0,3732.0,-2241.0,44.0,-15.0,-89.0,1.0
